date,FCTR_2022_Z,meta
2022-11-17 00:00:00,-75.06233010595062,
2022-11-17 10:00:00,-39.205889400062716,
2022-11-17 10:30:00,-44.48853454481531,
2022-11-17 12:00:00,-44.07725025496481,
2022-11-17 13:30:00,-57.464520033090864,
2022-11-17 15:00:00,-37.21446773329082,
2022-11-17 15:30:30,-37.21446773329082,
2022-11-17 23:59:59,-39.86990091176072,c
2022-11-18 00:00:00,-37.56161908463858,
2022-11-18 10:00:00,-1.3415693551959933,
2022-11-18 10:30:00,26.52778680294352,
2022-11-18 12:00:00,30.83794370413263,
2022-11-18 13:30:00,14.748653220209931,
2022-11-18 15:00:00,12.323925839170638,
2022-11-18 15:30:30,12.323925839170638,
2022-11-18 23:59:59,11.467693683836945,w
2022-11-21 00:00:00,62.092629441882444,
2022-11-21 10:00:00,102.03572488998243,
2022-11-21 10:30:00,115.08894654743006,
2022-11-21 12:00:00,122.40910033847815,
2022-11-21 13:30:00,95.50555666869202,
2022-11-21 15:00:00,98.21269362130877,
2022-11-21 15:30:30,98.21269362130877,
2022-11-21 23:59:59,92.57156891252052,c
2022-11-22 00:00:00,100.671218751194,
2022-11-22 10:00:00,146.44572660459724,
2022-11-22 10:30:00,114.50956394531623,
2022-11-22 12:00:00,99.15810782768597,
2022-11-22 13:30:00,82.46148556937027,
2022-11-22 15:00:00,91.4285830771719,
2022-11-22 15:30:30,91.4285830771719,
2022-11-22 23:59:59,72.25250922013886,c
2022-11-23 00:00:00,88.29049725138586,
2022-11-23 10:00:00,75.43347296088467,
2022-11-23 10:30:00,68.39730046813914,
2022-11-23 12:00:00,77.77365821675284,
2022-11-23 13:30:00,72.74154797404746,
2022-11-23 15:00:00,56.26855258366375,
2022-11-23 15:30:30,56.26855258366375,
2022-11-23 23:59:59,61.17541893025771,c
2022-11-24 00:00:00,61.17541893025771,
2022-11-24 10:00:00,61.17541893025771,
2022-11-24 10:30:00,61.17541893025771,
2022-11-24 12:00:00,61.17541893025771,
2022-11-24 13:30:00,61.17541893025771,
