date,EU_MSCI_QUAL_2022_Q2,meta
2022-05-05 00:00:00,-22.7373980311404,
2022-05-05 03:30:00,-33.12146994769182,
2022-05-05 04:00:00,-29.69688323410014,
2022-05-05 06:00:00,-37.2646259020496,
2022-05-05 08:00:00,-41.87278292308747,
2022-05-05 10:30:00,-43.36114170939368,
2022-05-05 11:00:00,-52.5052642443618,
2022-05-05 23:59:59,-28.89282255983835,c
2022-05-06 00:00:00,-39.46326785479073,
2022-05-06 03:30:00,-13.106340575772265,
2022-05-06 04:00:00,-2.397366472938984,
2022-05-06 06:00:00,21.87062910092959,
2022-05-06 08:00:00,18.91912055912826,
2022-05-06 10:30:00,26.648369501850766,
2022-05-06 11:00:00,21.404356067872413,
2022-05-06 23:59:59,12.249926582994703,w
2022-05-09 00:00:00,26.295073433621155,
2022-05-09 03:30:00,12.943491554711045,
2022-05-09 04:00:00,9.79845950016761,
2022-05-09 06:00:00,-14.211347736877087,
2022-05-09 08:00:00,-18.39821509359831,
2022-05-09 10:30:00,-38.71162946397362,
2022-05-09 11:00:00,-37.83754587602084,
2022-05-09 23:59:59,-48.186241123785294,c
2022-05-10 00:00:00,-51.87792521497067,
2022-05-10 03:30:00,-49.99093240926982,
2022-05-10 04:00:00,-59.551524069577454,
2022-05-10 06:00:00,-61.4799830751233,
2022-05-10 08:00:00,-62.99612311442161,
2022-05-10 10:30:00,-36.222235840872145,
2022-05-10 11:00:00,-42.511200141463405,
2022-05-10 23:59:59,-33.95981069111667,c
2022-05-11 00:00:00,-16.386578500382257,
2022-05-11 03:30:00,-15.363846393275026,
2022-05-11 04:00:00,-7.549813765057934,
2022-05-11 06:00:00,-0.11332806628297476,
2022-05-11 08:00:00,10.046367055794008,
2022-05-11 10:30:00,-27.598178393813214,
2022-05-11 11:00:00,-33.262668037549474,
2022-05-11 23:59:59,-38.7694728390843,c
2022-05-12 00:00:00,-47.54398216405161,
2022-05-12 03:30:00,-43.715004911876576,
2022-05-12 04:00:00,-51.730549915737356,
2022-05-12 06:00:00,-62.19528515448155,
2022-05-12 08:00:00,-45.51877806698167,
2022-05-12 10:30:00,-27.888223773604523,
2022-05-12 11:00:00,-19.093638694000447,
2022-05-12 23:59:59,-15.724039286403922,c
2022-05-13 00:00:00,-12.550121462120842,
2022-05-13 03:30:00,-0.6488497396098865,
2022-05-13 04:00:00,16.13205349061718,
2022-05-13 06:00:00,28.57792349209535,
2022-05-13 08:00:00,29.42022234398064,
2022-05-13 10:30:00,41.197313119730325,
2022-05-13 11:00:00,43.18036856640924,
2022-05-13 23:59:59,38.47999185459366,w
2022-05-16 00:00:00,48.636785425583184,
2022-05-16 03:30:00,31.531430557264002,
2022-05-16 04:00:00,18.351508547627645,
2022-05-16 06:00:00,36.21261177325823,
2022-05-16 08:00:00,38.7444746133267,
2022-05-16 10:30:00,56.50836947865719,
2022-05-16 11:00:00,49.209694260377546,
2022-05-16 23:59:59,50.347462125568654,c
2022-05-17 00:00:00,56.98084576895917,
2022-05-17 03:30:00,39.89282172963408,
2022-05-17 04:00:00,39.45858770341533,
2022-05-17 06:00:00,44.8606554933167,
2022-05-17 08:00:00,49.44871530828618,
2022-05-17 10:30:00,27.152728672048625,
2022-05-17 11:00:00,24.741027449786998,
2022-05-17 23:59:59,28.311678429567337,c
2022-05-18 00:00:00,36.052413924935536,
2022-05-18 03:30:00,32.74568381994345,
2022-05-18 04:00:00,40.743529697388794,
2022-05-18 06:00:00,52.69722914807562,
2022-05-18 08:00:00,47.93133295792336,
2022-05-18 10:30:00,17.10876621795296,
2022-05-18 11:00:00,27.391002523881298,
2022-05-18 23:59:59,31.428919275983844,c
2022-05-19 00:00:00,-4.470599909078601,
2022-05-19 03:30:00,-4.5676267463452405,
2022-05-19 04:00:00,-9.614890985481452,
2022-05-19 06:00:00,-13.04334976933933,
2022-05-19 08:00:00,-1.2638494561695097,
2022-05-19 10:30:00,10.398618172648412,
2022-05-19 11:00:00,21.104349960591662,
2022-05-19 23:59:59,0.0,a
2022-05-20 00:00:00,19.374688697301508,
2022-05-20 03:30:00,46.748204077250875,
2022-05-20 04:00:00,62.630134576744695,
2022-05-20 06:00:00,66.99754116505665,
2022-05-20 08:00:00,67.04622338122931,
2022-05-20 10:30:00,52.44611847340434,
2022-05-20 11:00:00,36.77502787910089,
2022-05-20 23:59:59,34.03299655188016,w
2022-05-23 00:00:00,39.248029812050845,
2022-05-23 03:30:00,43.95085161176394,
2022-05-23 04:00:00,34.94132423057158,
2022-05-23 06:00:00,39.80456683837474,
2022-05-23 08:00:00,42.63897008902359,
2022-05-23 10:30:00,26.898075850027,
2022-05-23 11:00:00,25.711073713255928,
2022-05-23 23:59:59,21.464307074221324,c
2022-05-24 00:00:00,18.717960767268778,
2022-05-24 03:30:00,22.980627957170327,
2022-05-24 04:00:00,12.299696991699193,
2022-05-24 06:00:00,7.557792733679207,
2022-05-24 08:00:00,-8.937249949492752,
2022-05-24 10:30:00,-20.91825929385209,
2022-05-24 11:00:00,-30.405742405888304,
2022-05-24 23:59:59,-28.33123111400596,c
0,-28.33123111400596,
0,-28.33123111400596,
0,-28.33123111400596,
0,-28.33123111400596,
0,-28.33123111400596,
0,-28.33123111400596,
0,-28.33123111400596,
