date,EU_MSCI_VALUE_2022_Q4,meta
2022-10-14 00:00:00,-91.4685148938454,
2022-10-14 03:30:00,-113.45512076011414,
2022-10-14 04:00:00,-101.36053587427739,
2022-10-14 06:00:00,-114.02094315149748,
2022-10-14 08:00:00,-108.77945395651147,
2022-10-14 10:30:00,-96.9389629816884,
2022-10-14 11:00:00,-87.90922213714111,
2022-10-14 23:59:59,-96.68840666027234,w
2022-10-17 00:00:00,-88.28714173042783,
2022-10-17 03:30:00,-69.26376946789264,
2022-10-17 04:00:00,-73.34534848222233,
2022-10-17 06:00:00,-76.75762345965893,
2022-10-17 08:00:00,-50.43304321507003,
2022-10-17 10:30:00,-48.647309590625355,
2022-10-17 11:00:00,-48.67423141327356,
2022-10-17 23:59:59,-55.14184034462005,c
2022-10-18 00:00:00,-39.89888836557111,
2022-10-18 03:30:00,-34.40228316422963,
2022-10-18 04:00:00,-41.048130466186876,
2022-10-18 06:00:00,-48.488126469247845,
2022-10-18 08:00:00,-39.65650116356289,
2022-10-18 10:30:00,-40.06401829245908,
2022-10-18 11:00:00,-38.51964898931328,
2022-10-18 23:59:59,-49.91298967789612,c
2022-10-19 00:00:00,-45.30760511724327,
2022-10-19 03:30:00,-61.40803181490901,
2022-10-19 04:00:00,-61.74090795824361,
2022-10-19 06:00:00,-52.661661405550376,
2022-10-19 08:00:00,-41.138870208548724,
2022-10-19 10:30:00,-60.689731051464264,
2022-10-19 11:00:00,-62.81043388084697,
2022-10-19 23:59:59,-63.26690584882817,c
2022-10-20 00:00:00,-87.30993107406482,
2022-10-20 03:30:00,-94.85119968854258,
2022-10-20 04:00:00,-94.24789871487746,
2022-10-20 06:00:00,-98.24046674554381,
2022-10-20 08:00:00,-86.59902278997345,
2022-10-20 10:30:00,-62.29431318097818,
2022-10-20 11:00:00,-67.51779083135011,
2022-10-20 23:59:59,-74.73250561779707,c
2022-10-21 00:00:00,-76.33165568844595,
2022-10-21 03:30:00,-77.12000605171147,
2022-10-21 04:00:00,-78.03988861319328,
2022-10-21 06:00:00,-96.2812933055003,
2022-10-21 08:00:00,-93.59205712707683,
2022-10-21 10:30:00,-89.21033924608707,
2022-10-21 11:00:00,-88.65739203294652,
2022-10-21 23:59:59,-88.23735473732472,w
2022-10-24 00:00:00,-85.72471946313453,
2022-10-24 03:30:00,-84.22318791007785,
2022-10-24 04:00:00,-86.47849994678563,
2022-10-24 06:00:00,-108.66936288900251,
2022-10-24 08:00:00,-106.32082319868562,
2022-10-24 10:30:00,-107.56866393133225,
2022-10-24 11:00:00,-100.73578834108116,
2022-10-24 23:59:59,-98.87802768585857,c
2022-10-25 00:00:00,-117.41759400890032,
2022-10-25 03:30:00,-143.29407201426852,
2022-10-25 04:00:00,-138.6723699440612,
2022-10-25 06:00:00,-159.3666253051622,
2022-10-25 08:00:00,-166.02523909046567,
2022-10-25 10:30:00,-151.3588846948287,
2022-10-25 11:00:00,-156.97058469534852,
2022-10-25 23:59:59,-163.50004500250134,c
2022-10-26 00:00:00,-158.5199099648512,
2022-10-26 03:30:00,-156.06977621212752,
2022-10-26 04:00:00,-147.05074091478434,
2022-10-26 06:00:00,-158.71284256622016,
2022-10-26 08:00:00,-159.58991537223687,
2022-10-26 10:30:00,-134.0310241571135,
2022-10-26 11:00:00,-138.18527142860512,
2022-10-26 23:59:59,-148.44110217716548,c
2022-10-27 00:00:00,-148.80842225980473,
2022-10-27 03:30:00,-153.06996253098043,
2022-10-27 04:00:00,-157.21765364009138,
2022-10-27 06:00:00,-147.79659156350306,
2022-10-27 08:00:00,-161.3161114616612,
2022-10-27 10:30:00,-157.4234536342418,
2022-10-27 11:00:00,-167.88740768812534,
2022-10-27 23:59:59,-153.2361200584602,c
2022-10-28 00:00:00,-154.39274138326493,
2022-10-28 03:30:00,-157.38490887549096,
2022-10-28 04:00:00,-163.4760148086907,
2022-10-28 06:00:00,-174.14640356440407,
2022-10-28 08:00:00,-186.71667167390353,
2022-10-28 10:30:00,-174.23875027676502,
2022-10-28 11:00:00,-171.10443328632562,
2022-10-28 23:59:59,-178.80679055409075,w
2022-10-31 00:00:00,-153.88078875250721,
2022-10-31 03:30:00,-153.88078875250721,
2022-10-31 04:00:00,-153.88078875250721,
2022-10-31 06:00:00,-143.65652665121263,
2022-10-31 08:00:00,-140.37492884563608,
2022-10-31 10:30:00,-140.92336369865234,
2022-10-31 11:00:00,-136.3472343026184,
2022-10-31 23:59:59,-133.07923736819487,c
2022-11-01 00:00:00,-128.56561372251122,
2022-11-01 03:30:00,-128.56561372251122,
2022-11-01 04:00:00,-128.56561372251122,
2022-11-01 06:00:00,-132.69914995719694,
2022-11-01 08:00:00,-129.31118515473395,
2022-11-01 10:30:00,-120.29320887098663,
2022-11-01 11:00:00,-128.40042853200396,
