date,FCTR_2022_Q1,meta
2022-01-10 10:30:00,845.7646343649551,
2022-01-10 12:00:00,800.2176097185178,
2022-01-10 13:30:00,763.425709629153,
2022-01-10 15:00:00,741.1705776142296,
2022-01-10 15:30:30,741.1705776142296,
2022-01-10 23:59:59,687.3316038302593,c
2022-01-11 00:00:00,710.1560023600839,
2022-01-11 10:00:00,641.9181958793174,
2022-01-11 10:30:00,642.645382143074,
2022-01-11 12:00:00,599.2315304833244,
2022-01-11 13:30:00,651.3494962416573,
2022-01-11 15:00:00,661.4009357138372,
2022-01-11 15:30:30,661.4009357138372,
2022-01-11 23:59:59,679.172663596948,c
2022-01-12 00:00:00,643.3036949342066,
2022-01-12 10:00:00,655.9433598081974,
2022-01-12 10:30:00,650.7424466517405,
2022-01-12 12:00:00,688.0827896968965,
2022-01-12 13:30:00,671.6325556726109,
2022-01-12 15:00:00,700.1414375146276,
2022-01-12 15:30:30,700.1414375146276,
2022-01-12 23:59:59,713.9149472423212,c
2022-01-13 00:00:00,726.1237666048464,
2022-01-13 10:00:00,788.6801133481864,
2022-01-13 10:30:00,838.6909030319962,
2022-01-13 12:00:00,898.0674724246934,
2022-01-13 13:30:00,935.2603167193148,
2022-01-13 15:00:00,948.7626504376943,
2022-01-13 15:30:30,948.7626504376943,
2022-01-13 23:59:59,986.6644636055275,c
2022-01-14 00:00:00,987.4273975191277,
2022-01-14 10:00:00,969.3631122291899,
2022-01-14 10:30:00,1020.9933798379234,
2022-01-14 12:00:00,1065.0154910784472,
2022-01-14 13:30:00,1079.929934631847,
2022-01-14 15:00:00,1062.3515410941766,
2022-01-14 15:30:30,1062.3515410941766,
2022-01-14 23:59:59,1047.2481831024882,w
2022-01-17 00:00:00,1047.2481831024882,
2022-01-17 10:00:00,1047.2481831024882,
2022-01-17 10:30:00,1047.2481831024882,
2022-01-17 12:00:00,1047.2481831024882,
2022-01-17 13:30:00,1047.2481831024882,
2022-01-17 15:00:00,1047.2481831024882,
2022-01-17 15:30:30,1047.2481831024882,
2022-01-17 23:59:59,1047.2481831024882,c
2022-01-18 00:00:00,1111.9927067835015,
2022-01-18 10:00:00,1066.2875926042873,
2022-01-18 10:30:00,1010.1885880268453,
2022-01-18 12:00:00,1048.0676076885575,
2022-01-18 13:30:00,1076.4451000197705,
2022-01-18 15:00:00,1085.230406814243,
2022-01-18 15:30:30,1085.230406814243,
2022-01-18 23:59:59,1102.3525063580043,c
2022-01-19 00:00:00,1103.884464521256,
2022-01-19 10:00:00,1005.690799902681,
2022-01-19 10:30:00,994.4013116041724,
2022-01-19 12:00:00,1067.1871291191546,
2022-01-19 13:30:00,1004.202384127583,
2022-01-19 15:00:00,1022.9093270905314,
2022-01-19 15:30:30,1022.9093270905314,
2022-01-19 23:59:59,1034.6246046648146,c
