date,AR_MIGRATION_2020_Q2,meta
2020-04-24 00:00:00,-742.1868888580947,
2020-04-24 10:00:00,-737.7953719396653,
2020-04-24 10:30:00,-765.3801437012711,
2020-04-24 12:00:00,-785.952376130686,
2020-04-24 13:30:00,-808.0306311236989,
2020-04-24 15:00:00,-788.7019302104975,
2020-04-24 15:30:30,-788.7019302104975,
2020-04-24 23:59:59,-783.6559981784025,w
2020-04-27 00:00:00,-809.1368672640525,
2020-04-27 10:00:00,-814.0368526816031,
2020-04-27 10:30:00,-794.5643536536822,
2020-04-27 12:00:00,-802.9756602038294,
2020-04-27 13:30:00,-789.142105486863,
2020-04-27 15:00:00,-750.3979128969223,
2020-04-27 15:30:30,-750.3979128969223,
2020-04-27 23:59:59,-742.428449383218,c
2020-04-28 00:00:00,-737.5703667652987,
2020-04-28 10:00:00,-705.033843620899,
2020-04-28 10:30:00,-689.8608377563975,
2020-04-28 12:00:00,-671.1585964326089,
2020-04-28 13:30:00,-688.6303235909463,
2020-04-28 15:00:00,-678.7058648861557,
2020-04-28 15:30:30,-678.7058648861557,
2020-04-28 23:59:59,-669.48498212773,c
2020-04-29 00:00:00,-666.3334937678375,
2020-04-29 10:00:00,-633.1151166883543,
2020-04-29 10:30:00,-631.4268617771569,
2020-04-29 12:00:00,-638.4745363945951,
2020-04-29 13:30:00,-612.8546180068242,
2020-04-29 15:00:00,-620.1861280578337,
2020-04-29 15:30:30,-620.1861280578337,
2020-04-29 23:59:59,-595.8991636315588,c
2020-04-30 00:00:00,-569.8616494950196,
2020-04-30 10:00:00,-579.1924883593142,
2020-04-30 10:30:00,-589.4695097377339,
2020-04-30 12:00:00,-613.6204719141653,
2020-04-30 13:30:00,-596.8258382245839,
2020-04-30 15:00:00,-585.0577382185927,
2020-04-30 15:30:30,-585.0577382185927,
2020-04-30 23:59:59,-555.0575887211703,c
2020-05-01 00:00:00,-552.7435378234316,
2020-05-01 10:00:00,-582.0692667358315,
2020-05-01 10:30:00,-567.3575612695206,
2020-05-01 12:00:00,-552.5657521647619,
2020-05-01 13:30:00,-550.6307125263155,
2020-05-01 15:00:00,-572.3537838722795,
2020-05-01 15:30:30,-572.3537838722795,
2020-05-01 23:59:59,-580.171281250111,w
2020-05-04 00:00:00,-591.4866048400105,
