date,PBW_2022_Q4,meta
2022-12-21 13:30:00,37.15553378183483,
2022-12-21 15:00:00,10.626739403807619,
2022-12-21 15:30:30,10.626739403807619,
2022-12-21 23:59:59,0.0,a
2022-12-22 00:00:00,75.37022951110146,
2022-12-22 10:00:00,286.55098094664345,
2022-12-22 10:30:00,190.63830877995588,
2022-12-22 12:00:00,195.28080328684905,
2022-12-22 13:30:00,194.11052536207887,
2022-12-22 15:00:00,224.9445582315185,
2022-12-22 15:30:30,224.9445582315185,s
2022-12-22 23:59:59,290.27863903916625,c
2022-12-23 00:00:00,292.05525729056797,
2022-12-23 10:00:00,279.3126057655063,
2022-12-23 10:30:00,325.608331604751,
2022-12-23 12:00:00,246.02637833299366,
2022-12-23 13:30:00,240.94509373806045,
2022-12-23 15:00:00,251.79023155148013,
2022-12-23 15:30:30,251.79023155148013,
2022-12-23 23:59:59,279.01094055858675,w
2022-12-26 00:00:00,279.01094055858675,
2022-12-26 10:00:00,279.01094055858675,
2022-12-26 10:30:00,279.01094055858675,
2022-12-26 12:00:00,279.01094055858675,
2022-12-26 13:30:00,279.01094055858675,
2022-12-26 15:00:00,279.01094055858675,
2022-12-26 15:30:30,279.01094055858675,
2022-12-26 23:59:59,279.01094055858675,c
2022-12-27 00:00:00,279.8731473799986,
2022-12-27 10:00:00,167.04474310795945,
2022-12-27 10:30:00,224.93333655807157,
2022-12-27 12:00:00,254.219573079233,
2022-12-27 13:30:00,187.95422109967626,
2022-12-27 15:00:00,181.81486943390075,
2022-12-27 15:30:30,181.81486943390075,
2022-12-27 23:59:59,150.05897242206447,c
2022-12-28 00:00:00,177.3623821248667,
2022-12-28 10:00:00,245.139900280382,
2022-12-28 10:30:00,253.65107900148143,
2022-12-28 12:00:00,171.03523184810422,
2022-12-28 13:30:00,227.38186999394054,
2022-12-28 15:00:00,224.22919001099115,
2022-12-28 15:30:30,224.22919001099115,
2022-12-28 23:59:59,212.97901913106057,c
2022-12-29 00:00:00,253.45359734781744,
2022-12-29 10:00:00,288.4930625610916,
2022-12-29 10:30:00,305.04480614467855,
2022-12-29 12:00:00,390.9825172959505,
2022-12-29 13:30:00,350.47197227942127,
2022-12-29 15:00:00,343.2836531377394,
2022-12-29 15:30:30,343.2836531377394,
2022-12-29 23:59:59,283.6105153504103,e
2022-12-30 00:00:00,282.67208156195,
2022-12-30 10:00:00,383.4294976370819,
2022-12-30 10:30:00,391.34214547881027,
2022-12-30 12:00:00,399.3339597123744,
2022-12-30 13:30:00,371.6983205001653,
2022-12-30 15:00:00,334.7331195633923,
2022-12-30 15:30:30,334.7331195633923,
2022-12-30 23:59:59,382.05940486628117,w
2023-01-02 00:00:00,382.05940486628117,
2023-01-02 10:00:00,382.05940486628117,
2023-01-02 10:30:00,382.05940486628117,
2023-01-02 12:00:00,382.05940486628117,
2023-01-02 13:30:00,382.05940486628117,
2023-01-02 15:00:00,382.05940486628117,
2023-01-02 15:30:30,382.05940486628117,
2023-01-02 23:59:59,382.05940486628117,c
2023-01-03 00:00:00,419.04496761754274,
2023-01-03 10:00:00,326.9029500546575,
2023-01-03 10:30:00,312.72030107052603,
2023-01-03 12:00:00,276.19437675757615,
2023-01-03 13:30:00,281.7726280417536,
2023-01-03 15:00:00,291.07099363257237,
2023-01-03 15:30:30,291.07099363257237,
2023-01-03 23:59:59,287.2134081542555,c
2023-01-04 00:00:00,240.10771628933992,
2023-01-04 10:00:00,224.59707711459987,
2023-01-04 10:30:00,230.14430419770952,
2023-01-04 12:00:00,320.74950371001194,
2023-01-04 13:30:00,336.76856124202357,
2023-01-04 15:00:00,350.4620237911089,
2023-01-04 15:30:30,350.4620237911089,
2023-01-04 23:59:59,368.71013631755625,c
2023-01-05 00:00:00,357.09008947679706,
2023-01-05 10:00:00,319.53337985992573,
2023-01-05 10:30:00,291.37307912519043,
2023-01-05 12:00:00,381.65217836184377,
2023-01-05 13:30:00,372.5527219884492,
2023-01-05 15:00:00,348.88392381854953,
2023-01-05 15:30:30,348.88392381854953,
2023-01-05 23:59:59,345.96847416525804,c
2023-01-06 00:00:00,335.6091019139045,
2023-01-06 10:00:00,253.1327036083892,
2023-01-06 10:30:00,252.49913215660456,
