date,EU_GUNR_2021_Q4,meta
2021-12-10 03:30:00,-20.983959616524317,
2021-12-10 04:00:00,-31.004829703217183,
2021-12-10 06:00:00,-30.126024348693136,
2021-12-10 08:00:00,-25.63621954054247,
2021-12-10 10:30:00,-2.224207038558916,
2021-12-10 11:00:00,-10.548267625237258,
2021-12-10 23:59:59,0.0,a
2021-12-13 00:00:00,20.44210074804346,
2021-12-13 03:30:00,17.63113779515129,
2021-12-13 04:00:00,27.92724850172749,
2021-12-13 06:00:00,39.0228758050348,
2021-12-13 08:00:00,66.23218686230325,
2021-12-13 10:30:00,72.73636176152945,
2021-12-13 11:00:00,71.59166263662087,
2021-12-13 23:59:59,68.00030083714205,c
2021-12-14 00:00:00,73.06786943145926,
2021-12-14 03:30:00,87.22950038916338,
2021-12-14 04:00:00,72.53210392521532,
2021-12-14 06:00:00,98.64332753931762,
2021-12-14 08:00:00,103.3941443457104,
2021-12-14 10:30:00,114.01645617742065,
2021-12-14 11:00:00,116.48275725371195,
2021-12-14 23:59:59,98.91526817517092,c
2021-12-15 00:00:00,111.33584086103292,
2021-12-15 03:30:00,111.22380959731731,
2021-12-15 04:00:00,106.76611077422785,
2021-12-15 06:00:00,125.6276231870113,
2021-12-15 08:00:00,141.4064776015,
2021-12-15 10:30:00,142.18663739438148,
2021-12-15 11:00:00,137.56458238539676,
2021-12-15 23:59:59,145.17608731516088,c
2021-12-16 00:00:00,121.93409151376409,
2021-12-16 03:30:00,88.98656050588534,
2021-12-16 04:00:00,99.5653071638742,
2021-12-16 06:00:00,110.7296278727249,
2021-12-16 08:00:00,113.00814362348865,
2021-12-16 10:30:00,97.37794362944055,
2021-12-16 11:00:00,90.16872549994241,
2021-12-16 23:59:59,84.38380223467857,c
2021-12-17 00:00:00,110.45344037370205,
2021-12-17 03:30:00,91.86440375100483,
2021-12-17 04:00:00,82.45930395401365,
2021-12-17 06:00:00,102.34491189032883,
2021-12-17 08:00:00,95.89936603480396,
2021-12-17 10:30:00,105.61240957221003,
2021-12-17 11:00:00,95.38133335664952,
