date,SCHH_2021_Q3,meta
2021-08-20 00:00:00,-67.04042353331516,
2021-08-20 10:00:00,-62.579367475547656,
2021-08-20 10:30:00,-64.50659886652136,
2021-08-20 12:00:00,-38.67897560245524,
2021-08-20 13:30:00,-29.387611427092736,
2021-08-20 15:00:00,-39.965532371072186,
2021-08-20 15:30:30,-39.965532371072186,
2021-08-20 23:59:59,-37.726600456803396,w
2021-08-23 00:00:00,-24.840870650437637,
2021-08-23 10:00:00,-6.829928642438347,
2021-08-23 10:30:00,-32.12401925991031,
2021-08-23 12:00:00,-28.357480171277643,
2021-08-23 13:30:00,-19.270590746716323,
2021-08-23 15:00:00,-17.548275370578665,
2021-08-23 15:30:30,-17.548275370578665,
2021-08-23 23:59:59,-25.272996173743877,c
2021-08-24 00:00:00,-9.39282489816162,
2021-08-24 10:00:00,25.49102416334688,
2021-08-24 10:30:00,17.1440105286718,
2021-08-24 12:00:00,12.510948359722022,
2021-08-24 13:30:00,23.717239977246606,
2021-08-24 15:00:00,24.96187483183087,
2021-08-24 15:30:30,24.96187483183087,
2021-08-24 23:59:59,29.269522564024783,c
2021-08-25 00:00:00,50.559834006903884,
2021-08-25 10:00:00,50.92283315516471,
2021-08-25 10:30:00,48.347937075891025,
2021-08-25 12:00:00,52.91441689578261,
2021-08-25 13:30:00,63.4982606349642,
2021-08-25 15:00:00,56.74785027190603,
2021-08-25 15:30:30,56.74785027190603,
2021-08-25 23:59:59,42.65839416788742,c
2021-08-26 00:00:00,59.58638814848632,
2021-08-26 10:00:00,46.94043260270297,
2021-08-26 10:30:00,48.91583881995149,
2021-08-26 12:00:00,30.5748340420796,
2021-08-26 13:30:00,27.54757034480292,
2021-08-26 15:00:00,15.506380527466945,
2021-08-26 15:30:30,15.506380527466945,
2021-08-26 23:59:59,21.87530016763651,c
2021-08-27 00:00:00,8.378240276997019,
2021-08-27 10:00:00,45.832907213560134,
2021-08-27 10:30:00,43.33406281380206,
2021-08-27 12:00:00,63.61454938711108,
2021-08-27 13:30:00,69.78237700086419,
2021-08-27 15:00:00,68.61258716098871,
2021-08-27 15:30:30,68.61258716098871,
2021-08-27 23:59:59,55.209724589596476,w
2021-08-30 00:00:00,66.90524957926186,
2021-08-30 10:00:00,36.935077169380634,
2021-08-30 10:30:00,20.679591999489674,
2021-08-30 12:00:00,15.076152195376494,
2021-08-30 13:30:00,30.04385169681842,
2021-08-30 15:00:00,27.35215405584904,
2021-08-30 15:30:30,27.35215405584904,
2021-08-30 23:59:59,22.846981051540922,c
2021-08-31 00:00:00,36.69301159060035,
2021-08-31 10:00:00,28.46630957969421,
2021-08-31 10:30:00,27.691655047274764,
2021-08-31 12:00:00,35.963096658175175,
2021-08-31 13:30:00,39.551035828686224,
2021-08-31 15:00:00,33.306802151716,
2021-08-31 15:30:30,33.306802151716,s
2021-08-31 23:59:59,25.85950960206975,c
2021-09-01 00:00:00,24.79885755488999,
2021-09-01 10:00:00,11.178858240243528,
2021-09-01 10:30:00,-4.635856053472935,
2021-09-01 12:00:00,-16.81935691395904,
2021-09-01 13:30:00,-6.704591287053802,
2021-09-01 15:00:00,-25.62007788566268,
2021-09-01 15:30:30,-25.62007788566268,
2021-09-01 23:59:59,-24.66271259945529,c
2021-09-02 00:00:00,-3.2835686338808046,
2021-09-02 10:00:00,-20.40912613623493,
2021-09-02 10:30:00,-8.778543520319374,
2021-09-02 12:00:00,22.570920920166884,
2021-09-02 13:30:00,15.405932374374288,
2021-09-02 15:00:00,2.444595510033537,
2021-09-02 15:30:30,2.444595510033537,
