date,AS_HSCEI_2021_Q4,meta
2021-10-29 00:00:00,129.92768592847065,
2021-10-29 01:00:00,129.92768592847065,
2021-10-29 02:30:00,141.95000520479013,
2021-10-29 03:00:00,130.93397337844476,
2021-10-29 18:30:00,130.93397337844476,
2021-10-29 20:00:00,130.93397337844476,
2021-10-29 23:00:00,130.93397337844476,
2021-10-29 23:59:59,143.9673139121342,w
2021-11-01 00:00:00,70.9195830358002,
2021-11-01 01:00:00,70.9195830358002,
2021-11-01 02:30:00,62.65004356996485,
2021-11-01 03:00:00,65.22129110299062,
2021-11-01 18:30:00,65.22129110299062,
2021-11-01 20:00:00,65.22129110299062,
2021-11-01 23:00:00,50.300678148282714,
2021-11-01 23:59:59,62.59735613877655,c
2021-11-02 00:00:00,102.67168201074989,
2021-11-02 01:00:00,102.67168201074989,
2021-11-02 02:30:00,95.21245020632756,
2021-11-02 03:00:00,98.51089132685308,
2021-11-02 18:30:00,98.51089132685308,
2021-11-02 20:00:00,98.51089132685308,
2021-11-02 23:00:00,16.471757063564667,
2021-11-02 23:59:59,25.37361094042069,c
2021-11-03 00:00:00,15.649227613219125,
2021-11-03 01:00:00,15.649227613219125,
2021-11-03 02:30:00,37.59731723094262,
2021-11-03 03:00:00,22.36851352190257,
2021-11-03 18:30:00,22.36851352190257,
2021-11-03 20:00:00,22.36851352190257,
2021-11-03 23:00:00,68.48687777532535,
2021-11-03 23:59:59,38.08112751464404,c
2021-11-04 00:00:00,62.81032353456192,
2021-11-04 01:00:00,62.81032353456192,
2021-11-04 02:30:00,49.21433111152845,
2021-11-04 03:00:00,31.84604723130218,
2021-11-04 18:30:00,31.84604723130218,
2021-11-04 20:00:00,31.84604723130218,
2021-11-04 23:00:00,69.47897941584478,
2021-11-04 23:59:59,61.89972728890723,c
2021-11-05 00:00:00,44.515197473605724,
2021-11-05 01:00:00,44.515197473605724,
2021-11-05 02:30:00,52.09908700872563,
2021-11-05 03:00:00,49.00368731855235,
2021-11-05 18:30:00,49.00368731855235,
2021-11-05 20:00:00,49.00368731855235,
2021-11-05 23:00:00,49.00368731855235,
2021-11-05 23:59:59,46.64531948903971,w
2021-11-08 00:00:00,-16.98613093829624,
2021-11-08 01:00:00,-5.2032793381449665,
2021-11-08 02:30:00,16.195300780528157,
2021-11-08 03:00:00,31.009673961144642,
2021-11-08 18:30:00,31.009673961144642,
2021-11-08 20:00:00,31.009673961144642,
2021-11-08 23:00:00,73.10328703238213,
2021-11-08 23:59:59,73.01838606768302,c
2021-11-09 00:00:00,68.9891036063579,
2021-11-09 01:00:00,93.25119743147044,
2021-11-09 02:30:00,80.05822122791253,
2021-11-09 03:00:00,83.59687960551352,
2021-11-09 18:30:00,83.59687960551352,
2021-11-09 20:00:00,83.59687960551352,
2021-11-09 23:00:00,96.36340570612674,
2021-11-09 23:59:59,96.33463389709638,c
2021-11-10 00:00:00,90.92614377134404,
2021-11-10 01:00:00,165.27735550592854,
2021-11-10 02:30:00,168.19667285161086,
2021-11-10 03:00:00,175.2533820482519,
2021-11-10 18:30:00,175.2533820482519,
2021-11-10 20:00:00,175.2533820482519,
2021-11-10 23:00:00,117.31568624239233,
2021-11-10 23:59:59,117.35431167148636,c
2021-11-11 00:00:00,85.86800068073754,
2021-11-11 01:00:00,82.2498374179485,
2021-11-11 02:30:00,128.20641687431362,
2021-11-11 03:00:00,128.3596495616417,
2021-11-11 18:30:00,128.3596495616417,
2021-11-11 20:00:00,128.3596495616417,
2021-11-11 23:00:00,88.45732309815861,
2021-11-11 23:59:59,88.52146051126351,c
2021-11-12 00:00:00,123.33999050942654,
2021-11-12 01:00:00,108.76526366452094,
2021-11-12 02:30:00,116.63392219128193,
2021-11-12 03:00:00,122.76760216496629,
2021-11-12 18:30:00,122.76760216496629,
2021-11-12 20:00:00,122.76760216496629,
2021-11-12 23:00:00,122.76760216496629,
2021-11-12 23:59:59,122.72458070351468,w
2021-11-15 00:00:00,169.4314471766063,
2021-11-15 01:00:00,156.37269171333764,
2021-11-15 02:30:00,161.3503999080111,
2021-11-15 03:00:00,149.24666749494125,
2021-11-15 18:30:00,149.24666749494125,
2021-11-15 20:00:00,149.24666749494125,
2021-11-15 23:00:00,210.30082905861207,
2021-11-15 23:59:59,210.29769893604572,c
2021-11-16 00:00:00,221.488191511512,
2021-11-16 01:00:00,237.36541472424122,
2021-11-16 02:30:00,223.09676004051084,
2021-11-16 03:00:00,222.3251268194787,
2021-11-16 18:30:00,222.3251268194787,
2021-11-16 20:00:00,222.3251268194787,
2021-11-16 23:00:00,260.1816609804076,
2021-11-16 23:59:59,260.1890633011162,c
2021-11-17 00:00:00,226.5360617230341,
2021-11-17 01:00:00,217.8166432905494,
2021-11-17 02:30:00,236.43798783122014,
2021-11-17 03:00:00,221.47476591697387,
2021-11-17 18:30:00,221.47476591697387,
2021-11-17 20:00:00,221.47476591697387,
2021-11-17 23:00:00,216.44748582968623,
2021-11-17 23:59:59,216.43112793749123,c
2021-11-18 00:00:00,140.37316685499113,
2021-11-18 01:00:00,151.25705905191407,
2021-11-18 02:30:00,138.65791607797294,
2021-11-18 03:00:00,124.98255140019947,
2021-11-18 18:30:00,124.98255140019947,
2021-11-18 20:00:00,124.98255140019947,
2021-11-18 23:00:00,216.70146764114156,
2021-11-18 23:59:59,216.70245904360235,c
2021-11-19 00:00:00,29.32136167546105,
2021-11-19 01:00:00,36.70087027658337,
2021-11-19 02:30:00,7.033829801724096,
2021-11-19 03:00:00,0.00426468255494683,
2021-11-19 18:30:00,0.00426468255494683,
