date,XLPWMT_2022_Q2,meta
2022-05-10 00:00:00,-727.8100227244032,
2022-05-10 10:00:00,-726.1090191153371,
2022-05-10 10:30:00,-721.9013139542697,
2022-05-10 12:00:00,-709.9730072421514,
2022-05-10 13:30:00,-726.4723622981016,
2022-05-10 15:00:00,-725.9013689660143,
2022-05-10 15:30:30,-725.9013689660143,
2022-05-10 23:59:59,-718.4487298616644,c
2022-05-11 00:00:00,-738.4731368482,
2022-05-11 10:00:00,-740.3227723467181,
2022-05-11 10:30:00,-745.0899264540808,
2022-05-11 12:00:00,-692.6446097911096,
2022-05-11 13:30:00,-655.4621320500615,
2022-05-11 15:00:00,-658.2039711964924,
2022-05-11 15:30:30,-658.2039711964924,
2022-05-11 23:59:59,-680.559216244702,c
2022-05-12 00:00:00,-668.1791057413377,
2022-05-12 10:00:00,-724.5943560396505,
2022-05-12 10:30:00,-748.5591123142499,
2022-05-12 12:00:00,-742.7001577462271,
2022-05-12 13:30:00,-722.5933811103644,
2022-05-12 15:00:00,-694.0170635313293,
2022-05-12 15:30:30,-694.0170635313293,
2022-05-12 23:59:59,-676.5359223403365,c
2022-05-13 00:00:00,-664.8584849991536,
2022-05-13 10:00:00,-625.1691641634922,
2022-05-13 10:30:00,-637.8563686937263,
2022-05-13 12:00:00,-611.144264395567,
2022-05-13 13:30:00,-624.7252266068671,
2022-05-13 15:00:00,-634.5896283742541,
2022-05-13 15:30:30,-634.5896283742541,
2022-05-13 23:59:59,-623.9843411426328,w
2022-05-16 00:00:00,-683.5825145398196,
2022-05-16 10:00:00,-601.7728776301836,
2022-05-16 10:30:00,-614.2930477138649,
2022-05-16 12:00:00,-600.2320859177559,
2022-05-16 13:30:00,-617.6680548669857,
2022-05-16 15:00:00,-610.7358267369989,
2022-05-16 15:30:30,-610.7358267369989,
2022-05-16 23:59:59,-607.2832234357492,c
2022-05-17 00:00:00,-175.14018484908433,
2022-05-17 10:00:00,-157.30694699124402,
2022-05-17 10:30:00,-173.09134175868195,
2022-05-17 12:00:00,-88.02528070067838,
2022-05-17 13:30:00,-43.56277004181237,
2022-05-17 15:00:00,-11.78894099753478,
2022-05-17 15:30:30,-11.78894099753478,
2022-05-17 23:59:59,0.0,a
2022-05-18 00:00:00,0.0,
2022-05-18 10:00:00,0.0,
2022-05-18 10:30:00,0.0,
2022-05-18 12:00:00,0.0,
2022-05-18 13:30:00,0.0,
2022-05-18 15:00:00,0.0,
2022-05-18 15:30:30,0.0,
2022-05-18 23:59:59,0.0,c
2022-05-19 00:00:00,0.0,
2022-05-19 10:00:00,0.0,
2022-05-19 10:30:00,0.0,
2022-05-19 12:00:00,0.0,
2022-05-19 13:30:00,0.0,
2022-05-19 15:00:00,0.0,
2022-05-19 15:30:30,0.0,
2022-05-19 23:59:59,0.0,c
2022-05-20 00:00:00,0.0,
2022-05-20 10:00:00,0.0,
2022-05-20 10:30:00,0.0,
