date,AS_FTSE_EM_STAY_2022_Q1,meta
2022-01-07 00:00:00,-43.30162753726833,
2022-01-07 01:00:00,-10.304936295260532,
2022-01-07 02:30:00,-25.124820795137126,
2022-01-07 03:00:00,-34.75266960129113,
2022-01-07 18:30:00,-34.75266960129113,
2022-01-07 20:00:00,-34.75266960129113,
2022-01-07 23:00:00,-34.75266960129113,
2022-01-07 23:59:59,-36.460085218443126,w
2022-01-10 00:00:00,70.46049143062643,
2022-01-10 01:00:00,64.12311307343134,
2022-01-10 02:30:00,85.77953887859212,
2022-01-10 03:00:00,83.64682103888052,
2022-01-10 18:30:00,83.64682103888052,
2022-01-10 20:00:00,83.64682103888052,
2022-01-10 23:00:00,107.80411829095684,
2022-01-10 23:59:59,119.12696791935784,c
2022-01-11 00:00:00,112.04409068098363,
2022-01-11 01:00:00,106.23472444198774,
2022-01-11 02:30:00,131.4481717042841,
2022-01-11 03:00:00,125.04166764044658,
2022-01-11 18:30:00,125.04166764044658,
2022-01-11 20:00:00,125.04166764044658,
2022-01-11 23:00:00,247.90183646053376,
2022-01-11 23:59:59,245.84585509526445,c
2022-01-12 00:00:00,269.21237262357533,
2022-01-12 01:00:00,248.5920479804657,
2022-01-12 02:30:00,259.31239195085436,
2022-01-12 03:00:00,264.7947827945437,
2022-01-12 18:30:00,264.7947827945437,
2022-01-12 20:00:00,264.7947827945437,
2022-01-12 23:00:00,197.08114731341888,
2022-01-12 23:59:59,192.65381123847592,c
2022-01-13 00:00:00,182.24272918003717,
2022-01-13 01:00:00,150.15651899431035,
2022-01-13 02:30:00,173.34405889113916,
2022-01-13 03:00:00,173.62795444221044,
2022-01-13 18:30:00,173.62795444221044,
2022-01-13 20:00:00,173.62795444221044,
2022-01-13 23:00:00,193.99854944553456,
2022-01-13 23:59:59,191.82034688480437,c
2022-01-14 00:00:00,195.63787087101255,
2022-01-14 01:00:00,202.89971177447504,
2022-01-14 02:30:00,204.2699271721235,
2022-01-14 03:00:00,208.73061395234888,
2022-01-14 18:30:00,208.73061395234888,
2022-01-14 20:00:00,208.73061395234888,
2022-01-14 23:00:00,208.73061395234888,
2022-01-14 23:59:59,209.63855887372486,w
2022-01-17 00:00:00,215.04239567329384,
2022-01-17 01:00:00,179.95494659738554,
2022-01-17 02:30:00,178.48469400740763,
2022-01-17 03:00:00,163.87301475366328,
2022-01-17 18:30:00,163.87301475366328,
2022-01-17 20:00:00,163.87301475366328,
2022-01-17 23:00:00,268.6975734366125,
2022-01-17 23:59:59,275.0637759466597,c
2022-01-18 00:00:00,296.10969188019146,
2022-01-18 01:00:00,271.19209374940056,
2022-01-18 02:30:00,221.66548200134028,
2022-01-18 03:00:00,236.51274537407298,
2022-01-18 18:30:00,236.51274537407298,
2022-01-18 20:00:00,236.51274537407298,
2022-01-18 23:00:00,206.3526512697625,
2022-01-18 23:59:59,197.3401212572438,c
2022-01-19 00:00:00,223.2610061297025,
2022-01-19 01:00:00,180.58974871454294,
2022-01-19 02:30:00,167.37029940940127,
2022-01-19 03:00:00,169.2573032899791,
2022-01-19 18:30:00,169.2573032899791,
2022-01-19 20:00:00,169.2573032899791,
2022-01-19 23:00:00,190.4324774516477,
2022-01-19 23:59:59,185.92199892850905,c
2022-01-20 00:00:00,202.20027966738863,
2022-01-20 01:00:00,237.47290433608705,
2022-01-20 02:30:00,242.35793556702723,
2022-01-20 03:00:00,235.6229133526755,
2022-01-20 18:30:00,235.6229133526755,
2022-01-20 20:00:00,235.6229133526755,
2022-01-20 23:00:00,247.85804014457355,
2022-01-20 23:59:59,249.34611860077902,c
2022-01-21 00:00:00,276.8381659331093,
2022-01-21 01:00:00,272.82804416266333,
2022-01-21 02:30:00,299.1196585263107,
2022-01-21 03:00:00,272.0488796835084,
2022-01-21 18:30:00,272.0488796835084,
2022-01-21 20:00:00,272.0488796835084,
2022-01-21 23:00:00,272.0488796835084,
2022-01-21 23:59:59,268.55719021867696,w
2022-01-24 00:00:00,246.00608266529932,
2022-01-24 01:00:00,236.67493142709046,
2022-01-24 02:30:00,244.82265096904163,
2022-01-24 03:00:00,236.6841831222279,
2022-01-24 18:30:00,236.6841831222279,
2022-01-24 20:00:00,236.6841831222279,
2022-01-24 23:00:00,230.32437283581274,
2022-01-24 23:59:59,227.05731806395002,c
2022-01-25 00:00:00,232.38448893622044,
2022-01-25 01:00:00,185.9485481753484,
2022-01-25 02:30:00,139.09962227747602,
2022-01-25 03:00:00,149.12522110434614,
2022-01-25 18:30:00,149.12522110434614,
2022-01-25 20:00:00,149.12522110434614,
2022-01-25 23:00:00,125.44553327745811,
2022-01-25 23:59:59,126.63330846973378,c
2022-01-26 00:00:00,136.59778952612484,
2022-01-26 01:00:00,134.61601141811997,
2022-01-26 02:30:00,119.2425417875304,
2022-01-26 03:00:00,113.55174917371318,
2022-01-26 18:30:00,113.55174917371318,
2022-01-26 20:00:00,113.55174917371318,
2022-01-26 23:00:00,9.18236255236475,
2022-01-26 23:59:59,7.605346694781332,c
2022-01-27 00:00:00,13.879449727190973,
2022-01-27 01:00:00,29.95849234299368,
2022-01-27 02:30:00,19.470203521403704,
2022-01-27 03:00:00,35.96249294206285,
2022-01-27 18:30:00,35.96249294206285,
2022-01-27 20:00:00,35.96249294206285,
2022-01-27 23:00:00,-89.20828215765877,
2022-01-27 23:59:59,-88.76632653089393,c
2022-01-28 00:00:00,-103.95121641421218,
2022-01-28 01:00:00,-109.23052129708799,
2022-01-28 02:30:00,-99.41148415263686,
2022-01-28 03:00:00,-94.6646913467912,
