date,AS_MSCI_QUAL_2022_Q2,meta
2022-05-05 01:00:00,-48.55655102499526,
2022-05-05 02:30:00,-48.68069983295061,
2022-05-05 03:00:00,-48.78109262428433,
2022-05-05 18:30:00,-48.78109262428433,
2022-05-05 20:00:00,-48.78109262428433,
2022-05-05 23:00:00,-42.34219543672083,
2022-05-05 23:59:59,-28.10494458406714,c
2022-05-06 00:00:00,-14.994674579603895,
2022-05-06 01:00:00,-16.053546931229562,
2022-05-06 02:30:00,-4.301154301384088,
2022-05-06 03:00:00,-3.96035230261964,
2022-05-06 18:30:00,-3.96035230261964,
2022-05-06 20:00:00,-3.96035230261964,
2022-05-06 23:00:00,-3.96035230261964,
2022-05-06 23:59:59,-7.015961757895127,w
2022-05-09 00:00:00,-14.099218947181669,
2022-05-09 01:00:00,-12.225268878244663,
2022-05-09 02:30:00,-12.225268878244663,
2022-05-09 03:00:00,-12.225268878244663,
2022-05-09 18:30:00,-12.225268878244663,
2022-05-09 20:00:00,-12.225268878244663,
2022-05-09 23:00:00,14.042745102710228,
2022-05-09 23:59:59,-16.91512227200309,c
2022-05-10 00:00:00,-46.00304984136375,
2022-05-10 01:00:00,-44.80804734021194,
2022-05-10 02:30:00,-31.016158705799,
2022-05-10 03:00:00,-28.737160184298943,
2022-05-10 18:30:00,-28.737160184298943,
2022-05-10 20:00:00,-28.737160184298943,
2022-05-10 23:00:00,-76.65848403680599,
2022-05-10 23:59:59,-72.26458820388893,c
2022-05-11 00:00:00,-86.7550646269766,
2022-05-11 01:00:00,-80.2588986195558,
2022-05-11 02:30:00,-78.31165333182912,
2022-05-11 03:00:00,-76.28376009504944,
2022-05-11 18:30:00,-76.28376009504944,
2022-05-11 20:00:00,-76.28376009504944,
2022-05-11 23:00:00,-51.98253954024267,
2022-05-11 23:59:59,-51.00236467181884,c
2022-05-12 00:00:00,-48.40262705912647,
2022-05-12 01:00:00,-33.30963438433923,
2022-05-12 02:30:00,-35.589751809329925,
2022-05-12 03:00:00,-34.99933019576741,
2022-05-12 18:30:00,-34.99933019576741,
2022-05-12 20:00:00,-34.99933019576741,
2022-05-12 23:00:00,-15.95209060340477,
2022-05-12 23:59:59,-51.373138196375294,c
2022-05-13 00:00:00,-43.59924265707264,
2022-05-13 01:00:00,-57.54465417268193,
2022-05-13 02:30:00,-55.976094919890215,
2022-05-13 03:00:00,-56.255168529042464,
2022-05-13 18:30:00,-56.255168529042464,
2022-05-13 20:00:00,-56.255168529042464,
2022-05-13 23:00:00,-56.255168529042464,
2022-05-13 23:59:59,-44.986839013840836,w
2022-05-16 00:00:00,-3.289749286587096,
2022-05-16 01:00:00,5.072270974124592,
2022-05-16 02:30:00,7.571316684184694,
2022-05-16 03:00:00,7.400339408741786,
2022-05-16 18:30:00,7.400339408741786,
2022-05-16 20:00:00,7.400339408741786,
2022-05-16 23:00:00,-30.408224227615108,
2022-05-16 23:59:59,-53.74920677096736,c
2022-05-17 00:00:00,-33.08227678237665,
