date,XSVM_2022_Q4,meta
2022-12-01 00:00:00,-207.56881636454665,
2022-12-01 10:00:00,-226.1654490867286,
2022-12-01 10:30:00,-230.15296845124914,
2022-12-01 12:00:00,-252.53731774456065,
2022-12-01 13:30:00,-248.4962126238874,
2022-12-01 15:00:00,-246.0818223534127,
2022-12-01 15:30:30,-246.0818223534127,
2022-12-01 23:59:59,-246.273209226566,c
2022-12-02 00:00:00,-235.36962505574866,
2022-12-02 10:00:00,-243.6027977049203,
2022-12-02 10:30:00,-252.6842193921977,
2022-12-02 12:00:00,-242.04523374059522,
2022-12-02 13:30:00,-246.11381679265827,
2022-12-02 15:00:00,-242.93057856989748,
2022-12-02 15:30:30,-242.93057856989748,s
2022-12-02 23:59:59,-240.48512259605167,w
2022-12-05 00:00:00,-215.11572106355715,
2022-12-05 10:00:00,-205.44601684210312,
2022-12-05 10:30:00,-204.9784146646843,
2022-12-05 12:00:00,-231.22145117751512,
2022-12-05 13:30:00,-252.6028747437362,
2022-12-05 15:00:00,-258.044230585319,
2022-12-05 15:30:30,-258.044230585319,
2022-12-05 23:59:59,-261.8502851501893,c
2022-12-06 00:00:00,-273.16829273029657,
2022-12-06 10:00:00,-268.345849721705,
2022-12-06 10:30:00,-284.45072567816146,
2022-12-06 12:00:00,-278.6958631207744,
2022-12-06 13:30:00,-283.1589876051546,
2022-12-06 15:00:00,-279.81162548577987,
2022-12-06 15:30:30,-279.81162548577987,
2022-12-06 23:59:59,-265.5251726722518,c
2022-12-07 00:00:00,-271.552627281581,
2022-12-07 10:00:00,-249.0192448732431,
2022-12-07 10:30:00,-258.0507967172265,
2022-12-07 12:00:00,-287.157428536316,
2022-12-07 13:30:00,-288.3056333915506,
2022-12-07 15:00:00,-290.92979422510143,
2022-12-07 15:30:30,-290.92979422510143,
2022-12-07 23:59:59,-284.3388694216116,c
2022-12-08 00:00:00,-259.72414659865495,
2022-12-08 10:00:00,-250.61841977187913,
2022-12-08 10:30:00,-256.07182613076253,
2022-12-08 12:00:00,-262.7390763424189,
2022-12-08 13:30:00,-272.980586477432,
2022-12-08 15:00:00,-273.8646423988123,
2022-12-08 15:30:30,-273.8646423988123,
2022-12-08 23:59:59,-278.25236752598727,c
2022-12-09 00:00:00,-286.01091010408385,
2022-12-09 10:00:00,-272.00584922881364,
2022-12-09 10:30:00,-280.12834282186594,
2022-12-09 12:00:00,-263.37032997027336,
2022-12-09 13:30:00,-278.60670622149917,
2022-12-09 15:00:00,-290.39704769333304,
2022-12-09 15:30:30,-290.39704769333304,
2022-12-09 23:59:59,-289.8128453474402,w
2022-12-12 00:00:00,-258.35132451902473,
2022-12-12 10:00:00,-188.48505580150027,
2022-12-12 10:30:00,-169.6761873344214,
2022-12-12 12:00:00,-169.80993802945932,
2022-12-12 13:30:00,-163.67320786740333,
2022-12-12 15:00:00,-147.362723376529,
2022-12-12 15:30:30,-147.362723376529,
2022-12-12 23:59:59,-152.70446599794104,c
2022-12-13 00:00:00,-129.63143995575098,
2022-12-13 10:00:00,-113.73229838596619,
2022-12-13 10:30:00,-124.72544170222521,
2022-12-13 12:00:00,-115.55042956484486,
2022-12-13 13:30:00,-123.43341550964455,
2022-12-13 15:00:00,-129.90756063444024,
2022-12-13 15:30:30,-129.90756063444024,
2022-12-13 23:59:59,-129.4260335675986,c
2022-12-14 00:00:00,-120.00259873722847,
2022-12-14 10:00:00,-95.07849211391003,
2022-12-14 10:30:00,-96.50009268797378,
2022-12-14 12:00:00,-92.71059726027481,
2022-12-14 13:30:00,-71.0079266494526,
2022-12-14 15:00:00,-72.50630740176098,
2022-12-14 15:30:30,-72.50630740176098,
