date,LOCK_2021_Q2,meta
2021-05-21 00:00:00,100.63538839927185,
2021-05-21 10:00:00,94.06952599190447,
2021-05-21 10:30:00,85.44517040916423,
2021-05-21 12:00:00,100.24230358077386,
2021-05-21 13:30:00,114.41634423561857,
2021-05-21 15:00:00,106.67736150921382,
2021-05-21 15:30:30,106.67736150921382,
2021-05-21 23:59:59,99.41082683264904,w
2021-05-24 00:00:00,109.18276208050099,
2021-05-24 10:00:00,127.86056021782645,
2021-05-24 10:30:00,131.61193436660153,
2021-05-24 12:00:00,124.79184850987906,
2021-05-24 13:30:00,137.74481898075055,
2021-05-24 15:00:00,146.2883707306578,
2021-05-24 15:30:30,146.2883707306578,
2021-05-24 23:59:59,137.68958599717928,c
2021-05-25 00:00:00,128.1123057825588,
2021-05-25 10:00:00,125.45887848573352,
2021-05-25 10:30:00,133.96203620218807,
2021-05-25 12:00:00,137.20304615791645,
2021-05-25 13:30:00,138.97700761703436,
2021-05-25 15:00:00,142.8399209455264,
2021-05-25 15:30:30,142.8399209455264,
2021-05-25 23:59:59,136.5569505198273,c
2021-05-26 00:00:00,134.5579991443924,
2021-05-26 10:00:00,160.88632660225176,
2021-05-26 10:30:00,148.04321551992518,
2021-05-26 12:00:00,156.79880693471682,
2021-05-26 13:30:00,157.59013452441013,
2021-05-26 15:00:00,165.38805372068407,
2021-05-26 15:30:30,165.38805372068407,
2021-05-26 23:59:59,158.91636526001105,c
2021-05-27 00:00:00,142.09463415781124,
2021-05-27 10:00:00,75.11707288169976,
2021-05-27 10:30:00,102.0389450696174,
2021-05-27 12:00:00,106.25721164252059,
2021-05-27 13:30:00,123.95793194552516,
2021-05-27 15:00:00,114.56052432227716,
2021-05-27 15:30:30,114.56052432227716,m
2021-05-27 23:59:59,139.00323319578297,c
2021-05-28 00:00:00,131.82517935400404,
2021-05-28 10:00:00,151.2662299197665,
2021-05-28 10:30:00,146.5528895706235,
2021-05-28 12:00:00,143.4667276172869,
2021-05-28 13:30:00,134.23061797789876,
2021-05-28 15:00:00,136.45613900478918,
2021-05-28 15:30:30,136.45613900478918,s
2021-05-28 23:59:59,119.79501748848895,w
2021-05-31 00:00:00,116.30731933660866,
2021-05-31 10:00:00,116.83649350005226,
2021-05-31 10:30:00,116.48585554916599,
2021-05-31 12:00:00,119.07660028839473,
2021-05-31 13:30:00,120.44987821653638,
2021-05-31 15:00:00,119.08925943239501,
2021-05-31 15:30:30,119.08925943239501,
2021-05-31 23:59:59,120.95833145487381,c
2021-06-01 00:00:00,105.02625034262167,
2021-06-01 10:00:00,92.72136621304037,
2021-06-01 10:30:00,78.73901056615989,
2021-06-01 12:00:00,96.64722987368441,
2021-06-01 13:30:00,129.9066315942257,
2021-06-01 15:00:00,123.5255592302741,
2021-06-01 15:30:30,123.5255592302741,
2021-06-01 23:59:59,121.05817398414604,c
2021-06-02 00:00:00,100.18845875318323,
2021-06-02 10:00:00,75.05735159017058,
2021-06-02 10:30:00,82.60260056904849,
2021-06-02 12:00:00,74.1596490031352,
2021-06-02 13:30:00,62.86319473082415,
2021-06-02 15:00:00,47.64973104213061,
2021-06-02 15:30:30,47.64973104213061,
2021-06-02 23:59:59,58.62645720623982,c
2021-06-03 00:00:00,19.977469429547227,
2021-06-03 10:00:00,9.347904442740173,
2021-06-03 10:30:00,30.93385512857128,
2021-06-03 12:00:00,52.46410773746061,
2021-06-03 13:30:00,27.536426631583595,
2021-06-03 15:00:00,5.868286844473118,
2021-06-03 15:30:30,5.868286844473118,
2021-06-03 23:59:59,9.77642998542899,c
2021-06-04 00:00:00,17.834199297943314,
2021-06-04 10:00:00,33.909165942442314,
2021-06-04 10:30:00,29.12147724466047,
2021-06-04 12:00:00,28.08462316025873,
2021-06-04 13:30:00,23.243637067158716,
2021-06-04 15:00:00,7.715870172592304,
2021-06-04 15:30:30,7.715870172592304,
2021-06-04 23:59:59,0.0,a
2021-06-07 00:00:00,-10.519908321638695,
2021-06-07 10:00:00,22.929089257145733,
2021-06-07 10:30:00,51.87450883863414,
2021-06-07 12:00:00,57.637924281284654,
2021-06-07 13:30:00,40.028866740022295,
2021-06-07 15:00:00,73.73419899473879,
2021-06-07 15:30:30,73.73419899473879,
2021-06-07 23:59:59,70.54303708132852,c
2021-06-08 00:00:00,93.74701553196053,
2021-06-08 10:00:00,113.71866143007162,
2021-06-08 10:30:00,122.48655768530125,
2021-06-08 12:00:00,104.6939453258857,
2021-06-08 13:30:00,102.99595600212967,
2021-06-08 15:00:00,124.24242682261945,
2021-06-08 15:30:30,124.24242682261945,
2021-06-08 23:59:59,126.37410847614012,c
2021-06-09 00:00:00,145.4352677243137,
2021-06-09 10:00:00,132.54317861505456,
2021-06-09 10:30:00,127.59507543265977,
2021-06-09 12:00:00,111.65242523339157,
2021-06-09 13:30:00,135.14741758301386,
2021-06-09 15:00:00,110.20056157410318,
2021-06-09 15:30:30,110.20056157410318,
2021-06-09 23:59:59,115.42189031163014,c
2021-06-10 00:00:00,96.14730843895927,
2021-06-10 10:00:00,123.81557071789075,
2021-06-10 10:30:00,121.9871318826032,
2021-06-10 12:00:00,127.17449088804915,
2021-06-10 13:30:00,146.68223200794876,
2021-06-10 15:00:00,164.43555186043022,
2021-06-10 15:30:30,164.43555186043022,
2021-06-10 23:59:59,170.3036781345346,c
2021-06-11 00:00:00,155.7010513248572,
2021-06-11 10:00:00,173.72459024585703,
2021-06-11 10:30:00,187.5259280044428,
2021-06-11 12:00:00,171.78504544772,
2021-06-11 13:30:00,173.60401759345712,
