date,AS_HSTECH_2022_Q2,meta
2022-04-29 00:00:00,-74.18969480858595,
2022-04-29 01:00:00,-74.18969480858595,
2022-04-29 02:30:00,16.51310347167339,
2022-04-29 03:00:00,33.95555013474052,
2022-04-29 18:30:00,33.95555013474052,
2022-04-29 20:00:00,33.95555013474052,
2022-04-29 23:00:00,33.95555013474052,
2022-04-29 23:59:59,-10.275694234140246,w
2022-05-02 00:00:00,-10.275694234140246,
2022-05-02 01:00:00,-10.275694234140246,
2022-05-02 02:30:00,-10.275694234140246,
2022-05-02 03:00:00,-10.275694234140246,
2022-05-02 18:30:00,-10.275694234140246,
2022-05-02 20:00:00,-10.275694234140246,
2022-05-02 23:00:00,-43.64994330122272,
2022-05-02 23:59:59,-43.64994330122272,c
2022-05-03 00:00:00,-111.8508475326272,
2022-05-03 01:00:00,-111.8508475326272,
2022-05-03 02:30:00,-98.19161652674734,
2022-05-03 03:00:00,-84.12092285536653,
2022-05-03 18:30:00,-84.12092285536653,
2022-05-03 20:00:00,-84.12092285536653,
2022-05-03 23:00:00,-75.36796230693005,
2022-05-03 23:59:59,-110.93728520097397,c
2022-05-04 00:00:00,-99.86303165352399,
2022-05-04 01:00:00,-99.86303165352399,
2022-05-04 02:30:00,-128.85608471526677,
2022-05-04 03:00:00,-144.5595101514317,
2022-05-04 18:30:00,-144.5595101514317,
2022-05-04 20:00:00,-144.5595101514317,
2022-05-04 23:00:00,-142.94658525819943,
2022-05-04 23:59:59,-132.28452157156596,c
2022-05-05 00:00:00,-98.06125211460733,
2022-05-05 01:00:00,-98.06125211460733,
2022-05-05 02:30:00,-74.35284503377534,
2022-05-05 03:00:00,-69.96170200058862,
2022-05-05 18:30:00,-69.96170200058862,
2022-05-05 20:00:00,-69.96170200058862,
2022-05-05 23:00:00,-177.63260617394235,
2022-05-05 23:59:59,-134.77544977456625,c
2022-05-06 00:00:00,-175.63983615194638,
2022-05-06 01:00:00,-175.63983615194638,
2022-05-06 02:30:00,-221.95451643513059,
2022-05-06 03:00:00,-215.06411951327073,
2022-05-06 18:30:00,-215.06411951327073,
2022-05-06 20:00:00,-215.06411951327073,
2022-05-06 23:00:00,-215.06411951327073,
2022-05-06 23:59:59,-215.0248353407469,w
2022-05-09 00:00:00,-215.0248353407469,
2022-05-09 01:00:00,-215.0248353407469,
2022-05-09 02:30:00,-215.0248353407469,
2022-05-09 03:00:00,-215.0248353407469,
2022-05-09 18:30:00,-215.0248353407469,
2022-05-09 20:00:00,-215.0248353407469,
2022-05-09 23:00:00,-229.1169112362016,
2022-05-09 23:59:59,-229.1169112362016,c
2022-05-10 00:00:00,-369.8322025874314,
2022-05-10 01:00:00,-369.8322025874314,
2022-05-10 02:30:00,-354.0388637161185,
2022-05-10 03:00:00,-353.5610024408609,
2022-05-10 18:30:00,-353.5610024408609,
2022-05-10 20:00:00,-353.5610024408609,
2022-05-10 23:00:00,-362.5742159995859,
2022-05-10 23:59:59,-329.9578149498637,c
2022-05-11 00:00:00,-349.6249031008601,
2022-05-11 01:00:00,-349.6249031008601,
2022-05-11 02:30:00,-294.54337310943515,
2022-05-11 03:00:00,-313.70897181029585,
2022-05-11 18:30:00,-313.70897181029585,
2022-05-11 20:00:00,-313.70897181029585,
2022-05-11 23:00:00,-431.0966005427618,
2022-05-11 23:59:59,-348.87811483690274,c
2022-05-12 00:00:00,-421.0788937438621,
2022-05-12 01:00:00,-421.0788937438621,
2022-05-12 02:30:00,-477.1065500958785,
2022-05-12 03:00:00,-480.69703369417084,
2022-05-12 18:30:00,-480.69703369417084,
2022-05-12 20:00:00,-480.69703369417084,
2022-05-12 23:00:00,-486.9662361276554,
2022-05-12 23:59:59,-455.19826309800374,c
2022-05-13 00:00:00,-426.9225400913035,
2022-05-13 01:00:00,-426.9225400913035,
2022-05-13 02:30:00,-421.6641620518822,
2022-05-13 03:00:00,-400.902472996553,
2022-05-13 18:30:00,-400.902472996553,
2022-05-13 20:00:00,-400.902472996553,
2022-05-13 23:00:00,-400.902472996553,
2022-05-13 23:59:59,-455.2474444802676,w
2022-05-16 00:00:00,-324.09730178289163,
2022-05-16 01:00:00,-324.09730178289163,
2022-05-16 02:30:00,-320.265822269967,
2022-05-16 03:00:00,-305.26553134346364,
2022-05-16 18:30:00,-305.26553134346364,
2022-05-16 20:00:00,-305.26553134346364,
2022-05-16 23:00:00,-236.77052595867247,
2022-05-16 23:59:59,-219.65585794811386,c
2022-05-17 00:00:00,-215.77148187357864,
2022-05-17 01:00:00,-215.77148187357864,
2022-05-17 02:30:00,-265.7018367464887,
