date,FDL_2021_Q3,meta
2021-09-10 10:30:00,-17.34462989245867,
2021-09-10 12:00:00,-7.420252342684762,
2021-09-10 13:30:00,-8.868102026506676,
2021-09-10 15:00:00,-16.11134952673092,
2021-09-10 15:30:30,-16.11134952673092,
2021-09-10 23:59:59,0.0,a
2021-09-13 00:00:00,6.220906969171665,
2021-09-13 10:00:00,83.96687623875505,
2021-09-13 10:30:00,97.77559419503041,
2021-09-13 12:00:00,111.51273363317296,
2021-09-13 13:30:00,113.3413429787538,
2021-09-13 15:00:00,121.53183142714715,
2021-09-13 15:30:30,121.53183142714715,
2021-09-13 23:59:59,103.56235278137274,c
2021-09-14 00:00:00,106.35991878981486,
2021-09-14 10:00:00,76.19395370562052,
2021-09-14 10:30:00,66.7556248076121,
2021-09-14 12:00:00,57.51952959443042,
2021-09-14 13:30:00,70.0956203664864,
2021-09-14 15:00:00,64.23492155874237,
2021-09-14 15:30:30,64.23492155874237,
2021-09-14 23:59:59,71.68951740229295,c
2021-09-15 00:00:00,89.86394279212982,
2021-09-15 10:00:00,96.18119040618876,
2021-09-15 10:30:00,63.13893198205915,
2021-09-15 12:00:00,81.82131947823018,
2021-09-15 13:30:00,73.3996160280526,
2021-09-15 15:00:00,76.14644720519163,
2021-09-15 15:30:30,76.14644720519163,
2021-09-15 23:59:59,80.52842148454147,c
2021-09-16 00:00:00,84.07873416150278,
2021-09-16 10:00:00,100.7156771855407,
2021-09-16 10:30:00,131.5705867345273,
2021-09-16 12:00:00,138.13016522531325,
2021-09-16 13:30:00,131.85890759448512,
2021-09-16 15:00:00,122.7176745869383,
2021-09-16 15:30:30,122.7176745869383,
2021-09-16 23:59:59,121.848141486229,c
2021-09-17 00:00:00,128.18635179350758,
2021-09-17 10:00:00,151.48411184942552,
2021-09-17 10:30:00,146.47215352267767,
2021-09-17 12:00:00,146.10450663548636,
2021-09-17 13:30:00,152.8888489315932,
2021-09-17 15:00:00,159.9407112369713,
2021-09-17 15:30:30,159.9407112369713,
2021-09-17 23:59:59,160.95608055546427,e
2021-09-20 00:00:00,168.27492972438813,
2021-09-20 10:00:00,123.76783227667966,
2021-09-20 10:30:00,89.22971218356452,
2021-09-20 12:00:00,108.70785506749235,
2021-09-20 13:30:00,114.50296645541721,
2021-09-20 15:00:00,125.28922194408051,
2021-09-20 15:30:30,125.28922194408051,
2021-09-20 23:59:59,113.66341138152438,c
2021-09-21 00:00:00,104.53729925307107,
2021-09-21 10:00:00,95.17445913844267,
2021-09-21 10:30:00,102.98944389886992,
2021-09-21 12:00:00,111.13241402555605,
2021-09-21 13:30:00,115.90643466851861,
2021-09-21 15:00:00,129.8301083095762,
2021-09-21 15:30:30,129.8301083095762,
2021-09-21 23:59:59,121.07433753406212,c
2021-09-22 00:00:00,120.99673016291354,
2021-09-22 10:00:00,142.63009737297443,
2021-09-22 10:30:00,122.69532368757837,
2021-09-22 12:00:00,131.0396160049536,
2021-09-22 13:30:00,125.20591792779987,
2021-09-22 15:00:00,150.46490068331423,
2021-09-22 15:30:30,150.46490068331423,
2021-09-22 23:59:59,144.43415062144777,c
2021-09-23 00:00:00,135.93535712264156,
2021-09-23 10:00:00,136.58942691957145,
2021-09-23 10:30:00,139.26147675487664,
2021-09-23 12:00:00,153.7426125242614,
2021-09-23 13:30:00,162.6799629358311,
2021-09-23 15:00:00,153.94834159808624,
2021-09-23 15:30:30,153.94834159808624,
2021-09-23 23:59:59,168.96005076294932,c
2021-09-24 00:00:00,170.4942008356129,
2021-09-24 10:00:00,176.05652024358324,
2021-09-24 10:30:00,182.2475129544987,
2021-09-24 12:00:00,192.78358430571052,
2021-09-24 13:30:00,194.21322576827606,
2021-09-24 15:00:00,185.60971934962436,
2021-09-24 15:30:30,185.60971934962436,
2021-09-24 23:59:59,184.62765442500267,w
2021-09-27 00:00:00,208.90885771330068,
2021-09-27 10:00:00,236.93808181000668,
2021-09-27 10:30:00,232.35495306005805,
2021-09-27 12:00:00,254.59233592785404,
2021-09-27 13:30:00,259.5602534381187,
2021-09-27 15:00:00,259.77913089693675,
2021-09-27 15:30:30,259.77913089693675,
2021-09-27 23:59:59,269.2398229969199,c
2021-09-28 00:00:00,314.4742224039892,
2021-09-28 10:00:00,347.71607354233447,
2021-09-28 10:30:00,347.47454424072794,
2021-09-28 12:00:00,342.5520918757038,
2021-09-28 13:30:00,349.1132721253566,
2021-09-28 15:00:00,331.8628349655901,
2021-09-28 15:30:30,331.8628349655901,
2021-09-28 23:59:59,335.9066441726691,c
2021-09-29 00:00:00,329.1157375097846,
2021-09-29 10:00:00,323.2397176628724,
2021-09-29 10:30:00,328.13457048575174,
2021-09-29 12:00:00,325.7828945125475,
2021-09-29 13:30:00,318.9756511052801,
2021-09-29 15:00:00,304.46817591387025,
2021-09-29 15:30:30,304.46817591387025,
2021-09-29 23:59:59,305.1065636889134,c
2021-09-30 00:00:00,305.04355597653785,
2021-09-30 10:00:00,313.16267517462575,
2021-09-30 10:30:00,324.92952625741555,
2021-09-30 12:00:00,354.071354971672,
2021-09-30 13:30:00,353.0292531467594,
2021-09-30 15:00:00,348.91844859561434,
2021-09-30 15:30:30,348.91844859561434,
2021-09-30 23:59:59,368.4351607824142,c
2021-10-01 00:00:00,384.02716453257335,
2021-10-01 10:00:00,419.5378272805815,
2021-10-01 10:30:00,425.0290939498343,
2021-10-01 12:00:00,397.87281309937725,
2021-10-01 13:30:00,410.24343987390375,
2021-10-01 15:00:00,400.2663562355474,
2021-10-01 15:30:30,400.2663562355474,
2021-10-01 23:59:59,395.7632994846774,w
