date,AS_SDIV_2022_Q3,meta
2022-08-10 00:00:00,318.8276890913453,
2022-08-10 01:00:00,323.02751424644407,
2022-08-10 02:30:00,329.75791414035166,
2022-08-10 03:00:00,357.17819212638483,
2022-08-10 18:30:00,357.17819212638483,
2022-08-10 20:00:00,357.17819212638483,
2022-08-10 23:00:00,345.9106171903559,
2022-08-10 23:59:59,310.56711819606835,c
2022-08-11 00:00:00,306.4143223516535,
2022-08-11 01:00:00,305.7594221024233,
2022-08-11 02:30:00,265.9306499663944,
2022-08-11 03:00:00,265.4938628993832,
2022-08-11 18:30:00,265.4938628993832,
2022-08-11 20:00:00,265.4938628993832,
2022-08-11 23:00:00,263.92462264228743,
2022-08-11 23:59:59,241.47128196848462,c
2022-08-12 00:00:00,261.2096340624016,
2022-08-12 01:00:00,254.8252066540681,
2022-08-12 02:30:00,247.82699235028758,
2022-08-12 03:00:00,221.33264919586463,
2022-08-12 18:30:00,221.33264919586463,
2022-08-12 20:00:00,221.33264919586463,
2022-08-12 23:00:00,221.33264919586463,
2022-08-12 23:59:59,234.19943183318628,w
2022-08-15 00:00:00,170.22116986003903,
2022-08-15 01:00:00,164.3560179226938,
2022-08-15 02:30:00,181.78858165644806,
2022-08-15 03:00:00,184.59506132183424,
2022-08-15 18:30:00,184.59506132183424,
2022-08-15 20:00:00,184.59506132183424,
2022-08-15 23:00:00,117.23760477409633,
2022-08-15 23:59:59,148.39686105693227,c
2022-08-16 00:00:00,182.5922894972714,
2022-08-16 01:00:00,181.64377958240266,
2022-08-16 02:30:00,159.54178107459848,
2022-08-16 03:00:00,151.36083678266323,
2022-08-16 18:30:00,151.36083678266323,
2022-08-16 20:00:00,151.36083678266323,
2022-08-16 23:00:00,178.3118205885139,
2022-08-16 23:59:59,151.17462859615807,c
2022-08-17 00:00:00,138.70877642320238,
2022-08-17 01:00:00,131.6791842746311,
2022-08-17 02:30:00,141.51532630637757,
2022-08-17 03:00:00,160.9270539542872,
2022-08-17 18:30:00,160.9270539542872,
2022-08-17 20:00:00,160.9270539542872,
2022-08-17 23:00:00,187.76519101358326,
2022-08-17 23:59:59,193.62518215854243,c
2022-08-18 00:00:00,251.26387646843568,
2022-08-18 01:00:00,247.66160981773737,
2022-08-18 02:30:00,231.43896094362435,
2022-08-18 03:00:00,219.22775949978677,
2022-08-18 18:30:00,219.22775949978677,
2022-08-18 20:00:00,219.22775949978677,
2022-08-18 23:00:00,150.77168345894506,
2022-08-18 23:59:59,142.07423023270394,c
2022-08-19 00:00:00,159.6437295170781,
2022-08-19 01:00:00,157.29188884966334,
2022-08-19 02:30:00,102.83732363214995,
2022-08-19 03:00:00,86.00526028027889,
2022-08-19 18:30:00,86.00526028027889,
2022-08-19 20:00:00,86.00526028027889,
2022-08-19 23:00:00,86.00526028027889,
2022-08-19 23:59:59,119.4865615941494,w
2022-08-22 00:00:00,18.6317473632198,
2022-08-22 01:00:00,11.901679184547902,
2022-08-22 02:30:00,-28.058974042774025,
2022-08-22 03:00:00,-22.843238953271793,
2022-08-22 18:30:00,-22.843238953271793,
2022-08-22 20:00:00,-22.843238953271793,
2022-08-22 23:00:00,29.896830865310676,
2022-08-22 23:59:59,-24.243744864493237,c
2022-08-23 00:00:00,-32.620824658677975,
2022-08-23 01:00:00,-23.9508291230718,
2022-08-23 02:30:00,-13.436623057048564,
