date,NDX_2021_Q3,meta
2021-08-27 10:30:00,-120.1211488227832,
2021-08-27 12:00:00,-143.4539826343198,
2021-08-27 13:30:00,-151.31139436835792,
2021-08-27 15:00:00,-144.53757489633563,
2021-08-27 15:30:30,-144.53757489633563,
2021-08-27 23:59:59,-158.32379453766362,w
2021-08-30 00:00:00,-160.6119149656579,
2021-08-30 10:00:00,-171.44122367203863,
2021-08-30 10:30:00,-184.48867403200757,
2021-08-30 12:00:00,-178.05609222403336,
2021-08-30 13:30:00,-201.48190382353232,
2021-08-30 15:00:00,-197.07829920910808,
2021-08-30 15:30:30,-197.07829920910808,
2021-08-30 23:59:59,-190.5320911675385,c
2021-08-31 00:00:00,-193.34539759983,
2021-08-31 10:00:00,-216.77961585659432,
2021-08-31 10:30:00,-186.09046092224662,
2021-08-31 12:00:00,-180.45695743140777,
2021-08-31 13:30:00,-182.45865217712617,
2021-08-31 15:00:00,-186.9621605247371,
2021-08-31 15:30:30,-186.9621605247371,s
2021-08-31 23:59:59,-191.15214751775056,c
2021-09-01 00:00:00,-201.38551886702953,
2021-09-01 10:00:00,-222.38126883147515,
2021-09-01 10:30:00,-225.38487576430043,
2021-09-01 12:00:00,-232.5896354743536,
2021-09-01 13:30:00,-234.56796512634583,
2021-09-01 15:00:00,-224.63943742476386,
2021-09-01 15:30:30,-224.63943742476386,
2021-09-01 23:59:59,-221.43228616455053,c
2021-09-02 00:00:00,-237.71042155008126,
2021-09-02 10:00:00,-221.96722379696484,
2021-09-02 10:30:00,-207.77838871885297,
2021-09-02 12:00:00,-195.41866562329005,
2021-09-02 13:30:00,-187.44145658260095,
2021-09-02 15:00:00,-202.27290019864495,
2021-09-02 15:30:30,-202.27290019864495,
2021-09-02 23:59:59,-202.95182935341927,c
2021-09-03 00:00:00,-200.02574509673332,
2021-09-03 10:00:00,-214.4569329548026,
2021-09-03 10:30:00,-217.16593680967117,
2021-09-03 12:00:00,-227.5764673788285,
2021-09-03 13:30:00,-226.02505603905092,
2021-09-03 15:00:00,-231.3062594846956,
2021-09-03 15:30:30,-231.3062594846956,
2021-09-03 23:59:59,-206.6084281282574,w
2021-09-06 00:00:00,-206.6084281282574,
2021-09-06 10:00:00,-206.6084281282574,
2021-09-06 10:30:00,-206.6084281282574,
2021-09-06 12:00:00,-206.6084281282574,
2021-09-06 13:30:00,-206.6084281282574,
2021-09-06 15:00:00,-206.6084281282574,
2021-09-06 15:30:30,-206.6084281282574,
2021-09-06 23:59:59,-206.6084281282574,c
2021-09-07 00:00:00,-199.7393858541027,
2021-09-07 10:00:00,-161.72011744618794,
2021-09-07 10:30:00,-147.8724168910935,
2021-09-07 12:00:00,-172.2954294729484,
2021-09-07 13:30:00,-177.1456541491566,
2021-09-07 15:00:00,-173.53604711521393,
2021-09-07 15:30:30,-173.53604711521393,
2021-09-07 23:59:59,-166.54802163474278,c
2021-09-08 00:00:00,-136.64833588179044,
2021-09-08 10:00:00,-124.66637285710476,
2021-09-08 10:30:00,-120.9827612452168,
2021-09-08 12:00:00,-138.5371473402688,
2021-09-08 13:30:00,-123.15146469495585,
2021-09-08 15:00:00,-122.1575841547292,
2021-09-08 15:30:30,-122.1575841547292,
2021-09-08 23:59:59,-126.05422695923244,c
2021-09-09 00:00:00,-132.70405849246163,
2021-09-09 10:00:00,-97.88389757589675,
2021-09-09 10:30:00,-90.2557451693483,
2021-09-09 12:00:00,-63.54693095280891,
2021-09-09 13:30:00,-48.6484915490787,
2021-09-09 15:00:00,-37.97339193098287,
2021-09-09 15:30:30,-37.97339193098287,
2021-09-09 23:59:59,-36.98868263306531,c
2021-09-10 00:00:00,-51.52385698367061,
2021-09-10 10:00:00,-37.15972939922267,
2021-09-10 10:30:00,-39.262458805412734,
2021-09-10 12:00:00,18.46908981687966,
2021-09-10 13:30:00,5.628118801851997,
2021-09-10 15:00:00,6.039744021712522,
2021-09-10 15:30:30,6.039744021712522,
