date,GDXJ_2022_Q4,meta
2022-11-18 00:00:00,-766.8349760837077,
2022-11-18 10:00:00,-625.0488179889644,
2022-11-18 10:30:00,-626.9915957150401,
2022-11-18 12:00:00,-627.6882558057919,
2022-11-18 13:30:00,-667.0274462366046,
2022-11-18 15:00:00,-646.3101556295192,
2022-11-18 15:30:30,-646.3101556295192,
2022-11-18 23:59:59,-626.2466476609352,w
2022-11-21 00:00:00,-679.2426998014148,
2022-11-21 10:00:00,-706.1636893376294,
2022-11-21 10:30:00,-705.1206806155005,
2022-11-21 12:00:00,-722.0459461886239,
2022-11-21 13:30:00,-636.7093103087846,
2022-11-21 15:00:00,-644.5447494897899,
2022-11-21 15:30:30,-644.5447494897899,
2022-11-21 23:59:59,-595.8438818912246,c
2022-11-22 00:00:00,-553.5163358787227,
2022-11-22 10:00:00,-506.04276657566834,
2022-11-22 10:30:00,-473.1628421217074,
2022-11-22 12:00:00,-460.1288363740773,
2022-11-22 13:30:00,-468.33852317991295,
2022-11-22 15:00:00,-461.92951784424486,
2022-11-22 15:30:30,-461.92951784424486,
2022-11-22 23:59:59,-490.90022711484744,c
2022-11-23 00:00:00,-481.8570491284995,
2022-11-23 10:00:00,-483.04349388544597,
2022-11-23 10:30:00,-453.43324545381165,
2022-11-23 12:00:00,-521.7776079108353,
2022-11-23 13:30:00,-515.4910582138618,
2022-11-23 15:00:00,-443.66359633292905,
2022-11-23 15:30:30,-443.66359633292905,
2022-11-23 23:59:59,-469.95622766774704,c
2022-11-24 00:00:00,-408.0294520747848,
2022-11-24 10:00:00,-358.6286419377043,
2022-11-24 10:30:00,-422.99820755890823,
2022-11-24 12:00:00,-396.4447421897853,
2022-11-24 13:30:00,-396.5475534732709,
2022-11-24 15:00:00,-433.4099854724609,
2022-11-24 15:30:30,-433.4099854724609,
2022-11-24 23:59:59,-418.8295337828481,c
2022-11-25 00:00:00,-408.1036772172133,
2022-11-25 10:00:00,-444.247868058103,
2022-11-25 10:30:00,-475.21969017949823,
2022-11-25 12:00:00,-429.5734646208102,
2022-11-25 13:30:00,-388.34382034425016,
