date,EU_VOLT_2021_Q4,meta
2021-10-26 00:00:00,101.00497554363312,
2021-10-26 03:30:00,75.54738450738205,
2021-10-26 04:00:00,81.08149334652148,
2021-10-26 06:00:00,29.163460585081452,
2021-10-26 08:00:00,12.338388756880704,
2021-10-26 10:30:00,58.95148355140009,
2021-10-26 11:00:00,49.73222642998951,
2021-10-26 23:59:59,50.44626930138122,c
2021-10-27 00:00:00,52.9817266475618,
2021-10-27 03:30:00,58.96586397015665,
2021-10-27 04:00:00,52.99864503264564,
2021-10-27 06:00:00,47.44268965753463,
2021-10-27 08:00:00,36.944894227984946,
2021-10-27 10:30:00,43.21579333670468,
2021-10-27 11:00:00,66.60346302539983,
2021-10-27 23:59:59,34.65439484549211,c
2021-10-28 00:00:00,24.337974192426486,
2021-10-28 03:30:00,2.187742522652229,
2021-10-28 04:00:00,-30.129574697330895,
2021-10-28 06:00:00,-24.45669412545169,
2021-10-28 08:00:00,-45.628568847013526,
2021-10-28 10:30:00,-16.31988908176845,
2021-10-28 11:00:00,-3.4321920367925713,
2021-10-28 23:59:59,-17.93218836881681,c
2021-10-29 00:00:00,-17.93218836881681,
2021-10-29 03:30:00,-15.36117860738193,
2021-10-29 04:00:00,3.54081849380907,
2021-10-29 06:00:00,-4.074926412097284,
2021-10-29 08:00:00,-35.86337088773746,
2021-10-29 10:30:00,-45.340822053837655,
2021-10-29 11:00:00,-46.92302597482262,
2021-10-29 23:59:59,-64.60846163201484,w
2021-11-01 00:00:00,-68.43311477867258,
2021-11-01 03:30:00,-68.43311477867258,
2021-11-01 04:00:00,-68.43311477867258,
2021-11-01 06:00:00,-70.3644410376819,
2021-11-01 08:00:00,-58.26495117939044,
2021-11-01 10:30:00,-28.562819110293162,
2021-11-01 11:00:00,-31.39464197869961,
2021-11-01 23:59:59,-9.180842188485258,c
2021-11-02 00:00:00,8.834923285264722,
2021-11-02 03:30:00,4.143629251938705,
2021-11-02 04:00:00,3.6597056173933424,
2021-11-02 06:00:00,-14.897706841062586,
2021-11-02 08:00:00,-43.98886403169604,
2021-11-02 10:30:00,-31.42623956813327,
2021-11-02 11:00:00,-29.01379056404471,
2021-11-02 23:59:59,-36.177438706270436,c
2021-11-03 00:00:00,-7.748958259075039,
2021-11-03 03:30:00,-11.84314512856588,
2021-11-03 04:00:00,-12.765418361690536,
2021-11-03 06:00:00,-128.7282770894344,
2021-11-03 08:00:00,-140.45293455665364,
2021-11-03 10:30:00,-71.20386850186787,
2021-11-03 11:00:00,-94.67952759378056,
2021-11-03 23:59:59,-95.83550874065577,c
2021-11-04 00:00:00,-65.4410523135308,
2021-11-04 03:30:00,-70.86754658005134,
2021-11-04 04:00:00,-70.94745153677195,
2021-11-04 06:00:00,-124.47633278778903,
2021-11-04 08:00:00,-106.1355148833245,
2021-11-04 10:30:00,-87.94985302667465,
2021-11-04 11:00:00,-39.27246570817522,
2021-11-04 23:59:59,-78.84251376397765,c
2021-11-05 00:00:00,-143.10862749997693,
2021-11-05 03:30:00,-143.1759012795011,
2021-11-05 04:00:00,-143.17018197235984,
2021-11-05 06:00:00,-186.62737879062468,
2021-11-05 08:00:00,-124.54018527160724,
2021-11-05 10:30:00,-98.08746766811691,
2021-11-05 11:00:00,9.606012333270428,
2021-11-05 23:59:59,-5.771556156930387,w
2021-11-08 00:00:00,23.797656932709515,
2021-11-08 03:30:00,-61.797609899978966,
2021-11-08 04:00:00,-35.85147578277531,
2021-11-08 06:00:00,-48.58683021837362,
2021-11-08 08:00:00,-45.96554609675229,
2021-11-08 10:30:00,-35.08863945402322,
2021-11-08 11:00:00,-31.03407461210736,
2021-11-08 23:59:59,-42.02340762323672,c
2021-11-09 00:00:00,-44.575055864088085,
2021-11-09 03:30:00,-49.588924084519704,
2021-11-09 04:00:00,-55.50290452953402,
2021-11-09 06:00:00,5.435433685781618,
2021-11-09 08:00:00,13.465264042205263,
2021-11-09 10:30:00,8.446234814174545,
2021-11-09 11:00:00,9.593777409620998,
2021-11-09 23:59:59,0.0,a
2021-11-10 00:00:00,-6.368386970269967,
2021-11-10 03:30:00,-55.6741076978135,
2021-11-10 04:00:00,-23.02581521754996,
2021-11-10 06:00:00,0.3143651193788628,
2021-11-10 08:00:00,13.353297932547662,
2021-11-10 10:30:00,-13.129303493989482,
2021-11-10 11:00:00,5.302141514834943,
2021-11-10 23:59:59,-20.58720147078668,c
2021-11-11 00:00:00,-49.40282615825845,
2021-11-11 03:30:00,-52.66707751079264,
2021-11-11 04:00:00,7.7668425402403045,
2021-11-11 06:00:00,13.496254480079983,
2021-11-11 08:00:00,15.135427389048232,
2021-11-11 10:30:00,41.68540740280912,
2021-11-11 11:00:00,60.61967854170564,
2021-11-11 23:59:59,79.10088240235291,c
2021-11-12 00:00:00,91.73985459797109,
2021-11-12 03:30:00,190.43311972484594,
2021-11-12 04:00:00,132.75495781009897,
2021-11-12 06:00:00,114.32707822951602,
2021-11-12 08:00:00,132.05374693386784,
2021-11-12 10:30:00,113.63139056850548,
2021-11-12 11:00:00,105.50558510331439,
2021-11-12 23:59:59,81.50053659312209,w
2021-11-15 00:00:00,103.10746953831926,
2021-11-15 03:30:00,111.75448025970445,
2021-11-15 04:00:00,113.58887657060143,
2021-11-15 06:00:00,110.62535716355751,
2021-11-15 08:00:00,113.2736012125032,
2021-11-15 10:30:00,129.81679941878406,
2021-11-15 11:00:00,132.15778407392997,
2021-11-15 23:59:59,107.8381162375922,c
2021-11-16 00:00:00,59.508025123385096,
2021-11-16 03:30:00,42.33900510090575,
2021-11-16 04:00:00,81.36667983556003,
2021-11-16 06:00:00,103.90446928387246,
2021-11-16 08:00:00,49.05252241387791,
2021-11-16 10:30:00,5.37798197376901,
2021-11-16 11:00:00,5.6205719315462375,
2021-11-16 23:59:59,-1.7446964544349157,c
