date,CAD_CDZ_2023_Q1,meta
2023-01-24 00:00:00,-7.371092680643841,
2023-01-24 10:00:00,-0.2935003516726624,
2023-01-24 10:30:00,2.875965130556338,
2023-01-24 12:00:00,-1.117671133313209,
2023-01-24 13:30:00,0.771321916286027,
2023-01-24 15:00:00,0.5557225617386905,
2023-01-24 15:30:30,0.5557225617386905,
2023-01-24 23:59:59,0.0,a
2023-01-25 00:00:00,2.8530152146229995,
2023-01-25 10:00:00,27.198097962358148,
2023-01-25 10:30:00,36.821701579993004,
2023-01-25 12:00:00,61.97256778108357,
2023-01-25 13:30:00,67.1695012334036,
2023-01-25 15:00:00,68.54912214624642,
2023-01-25 15:30:30,68.54912214624642,
2023-01-25 23:59:59,64.64518597107079,c
2023-01-26 00:00:00,60.66633457029783,
2023-01-26 10:00:00,87.98105722910917,
2023-01-26 10:30:00,80.38316427540666,
2023-01-26 12:00:00,100.18166605121345,
2023-01-26 13:30:00,105.68201006067021,
2023-01-26 15:00:00,114.71954606544767,
2023-01-26 15:30:30,114.71954606544767,
2023-01-26 23:59:59,123.10217628570476,c
2023-01-27 00:00:00,128.4060702309104,
2023-01-27 10:00:00,136.02822683700677,
2023-01-27 10:30:00,141.278817543177,
2023-01-27 12:00:00,134.67544438166595,
2023-01-27 13:30:00,148.15165613957666,
2023-01-27 15:00:00,146.82666022407017,
2023-01-27 15:30:30,146.82666022407017,
2023-01-27 23:59:59,143.79754372536942,w
2023-01-30 00:00:00,139.39262366451658,
2023-01-30 10:00:00,151.4860307466431,
2023-01-30 10:30:00,132.56516496810045,
2023-01-30 12:00:00,132.5577581647384,
2023-01-30 13:30:00,129.78892531473215,
2023-01-30 15:00:00,142.1358356265515,
2023-01-30 15:30:30,142.1358356265515,
2023-01-30 23:59:59,133.86360527071957,c
2023-01-31 00:00:00,149.12114219239533,
2023-01-31 10:00:00,140.30536900394284,
2023-01-31 10:30:00,138.47385179961088,
2023-01-31 12:00:00,135.6192024745857,
2023-01-31 13:30:00,132.55051762859586,
2023-01-31 15:00:00,132.91503399661502,
2023-01-31 15:30:30,132.91503399661502,
2023-01-31 23:59:59,127.88820468283978,e
2023-02-01 00:00:00,117.00817289603796,
2023-02-01 10:00:00,120.64010007382754,
2023-02-01 10:30:00,138.7851221268871,
2023-02-01 12:00:00,152.45610697069554,
2023-02-01 13:30:00,135.1649182510993,
2023-02-01 15:00:00,151.58049024214273,
2023-02-01 15:30:30,151.58049024214273,
2023-02-01 23:59:59,158.87999388535866,c
2023-02-02 00:00:00,167.57586705724512,
2023-02-02 10:00:00,195.43047240466046,
2023-02-02 10:30:00,201.8614488930537,
2023-02-02 12:00:00,196.2375752330006,
2023-02-02 13:30:00,216.48730424234836,
2023-02-02 15:00:00,207.30326854135944,
2023-02-02 15:30:30,207.30326854135944,
2023-02-02 23:59:59,210.95596464008273,c
2023-02-03 00:00:00,208.85518418323065,
2023-02-03 10:00:00,202.12522260538498,
2023-02-03 10:30:00,207.02588158820015,
