date,MSCI_ESG_HEDGED_2022_Q1,meta
2022-01-12 00:00:00,146.85904811323508,
2022-01-12 10:00:00,153.16095330217513,
2022-01-12 10:30:00,161.1674324412561,
2022-01-12 12:00:00,159.01034993164035,
2022-01-12 13:30:00,164.8575341605008,
2022-01-12 15:00:00,173.64485712520286,
2022-01-12 15:30:30,173.64485712520286,
2022-01-12 23:59:59,179.26372163917245,c
2022-01-13 00:00:00,182.8632008054817,
2022-01-13 10:00:00,177.4905778411071,
2022-01-13 10:30:00,175.93449768131882,
2022-01-13 12:00:00,160.5649887608813,
2022-01-13 13:30:00,153.54340822547397,
2022-01-13 15:00:00,141.66319898343409,
2022-01-13 15:30:30,141.66319898343409,
2022-01-13 23:59:59,123.33378334182089,c
2022-01-14 00:00:00,131.72092663621947,
2022-01-14 10:00:00,135.84025501481506,
2022-01-14 10:30:00,129.3049056004188,
2022-01-14 12:00:00,124.86102431328709,
2022-01-14 13:30:00,124.16195107505132,
2022-01-14 15:00:00,131.55800636973458,
2022-01-14 15:30:30,131.55800636973458,
2022-01-14 23:59:59,138.58546510546307,w
2022-01-17 00:00:00,138.58546510546307,
2022-01-17 10:00:00,138.58546510546307,
2022-01-17 10:30:00,138.58546510546307,
2022-01-17 12:00:00,138.58546510546307,
2022-01-17 13:30:00,138.58546510546307,
2022-01-17 15:00:00,138.58546510546307,
2022-01-17 15:30:30,138.58546510546307,
2022-01-17 23:59:59,138.58546510546307,c
2022-01-18 00:00:00,144.5420839927449,
2022-01-18 10:00:00,143.1267365580486,
2022-01-18 10:30:00,147.41418937244634,
2022-01-18 12:00:00,135.3794238434773,
2022-01-18 13:30:00,120.46777504160787,
2022-01-18 15:00:00,132.32567918328095,
2022-01-18 15:30:30,132.32567918328095,
2022-01-18 23:59:59,111.8145891078409,c
2022-01-19 00:00:00,129.19746973805331,
2022-01-19 10:00:00,136.18393390406004,
2022-01-19 10:30:00,124.16629365349945,
2022-01-19 12:00:00,116.29487266361798,
2022-01-19 13:30:00,105.69064964682138,
2022-01-19 15:00:00,98.41731866170267,
2022-01-19 15:30:30,98.41731866170267,
2022-01-19 23:59:59,84.0140424436454,c
2022-01-20 00:00:00,105.94402389277548,
2022-01-20 10:00:00,108.55102227055863,
2022-01-20 10:30:00,102.14255613832279,
2022-01-20 12:00:00,104.53224225396161,
2022-01-20 13:30:00,107.39142340330613,
2022-01-20 15:00:00,93.64902569095989,
2022-01-20 15:30:30,93.64902569095989,
2022-01-20 23:59:59,73.74606729420452,c
2022-01-21 00:00:00,78.23747117614994,
2022-01-21 10:00:00,74.51785392093097,
2022-01-21 10:30:00,77.4653321830342,
2022-01-21 12:00:00,77.16370278991985,
2022-01-21 13:30:00,64.4774047230494,
2022-01-21 15:00:00,62.61355218995345,
2022-01-21 15:30:30,62.61355218995345,
2022-01-21 23:59:59,59.486567950404606,w
2022-01-24 00:00:00,33.474571256169156,
2022-01-24 10:00:00,7.3279275977633915,
2022-01-24 10:30:00,7.964203974107932,
2022-01-24 12:00:00,-1.1876514011953532,
2022-01-24 13:30:00,-6.8286328218464405,
2022-01-24 15:00:00,6.459193501289747,
2022-01-24 15:30:30,6.459193501289747,
2022-01-24 23:59:59,37.09503389281258,c
2022-01-25 00:00:00,34.593001769103694,
2022-01-25 10:00:00,16.78776205395252,
2022-01-25 10:30:00,18.361483555351242,
2022-01-25 12:00:00,6.9795834579849725,
2022-01-25 13:30:00,22.30474368274622,
2022-01-25 15:00:00,37.53513864813499,
2022-01-25 15:30:30,37.53513864813499,
2022-01-25 23:59:59,18.49199979685045,c
2022-01-26 00:00:00,60.1928562012763,
2022-01-26 10:00:00,61.99052969802324,
2022-01-26 10:30:00,52.69397191640974,
2022-01-26 12:00:00,60.64865491292062,
2022-01-26 13:30:00,61.350246082893364,
2022-01-26 15:00:00,64.19953510569962,
2022-01-26 15:30:30,64.19953510569962,
2022-01-26 23:59:59,51.45914069336936,c
2022-01-27 00:00:00,75.56872240560074,
2022-01-27 10:00:00,46.24694144063733,
2022-01-27 10:30:00,31.891617769466393,
2022-01-27 12:00:00,30.429280574447375,
2022-01-27 13:30:00,2.3070066287707505,
2022-01-27 15:00:00,-2.944067203264467,
2022-01-27 15:30:30,-2.944067203264467,
2022-01-27 23:59:59,-2.1010783885087676,c
2022-01-28 00:00:00,0.18985322056619225,
2022-01-28 10:00:00,-35.45286811350252,
2022-01-28 10:30:00,-19.214948646934545,
2022-01-28 12:00:00,3.9968575911693733,
2022-01-28 13:30:00,-7.22886924771592,
2022-01-28 15:00:00,-12.824941412932048,
2022-01-28 15:30:30,-12.824941412932048,
2022-01-28 23:59:59,3.218850500999679,w
2022-01-31 00:00:00,15.375503105083226,
2022-01-31 10:00:00,4.748934615036433,
2022-01-31 10:30:00,13.43877217708291,
2022-01-31 12:00:00,23.334054540904162,
2022-01-31 13:30:00,29.73392739502242,
2022-01-31 15:00:00,33.790063639156415,
2022-01-31 15:30:30,33.790063639156415,s
2022-01-31 23:59:59,35.21977715811386,c
2022-02-01 00:00:00,41.40348213821653,
2022-02-01 10:00:00,25.62108543629597,
2022-02-01 10:30:00,27.549273623095587,
2022-02-01 12:00:00,47.052778940514145,
2022-02-01 13:30:00,39.208928534985944,
2022-02-01 15:00:00,36.281343321601526,
2022-02-01 15:30:30,36.281343321601526,
2022-02-01 23:59:59,45.70295650853336,c
2022-02-02 00:00:00,23.956900175101282,
2022-02-02 10:00:00,36.50121923546408,
2022-02-02 10:30:00,34.39989542023454,
2022-02-02 12:00:00,25.89620664421477,
