date,MSCI_CAD_SC_2021_Q2,meta
2021-04-06 00:00:00,10.424097728034212,
2021-04-06 10:00:00,-34.314941378254844,
2021-04-06 10:30:00,-74.74191319154943,
2021-04-06 12:00:00,-57.09285023630582,
2021-04-06 13:30:00,-111.28634918475564,
2021-04-06 15:00:00,-75.70735965587028,
2021-04-06 15:30:30,-75.70735965587028,
2021-04-06 23:59:59,-74.44768826123982,c
2021-04-07 00:00:00,-69.43359607726688,
2021-04-07 10:00:00,-119.85771362785454,
2021-04-07 10:30:00,-123.38042172551468,
2021-04-07 12:00:00,-190.82289514621698,
2021-04-07 13:30:00,-184.6833662752406,
2021-04-07 15:00:00,-219.25938549731745,
2021-04-07 15:30:30,-219.25938549731745,
2021-04-07 23:59:59,-227.59653731108847,c
2021-04-08 00:00:00,-201.16599609266268,
2021-04-08 10:00:00,-163.99777025129606,
2021-04-08 10:30:00,-185.80081015734413,
2021-04-08 12:00:00,-124.98773385778986,
2021-04-08 13:30:00,-117.88867286775258,
2021-04-08 15:00:00,-125.84529078555897,
2021-04-08 15:30:30,-125.84529078555897,
2021-04-08 23:59:59,-123.38691924246632,c
2021-04-09 00:00:00,-143.48386670878062,
2021-04-09 10:00:00,-140.80221371978678,
2021-04-09 10:30:00,-159.23097423089166,
2021-04-09 12:00:00,-122.26731351153467,
2021-04-09 13:30:00,-116.72989375715042,
2021-04-09 15:00:00,-114.28479883550517,
2021-04-09 15:30:30,-114.28479883550517,
2021-04-09 23:59:59,-128.76994270800333,w
2021-04-12 00:00:00,-145.20454615174367,
2021-04-12 10:00:00,-293.9394399169378,
2021-04-12 10:30:00,-285.8511117967728,
2021-04-12 12:00:00,-297.3020317354694,
2021-04-12 13:30:00,-322.2557150468947,
2021-04-12 15:00:00,-364.9576149708255,
2021-04-12 15:30:30,-364.9576149708255,
2021-04-12 23:59:59,-345.7424973578991,c
2021-04-13 00:00:00,-354.22566492059104,
2021-04-13 10:00:00,-321.6974665359994,
2021-04-13 10:30:00,-352.32025517320744,
2021-04-13 12:00:00,-330.8468172262428,
2021-04-13 13:30:00,-336.97289504575474,
2021-04-13 15:00:00,-293.4566646420026,
2021-04-13 15:30:30,-293.4566646420026,
2021-04-13 23:59:59,-303.38720017468404,c
2021-04-14 00:00:00,-268.9909769262067,
2021-04-14 10:00:00,-181.07392459768107,
2021-04-14 10:30:00,-178.3722852748224,
2021-04-14 12:00:00,-112.22238174281756,
2021-04-14 13:30:00,-100.37596680985553,
2021-04-14 15:00:00,-149.59799264285994,
2021-04-14 15:30:30,-149.59799264285994,
2021-04-14 23:59:59,-167.3739203068899,c
2021-04-15 00:00:00,-123.0268755950874,
2021-04-15 10:00:00,-138.19253307294275,
2021-04-15 10:30:00,-147.68312204728136,
2021-04-15 12:00:00,-198.5936606962805,
2021-04-15 13:30:00,-227.59096582447546,
2021-04-15 15:00:00,-218.5659508200033,
2021-04-15 15:30:30,-218.5659508200033,
2021-04-15 23:59:59,-195.23902953462402,c
2021-04-16 00:00:00,-230.6665310044018,
2021-04-16 10:00:00,-284.15727947877895,
2021-04-16 10:30:00,-252.599397116227,
2021-04-16 12:00:00,-229.03713591606902,
2021-04-16 13:30:00,-236.3793573599287,
2021-04-16 15:00:00,-225.97618175318075,
2021-04-16 15:30:30,-225.97618175318075,
2021-04-16 23:59:59,-193.86615441734284,w
2021-04-19 00:00:00,-163.85783426627313,
2021-04-19 10:00:00,-145.36980200656126,
2021-04-19 10:30:00,-201.47513194818657,
2021-04-19 12:00:00,-270.2936302162707,
2021-04-19 13:30:00,-274.55536788172776,
2021-04-19 15:00:00,-276.99539651519444,
2021-04-19 15:30:30,-276.99539651519444,s
2021-04-19 23:59:59,-255.4476573234606,c
2021-04-20 00:00:00,-252.61812540616575,
2021-04-20 10:00:00,-249.99655727998652,
2021-04-20 10:30:00,-251.755670462524,
2021-04-20 12:00:00,-385.57576489782514,
2021-04-20 13:30:00,-398.84980944804283,
2021-04-20 15:00:00,-388.6653508015179,
2021-04-20 15:30:30,-388.6653508015179,
2021-04-20 23:59:59,-303.7082339739827,c
2021-04-21 00:00:00,-303.2625457393133,
2021-04-21 10:00:00,-264.3048195598112,
2021-04-21 10:30:00,-198.68523885460127,
2021-04-21 12:00:00,-151.47859975052052,
2021-04-21 13:30:00,-160.2004899090398,
2021-04-21 15:00:00,-129.972221726488,
2021-04-21 15:30:30,-129.972221726488,
2021-04-21 23:59:59,-187.38002733444137,c
2021-04-22 00:00:00,-141.04434079870134,
2021-04-22 10:00:00,-222.48063987838486,
2021-04-22 10:30:00,-204.38118141969244,
2021-04-22 12:00:00,-177.7734602374985,
2021-04-22 13:30:00,-195.71930258264365,
2021-04-22 15:00:00,-204.64983736952217,
