date,CAD_FTSE_2021_Q3,meta
2021-07-30 10:00:00,-616.8598001493303,
2021-07-30 10:30:00,-625.0033996800951,
2021-07-30 12:00:00,-657.548712226034,
2021-07-30 13:30:00,-682.368045680664,
2021-07-30 15:00:00,-707.248536837173,
2021-07-30 15:30:30,-707.248536837173,
2021-07-30 23:59:59,-682.4302544857546,w
2021-08-02 00:00:00,-682.4302544857546,
2021-08-02 10:00:00,-682.4302544857546,
2021-08-02 10:30:00,-682.4302544857546,
2021-08-02 12:00:00,-682.4302544857546,
2021-08-02 13:30:00,-682.4302544857546,
2021-08-02 15:00:00,-682.4302544857546,
2021-08-02 15:30:30,-682.4302544857546,
2021-08-02 23:59:59,-682.4302544857546,c
2021-08-03 00:00:00,-634.7092936593513,
2021-08-03 10:00:00,-727.9972969326388,
2021-08-03 10:30:00,-755.4739120093574,
2021-08-03 12:00:00,-760.001268204901,
2021-08-03 13:30:00,-767.5772894931999,
2021-08-03 15:00:00,-743.7498451996466,
2021-08-03 15:30:30,-743.7498451996466,
2021-08-03 23:59:59,-722.6611537475405,c
2021-08-04 00:00:00,-724.4375699705978,
2021-08-04 10:00:00,-760.6023137410109,
2021-08-04 10:30:00,-763.5379289191201,
2021-08-04 12:00:00,-755.0560457264992,
2021-08-04 13:30:00,-737.6573311138511,
2021-08-04 15:00:00,-700.8945485016447,
2021-08-04 15:30:30,-700.8945485016447,
2021-08-04 23:59:59,-686.844481941416,c
2021-08-05 00:00:00,-649.2462372438997,
2021-08-05 10:00:00,-607.5801732905645,
2021-08-05 10:30:00,-611.8244337082385,
2021-08-05 12:00:00,-583.3692329093625,
2021-08-05 13:30:00,-546.2094623609462,
2021-08-05 15:00:00,-543.9026976624148,
2021-08-05 15:30:30,-543.9026976624148,
2021-08-05 23:59:59,-555.1770355662898,c
2021-08-06 00:00:00,-539.8448475095181,
2021-08-06 10:00:00,-511.28006675440804,
2021-08-06 10:30:00,-530.9427141053313,
2021-08-06 12:00:00,-537.3846607415219,
2021-08-06 13:30:00,-521.3301349906228,
2021-08-06 15:00:00,-532.9554770726485,
2021-08-06 15:30:30,-532.9554770726485,
2021-08-06 23:59:59,-524.4809254974887,w
2021-08-09 00:00:00,-576.5805993878251,
2021-08-09 10:00:00,-610.6035599379438,
2021-08-09 10:30:00,-587.984356021042,
2021-08-09 12:00:00,-593.8791609801069,
2021-08-09 13:30:00,-585.7837452122789,
2021-08-09 15:00:00,-580.5687937980963,
2021-08-09 15:30:30,-580.5687937980963,
2021-08-09 23:59:59,-577.2724200767424,c
2021-08-10 00:00:00,-386.30306901868187,
2021-08-10 10:00:00,-365.61506047814163,
2021-08-10 10:30:00,-369.0860917738461,
2021-08-10 12:00:00,-293.2343190328497,
2021-08-10 13:30:00,-295.65416627254774,
2021-08-10 15:00:00,-305.9961832024032,
2021-08-10 15:30:30,-305.9961832024032,
2021-08-10 23:59:59,-287.1695625544501,c
2021-08-11 00:00:00,-232.516154055462,
2021-08-11 10:00:00,-187.74194220036716,
2021-08-11 10:30:00,-178.49808363713228,
2021-08-11 12:00:00,-200.1907417275335,
2021-08-11 13:30:00,-185.38655397624922,
2021-08-11 15:00:00,-153.73396605869323,
2021-08-11 15:30:30,-153.73396605869323,
2021-08-11 23:59:59,-148.48874432076553,c
2021-08-12 00:00:00,-140.5766592590885,
2021-08-12 10:00:00,-152.76443974882164,
2021-08-12 10:30:00,-146.40059489430794,
2021-08-12 12:00:00,-128.1734794988124,
2021-08-12 13:30:00,-96.1223138498163,
2021-08-12 15:00:00,-66.72974777957108,
2021-08-12 15:30:30,-66.72974777957108,
2021-08-12 23:59:59,-79.30377712736089,c
2021-08-13 00:00:00,-61.489277363136694,
2021-08-13 10:00:00,-55.516805570345014,
2021-08-13 10:30:00,-19.734143201667166,
2021-08-13 12:00:00,-54.077958245253285,
2021-08-13 13:30:00,-60.80460251680188,
2021-08-13 15:00:00,-48.72658082213263,
2021-08-13 15:30:30,-48.72658082213263,
2021-08-13 23:59:59,-39.54895647451832,w
2021-08-16 00:00:00,-34.598589006281884,
2021-08-16 10:00:00,-9.878983701915558,
2021-08-16 10:30:00,-74.53612813435552,
2021-08-16 12:00:00,-47.8255741049212,
2021-08-16 13:30:00,-13.585188369493153,
2021-08-16 15:00:00,-24.46050814909563,
2021-08-16 15:30:30,-24.46050814909563,
2021-08-16 23:59:59,-21.32267774334133,c
2021-08-17 00:00:00,-47.68658967125526,
2021-08-17 10:00:00,-74.88895245094642,
2021-08-17 10:30:00,-78.2330764614735,
2021-08-17 12:00:00,-97.07898234240685,
2021-08-17 13:30:00,-118.63058383679157,
2021-08-17 15:00:00,-126.17450793666808,
2021-08-17 15:30:30,-126.17450793666808,
2021-08-17 23:59:59,-109.34346704606597,c
2021-08-18 00:00:00,-121.44946589144024,
2021-08-18 10:00:00,-119.62280309720671,
2021-08-18 10:30:00,-116.71883275845866,
2021-08-18 12:00:00,-88.94051620598336,
2021-08-18 13:30:00,-55.66950335524069,
2021-08-18 15:00:00,-60.39504426801477,
2021-08-18 15:30:30,-60.39504426801477,
2021-08-18 23:59:59,-53.027985675329205,c
2021-08-19 00:00:00,-105.10380554564878,
2021-08-19 10:00:00,-126.41576724756723,
2021-08-19 10:30:00,-100.82514485607777,
2021-08-19 12:00:00,-109.64075529974966,
2021-08-19 13:30:00,-114.39077046475825,
2021-08-19 15:00:00,-137.9806714720008,
2021-08-19 15:30:30,-137.9806714720008,
2021-08-19 23:59:59,-123.72255724756252,c
2021-08-20 00:00:00,-118.54911119106055,
2021-08-20 10:00:00,-78.84847978162287,
2021-08-20 10:30:00,-82.65688992501487,
2021-08-20 12:00:00,-66.21551881564955,
2021-08-20 13:30:00,-24.58671459841446,
2021-08-20 15:00:00,6.067837482848347,
2021-08-20 15:30:30,6.067837482848347,
2021-08-20 23:59:59,0.0,a
2021-08-23 00:00:00,56.40336507958091,
2021-08-23 10:00:00,183.28112118731775,
2021-08-23 10:30:00,254.95057641380828,
2021-08-23 12:00:00,177.7642852920838,
2021-08-23 13:30:00,195.1464056747248,
2021-08-23 15:00:00,200.50626666315344,
2021-08-23 15:30:30,200.50626666315344,
2021-08-23 23:59:59,207.49312518612072,c
2021-08-24 00:00:00,239.09441222918105,
2021-08-24 10:00:00,298.7246680646562,
2021-08-24 10:30:00,313.08004588418527,
2021-08-24 12:00:00,399.2040388094362,
2021-08-24 13:30:00,346.3194073429294,
2021-08-24 15:00:00,344.859507855275,
2021-08-24 15:30:30,344.859507855275,
2021-08-24 23:59:59,347.58217120024045,c
2021-08-25 00:00:00,367.2721530675772,
2021-08-25 10:00:00,310.11502232008485,
2021-08-25 10:30:00,324.3618916566392,
2021-08-25 12:00:00,359.90478980521556,
2021-08-25 13:30:00,384.87194686376887,
2021-08-25 15:00:00,402.7299799859176,
2021-08-25 15:30:30,402.7299799859176,
2021-08-25 23:59:59,406.738445941286,c
2021-08-26 00:00:00,404.01911393106826,
2021-08-26 10:00:00,408.5675496762747,
2021-08-26 10:30:00,385.7225885173322,
2021-08-26 12:00:00,427.95505306676165,
2021-08-26 13:30:00,455.9044541821722,
2021-08-26 15:00:00,423.4302622878868,
2021-08-26 15:30:30,423.4302622878868,
2021-08-26 23:59:59,437.327212657899,c
2021-08-27 00:00:00,448.1542355125559,
2021-08-27 10:00:00,519.280118190145,
2021-08-27 10:30:00,552.2398981091555,
2021-08-27 12:00:00,567.0362764169734,
2021-08-27 13:30:00,574.4616917190731,
2021-08-27 15:00:00,603.2706290499343,
2021-08-27 15:30:30,603.2706290499343,
2021-08-27 23:59:59,635.2466582991603,w
2021-08-30 00:00:00,716.5690362698956,
2021-08-30 10:00:00,712.0773058646073,
2021-08-30 10:30:00,737.6129263321268,
2021-08-30 12:00:00,715.8499824179048,
2021-08-30 13:30:00,711.5969085425722,
2021-08-30 15:00:00,712.3715877626557,
2021-08-30 15:30:30,712.3715877626557,
2021-08-30 23:59:59,707.9948853690494,c
2021-08-31 00:00:00,701.9106871462711,
2021-08-31 10:00:00,713.1644900042352,
2021-08-31 10:30:00,779.6199262991006,
2021-08-31 12:00:00,766.4955245295464,
2021-08-31 13:30:00,733.8509817650286,
2021-08-31 15:00:00,722.3609603008549,
2021-08-31 15:30:30,722.3609603008549,m
2021-08-31 23:59:59,794.9601446214729,c
2021-09-01 00:00:00,814.8903295389587,
2021-09-01 10:00:00,781.0470505620128,
2021-09-01 10:30:00,816.5886075833353,
2021-09-01 12:00:00,753.0399305762114,
2021-09-01 13:30:00,772.0756630852745,
2021-09-01 15:00:00,772.0598219902645,
2021-09-01 15:30:30,772.0598219902645,
2021-09-01 23:59:59,793.739028642349,c
2021-09-02 00:00:00,813.2288663876775,
2021-09-02 10:00:00,767.217704885775,
2021-09-02 10:30:00,700.83051033828,
2021-09-02 12:00:00,694.5609611221873,
