date,COMP_STAY_2023_Q1,meta
2023-01-20 00:00:00,331.86345847511427,
2023-01-20 10:00:00,326.57138575885125,
2023-01-20 10:30:00,338.8575777316305,
2023-01-20 12:00:00,373.34217471833495,
2023-01-20 13:30:00,372.0316671011164,
2023-01-20 15:00:00,393.4611050012476,
2023-01-20 15:30:30,393.4611050012476,
2023-01-20 23:59:59,385.19877579534744,w
2023-01-23 00:00:00,412.6437375691617,
2023-01-23 10:00:00,381.1484224881554,
2023-01-23 10:30:00,388.7802535542701,
2023-01-23 12:00:00,396.5696952667368,
2023-01-23 13:30:00,397.95247629508265,
2023-01-23 15:00:00,398.298906361567,
2023-01-23 15:30:30,398.298906361567,
2023-01-23 23:59:59,401.34339106682626,c
2023-01-24 00:00:00,458.9175510408492,
2023-01-24 10:00:00,418.9007436557393,
2023-01-24 10:30:00,394.63121075390296,
2023-01-24 12:00:00,394.40756730398806,
2023-01-24 13:30:00,404.2115590363039,
2023-01-24 15:00:00,392.6062771472006,
2023-01-24 15:30:30,392.6062771472006,
2023-01-24 23:59:59,384.3072266074109,c
2023-01-25 00:00:00,404.80672660040034,
2023-01-25 10:00:00,365.2618240229743,
2023-01-25 10:30:00,370.1097431030959,
2023-01-25 12:00:00,371.97206432241984,
2023-01-25 13:30:00,378.9276063805812,
2023-01-25 15:00:00,412.3570384280289,
2023-01-25 15:30:30,412.3570384280289,
2023-01-25 23:59:59,402.05574981210344,c
2023-01-26 00:00:00,399.5271991065151,
2023-01-26 10:00:00,371.7723297509425,
2023-01-26 10:30:00,380.1744119553464,
2023-01-26 12:00:00,379.0246190265667,
2023-01-26 13:30:00,377.52349819752203,
2023-01-26 15:00:00,361.2374008525265,
2023-01-26 15:30:30,361.2374008525265,
2023-01-26 23:59:59,352.5180867734389,c
2023-01-27 00:00:00,358.29793353977243,
2023-01-27 10:00:00,353.0900596061141,
2023-01-27 10:30:00,361.7030693477658,
2023-01-27 12:00:00,373.5157745311159,
2023-01-27 13:30:00,418.8053679479502,
2023-01-27 15:00:00,399.6877410722392,
