date,AS_XT_2021_Q4,meta
2021-11-19 00:00:00,-3.308130904905056,
2021-11-19 01:00:00,-5.57898900535406,
2021-11-19 02:30:00,-3.87243148543007,
2021-11-19 03:00:00,-6.610304110088009,
2021-11-19 18:30:00,-6.610304110088009,
2021-11-19 20:00:00,-6.610304110088009,
2021-11-19 23:00:00,-6.610304110088009,
2021-11-19 23:59:59,-4.368472199564394,w
2021-11-22 00:00:00,-56.836530718014274,
2021-11-22 01:00:00,-58.30093584731185,
2021-11-22 02:30:00,-52.097500886025955,
2021-11-22 03:00:00,-53.36302429243801,
2021-11-22 18:30:00,-82.5530694503941,
2021-11-22 20:00:00,-86.50547419908048,
2021-11-22 23:00:00,-128.16764356560202,
2021-11-22 23:59:59,-137.25533652622744,c
2021-11-23 00:00:00,-157.9143399941163,
2021-11-23 01:00:00,-175.87058090587357,
2021-11-23 02:30:00,-176.09931178207285,
2021-11-23 03:00:00,-168.34858099706094,
2021-11-23 18:30:00,-180.1744762996509,
2021-11-23 20:00:00,-187.4793600451403,
2021-11-23 23:00:00,-183.02069754928948,
2021-11-23 23:59:59,-174.88801447482751,c
2021-11-24 00:00:00,-177.15637606090036,
2021-11-24 01:00:00,-158.04303202950314,
2021-11-24 02:30:00,-157.31651631318164,
2021-11-24 03:00:00,-147.683631287121,
2021-11-24 18:30:00,-121.51066754493331,
2021-11-24 20:00:00,-131.36602849978067,
2021-11-24 23:00:00,-116.49918953863198,
2021-11-24 23:59:59,-110.4994890542473,c
2021-11-25 00:00:00,-90.51566817385037,
2021-11-25 01:00:00,-106.15627033648457,
2021-11-25 02:30:00,-105.39930109328338,
2021-11-25 03:00:00,-99.19116569491894,
2021-11-25 18:30:00,-121.41092840973215,
2021-11-25 20:00:00,-155.21679871249785,
2021-11-25 23:00:00,-185.31184089544445,
2021-11-25 23:59:59,-175.61848043967439,c
2021-11-26 00:00:00,-188.26162697723316,
2021-11-26 01:00:00,-189.29235122362775,
2021-11-26 02:30:00,-206.12354516478285,
2021-11-26 03:00:00,-207.43857400399884,
2021-11-26 18:30:00,-207.43857400399884,
2021-11-26 20:00:00,-207.43857400399884,
2021-11-26 23:00:00,-207.43857400399884,
2021-11-26 23:59:59,-206.09063096254135,w
2021-11-29 00:00:00,-118.30164025396175,
2021-11-29 01:00:00,-126.40126445259511,
2021-11-29 02:30:00,-124.9308947059144,
2021-11-29 03:00:00,-121.14610900391745,
2021-11-29 18:30:00,-109.7801005160743,
2021-11-29 20:00:00,-85.48325624110271,
2021-11-29 23:00:00,-105.2979340217637,
2021-11-29 23:59:59,-109.40521002558626,c
2021-11-30 00:00:00,-93.1838945569043,
2021-11-30 01:00:00,-91.16724334559899,
2021-11-30 02:30:00,-93.85850958394553,
2021-11-30 03:00:00,-96.42618889454434,
2021-11-30 18:30:00,-101.31210716667806,
2021-11-30 20:00:00,-111.53249897726869,
2021-11-30 23:00:00,-67.07485296596451,
2021-11-30 23:59:59,-64.17108179014826,c
2021-12-01 00:00:00,-24.62110876850602,
2021-12-01 01:00:00,-10.181878651681245,
2021-12-01 02:30:00,-9.485005391969707,
2021-12-01 03:00:00,-16.337575664109863,
2021-12-01 18:30:00,-7.803814815837541,
2021-12-01 20:00:00,-19.748523637131484,
2021-12-01 23:00:00,-31.27414253721372,
