date,DJSECT_2020_Q4,meta
2020-12-11 10:30:00,39.18292428066616,
2020-12-11 12:00:00,47.75062389280447,
2020-12-11 13:30:00,18.45166485242771,
2020-12-11 15:00:00,-1.1433257675234927,
2020-12-11 15:30:30,-1.1433257675234927,
2020-12-11 23:59:59,0.0,a
2020-12-14 00:00:00,-6.378230233924114,
2020-12-14 10:00:00,16.540006308848206,
2020-12-14 10:30:00,7.813841236431472,
2020-12-14 12:00:00,68.85901618061325,
2020-12-14 13:30:00,56.92548293331129,
2020-12-14 15:00:00,64.66738883293056,
2020-12-14 15:30:30,64.66738883293056,
2020-12-14 23:59:59,94.04282508640972,c
2020-12-15 00:00:00,63.6620340155805,
2020-12-15 10:00:00,80.58778924042781,
2020-12-15 10:30:00,84.89736362331496,
2020-12-15 12:00:00,62.365490317562944,
2020-12-15 13:30:00,33.77765255020404,
2020-12-15 15:00:00,32.39178486287983,
2020-12-15 15:30:30,32.39178486287983,
2020-12-15 23:59:59,35.06829424323951,c
2020-12-16 00:00:00,30.120887530672007,
2020-12-16 10:00:00,72.99954908761447,
2020-12-16 10:30:00,54.956486137917636,
2020-12-16 12:00:00,66.26410811143069,
2020-12-16 13:30:00,64.6493517484023,
2020-12-16 15:00:00,49.84460227791533,
2020-12-16 15:30:30,49.84460227791533,
2020-12-16 23:59:59,67.22564311947008,c
2020-12-17 00:00:00,53.06050134772431,
2020-12-17 10:00:00,62.68188980922696,
2020-12-17 10:30:00,52.555607967172364,
2020-12-17 12:00:00,49.575491291616345,
2020-12-17 13:30:00,39.00994016814002,
2020-12-17 15:00:00,36.84977066300962,
2020-12-17 15:30:30,36.84977066300962,
2020-12-17 23:59:59,24.925944776865435,c
2020-12-18 00:00:00,50.708634800721484,
2020-12-18 10:00:00,17.39146879305099,
2020-12-18 10:30:00,26.39139823271853,
2020-12-18 12:00:00,19.729254818386835,
2020-12-18 13:30:00,41.86436711261467,
2020-12-18 15:00:00,46.31938259884191,
2020-12-18 15:30:30,46.31938259884191,
2020-12-18 23:59:59,-22.083769831745485,e
2020-12-21 00:00:00,-22.59787153066827,
2020-12-21 10:00:00,57.93504090062197,
2020-12-21 10:30:00,76.7931840347137,
2020-12-21 12:00:00,23.260482981729183,
2020-12-21 13:30:00,16.453816320176884,
2020-12-21 15:00:00,20.89607190042352,
2020-12-21 15:30:30,20.89607190042352,
2020-12-21 23:59:59,52.09955067447572,c
2020-12-22 00:00:00,66.81935611226436,
2020-12-22 10:00:00,88.0429985747387,
2020-12-22 10:30:00,75.82924099409956,
2020-12-22 12:00:00,64.03585101304634,
2020-12-22 13:30:00,50.04387088499607,
2020-12-22 15:00:00,62.76875720094722,
2020-12-22 15:30:30,62.76875720094722,
2020-12-22 23:59:59,82.05230537972147,c
2020-12-23 00:00:00,47.53709878964946,
2020-12-23 10:00:00,2.8884529798033327,
2020-12-23 10:30:00,-4.221235694482857,
2020-12-23 12:00:00,-32.956148718739314,
2020-12-23 13:30:00,-20.70937153860359,
2020-12-23 15:00:00,-25.55233177356331,
2020-12-23 15:30:30,-25.55233177356331,
2020-12-23 23:59:59,-12.322731287973511,c
2020-12-24 00:00:00,-41.829223135560824,
2020-12-24 10:00:00,-22.511220596355997,
2020-12-24 10:30:00,-18.624127291958757,
2020-12-24 12:00:00,-10.569792030827557,
2020-12-24 13:30:00,-10.569792030827557,
2020-12-24 15:00:00,-10.569792030827557,
2020-12-24 15:30:30,-10.569792030827557,
2020-12-24 23:59:59,-27.714836995319274,c
2020-12-25 00:00:00,-27.714836995319274,
2020-12-25 10:00:00,-27.714836995319274,
2020-12-25 10:30:00,-27.714836995319274,
2020-12-25 12:00:00,-27.714836995319274,
2020-12-25 13:30:00,-27.714836995319274,
2020-12-25 15:00:00,-27.714836995319274,
2020-12-25 15:30:30,-27.714836995319274,
2020-12-25 23:59:59,-27.714836995319274,w
2020-12-28 00:00:00,-48.868303085770094,
2020-12-28 10:00:00,-57.63543222690714,
2020-12-28 10:30:00,-100.47532349412268,
2020-12-28 12:00:00,-58.463103986195165,
2020-12-28 13:30:00,-61.103437555766504,
2020-12-28 15:00:00,-83.28722966773057,
2020-12-28 15:30:30,-83.28722966773057,
2020-12-28 23:59:59,-66.30750316553713,c
2020-12-29 00:00:00,-76.94912594345715,
