date,WMT_WW_2020_Q3,meta
2020-09-01 13:30:00,-417.12806455885544,
2020-09-01 15:00:00,-460.4316754422076,
2020-09-01 15:30:30,-460.4316754422076,
2020-09-01 23:59:59,-410.91881552558544,c
2020-09-02 00:00:00,-522.8424027753935,
2020-09-02 10:00:00,-283.3304054599702,
2020-09-02 10:30:00,-335.1675057801336,
2020-09-02 12:00:00,-296.77607019162554,
2020-09-02 13:30:00,-337.5232593931183,
2020-09-02 15:00:00,-314.808249243319,
2020-09-02 15:30:30,-314.808249243319,
2020-09-02 23:59:59,-322.41331925893724,c
2020-09-03 00:00:00,-270.74919355285687,
2020-09-03 10:00:00,-293.1551856269449,
2020-09-03 10:30:00,-280.46091013707667,
2020-09-03 12:00:00,-253.77817239264547,
2020-09-03 13:30:00,-294.30825264695136,
2020-09-03 15:00:00,-317.4979787602715,
2020-09-03 15:30:30,-317.4979787602715,
2020-09-03 23:59:59,-294.6281258419797,c
2020-09-04 00:00:00,-261.044020970431,
2020-09-04 10:00:00,-243.63467758159413,
2020-09-04 10:30:00,-212.23031443805843,
2020-09-04 12:00:00,-220.15267611348034,
2020-09-04 13:30:00,-224.88545085788815,
2020-09-04 15:00:00,-237.64103713825196,
2020-09-04 15:30:30,-237.64103713825196,
2020-09-04 23:59:59,-242.73178455349205,w
2020-09-07 00:00:00,-242.73178455349205,
2020-09-07 10:00:00,-242.73178455349205,
2020-09-07 10:30:00,-242.73178455349205,
2020-09-07 12:00:00,-242.73178455349205,
2020-09-07 13:30:00,-242.73178455349205,
2020-09-07 15:00:00,-242.73178455349205,
2020-09-07 15:30:30,-242.73178455349205,
2020-09-07 23:59:59,-242.73178455349205,c
2020-09-08 00:00:00,-204.97347581086905,
2020-09-08 10:00:00,-252.58702005172597,
2020-09-08 10:30:00,-242.28284343942704,
2020-09-08 12:00:00,-225.29271285779475,
2020-09-08 13:30:00,-190.7937947947681,
2020-09-08 15:00:00,-199.39122756353765,
2020-09-08 15:30:30,-199.39122756353765,
2020-09-08 23:59:59,-186.67446025957167,c
2020-09-09 00:00:00,-212.76720889106244,
2020-09-09 10:00:00,-214.4343534219496,
2020-09-09 10:30:00,-225.57792991667165,
2020-09-09 12:00:00,-210.2101838885471,
2020-09-09 13:30:00,-205.01710801546648,
2020-09-09 15:00:00,-217.23446165307982,
2020-09-09 15:30:30,-217.23446165307982,
2020-09-09 23:59:59,-168.34198495976776,c
2020-09-10 00:00:00,-173.8832426707998,
2020-09-10 10:00:00,-162.87149895008727,
2020-09-10 10:30:00,-156.30323382303493,
2020-09-10 12:00:00,-146.9158496691212,
