date,SML_HEDGED_2021_Q2,meta
2021-05-21 10:30:00,-51.935057921183216,
2021-05-21 12:00:00,-46.037153021251925,
2021-05-21 13:30:00,-74.8232620698709,
2021-05-21 15:00:00,-62.20294487942465,
2021-05-21 15:30:30,-62.20294487942465,
2021-05-21 23:59:59,-64.85513901854802,w
2021-05-24 00:00:00,-40.87573129486873,
2021-05-24 10:00:00,-13.779534633767526,
2021-05-24 10:30:00,4.002076005037452,
2021-05-24 12:00:00,3.6948292348074574,
2021-05-24 13:30:00,2.5879324606835326,
2021-05-24 15:00:00,42.85983694367087,
2021-05-24 15:30:30,42.85983694367087,
2021-05-24 23:59:59,44.93948786329065,c
2021-05-25 00:00:00,55.944331561451236,
2021-05-25 10:00:00,56.45978966957182,
2021-05-25 10:30:00,36.70866988600983,
2021-05-25 12:00:00,35.14774830193255,
2021-05-25 13:30:00,44.59263017835201,
2021-05-25 15:00:00,1.3453766107832053,
2021-05-25 15:30:30,1.3453766107832053,
2021-05-25 23:59:59,-24.807997328744023,c
2021-05-26 00:00:00,-8.554471632133755,
2021-05-26 10:00:00,-51.220308677266075,
2021-05-26 10:30:00,-19.196494100588097,
2021-05-26 12:00:00,-9.875956926304298,
2021-05-26 13:30:00,-22.521811983006955,
2021-05-26 15:00:00,12.641198928086851,
2021-05-26 15:30:30,12.641198928086851,
2021-05-26 23:59:59,-2.482469068664159,c
2021-05-27 00:00:00,62.12140363151684,
2021-05-27 10:00:00,83.94891035941691,
2021-05-27 10:30:00,101.94665031076693,
2021-05-27 12:00:00,170.07374219598705,
2021-05-27 13:30:00,149.3819027067707,
2021-05-27 15:00:00,157.4739668055272,
2021-05-27 15:30:30,157.4739668055272,m
2021-05-27 23:59:59,120.37567578107155,c
2021-05-28 00:00:00,150.4526378525752,
2021-05-28 10:00:00,-4.606259523460267,
2021-05-28 10:30:00,35.12297090678612,
2021-05-28 12:00:00,60.09059259140531,
2021-05-28 13:30:00,52.28190374059568,
2021-05-28 15:00:00,55.383571280153774,
2021-05-28 15:30:30,55.383571280153774,
2021-05-28 23:59:59,72.93990942901746,w
2021-05-31 00:00:00,72.93990942901746,
2021-05-31 10:00:00,72.93990942901746,
2021-05-31 10:30:00,72.93990942901746,
2021-05-31 12:00:00,72.93990942901746,
2021-05-31 13:30:00,72.93990942901746,
2021-05-31 15:00:00,72.93990942901746,
2021-05-31 15:30:30,72.93990942901746,
2021-05-31 23:59:59,72.93990942901746,c
2021-06-01 00:00:00,79.53156725815597,
2021-06-01 10:00:00,88.19712595980582,
2021-06-01 10:30:00,114.43237865889614,
2021-06-01 12:00:00,155.85516298147058,
2021-06-01 13:30:00,188.88459138359985,
2021-06-01 15:00:00,236.93257533378346,
2021-06-01 15:30:30,236.93257533378346,
2021-06-01 23:59:59,244.54828451730918,c
2021-06-02 00:00:00,263.9319244571943,
2021-06-02 10:00:00,195.5841261150049,
2021-06-02 10:30:00,165.19631164280963,
2021-06-02 12:00:00,-377.13652741136775,
2021-06-02 13:30:00,-274.17280136891395,
2021-06-02 15:00:00,-296.45410064751513,
2021-06-02 15:30:30,-296.45410064751513,
2021-06-02 23:59:59,-529.9835801991012,c
2021-06-03 00:00:00,-314.0698633587849,
2021-06-03 10:00:00,-224.75558067325665,
2021-06-03 10:30:00,-124.48423217417621,
2021-06-03 12:00:00,-2.602204261580482,
2021-06-03 13:30:00,1.0556065544978992,
2021-06-03 15:00:00,-65.6541685323732,
2021-06-03 15:30:30,-65.6541685323732,
2021-06-03 23:59:59,11.761355744952652,c
2021-06-04 00:00:00,54.812207609432335,
2021-06-04 10:00:00,54.37931431974948,
2021-06-04 10:30:00,20.80147935937748,
2021-06-04 12:00:00,-52.69620050883532,
2021-06-04 13:30:00,4.852184427738393,
2021-06-04 15:00:00,16.012279145434604,
2021-06-04 15:30:30,16.012279145434604,
2021-06-04 23:59:59,0.0,a
2021-06-07 00:00:00,51.48387657471358,
2021-06-07 10:00:00,-11.453106932473474,
2021-06-07 10:30:00,5.394736950533115,
2021-06-07 12:00:00,-72.95412851266974,
2021-06-07 13:30:00,-21.5928907682719,
2021-06-07 15:00:00,25.84772049554158,
2021-06-07 15:30:30,25.84772049554158,
2021-06-07 23:59:59,17.333673469386667,c
2021-06-08 00:00:00,-18.28734955741629,
2021-06-08 10:00:00,-30.072172038116605,
2021-06-08 10:30:00,-101.69344756540295,
2021-06-08 12:00:00,-54.45330895041616,
2021-06-08 13:30:00,-30.981948433985053,
2021-06-08 15:00:00,13.735096564658761,
2021-06-08 15:30:30,13.735096564658761,
2021-06-08 23:59:59,-16.355625389795932,c
2021-06-09 00:00:00,71.18743828347715,
2021-06-09 10:00:00,35.146865855253964,
2021-06-09 10:30:00,56.47930863139845,
2021-06-09 12:00:00,110.54475627421516,
2021-06-09 13:30:00,59.843340271541365,
2021-06-09 15:00:00,47.580888563631106,
2021-06-09 15:30:30,47.580888563631106,
2021-06-09 23:59:59,23.499829716673503,c
2021-06-10 00:00:00,65.34245892622675,
2021-06-10 10:00:00,51.17448731420791,
2021-06-10 10:30:00,29.14101689400468,
2021-06-10 12:00:00,34.0711813618168,
2021-06-10 13:30:00,102.1549664623185,
2021-06-10 15:00:00,142.68996986171305,
2021-06-10 15:30:30,142.68996986171305,
2021-06-10 23:59:59,86.16589618208945,c
2021-06-11 00:00:00,81.68141487665343,
2021-06-11 10:00:00,65.74832234717178,
2021-06-11 10:30:00,97.17890914044074,
2021-06-11 12:00:00,106.47134781072737,
2021-06-11 13:30:00,110.83067814373862,
2021-06-11 15:00:00,137.2518648009127,
2021-06-11 15:30:30,137.2518648009127,A
2021-06-11 23:59:59,135.7412941811035,w
2021-06-14 00:00:00,154.44419344978905,
2021-06-14 10:00:00,223.53290148177166,
2021-06-14 10:30:00,213.48836003700944,
2021-06-14 12:00:00,200.0213952233039,
2021-06-14 13:30:00,228.2430369131498,
2021-06-14 15:00:00,197.22757136169685,
2021-06-14 15:30:30,197.22757136169685,
2021-06-14 23:59:59,202.75730588280112,c
2021-06-15 00:00:00,211.74934199496693,
2021-06-15 10:00:00,222.40228656224463,
2021-06-15 10:30:00,213.3532032950243,
2021-06-15 12:00:00,217.73088199626773,
2021-06-15 13:30:00,206.74469952180516,
2021-06-15 15:00:00,207.91307197132755,
2021-06-15 15:30:30,207.91307197132755,
2021-06-15 23:59:59,216.7432729021143,c
2021-06-16 00:00:00,216.25170034305393,
2021-06-16 10:00:00,218.3941507769996,
2021-06-16 10:30:00,171.88585067855865,
2021-06-16 12:00:00,234.78279866442426,
2021-06-16 13:30:00,190.8734191595904,
2021-06-16 15:00:00,218.06241175343985,
2021-06-16 15:30:30,218.06241175343985,
2021-06-16 23:59:59,198.56074969113524,c
2021-06-17 00:00:00,222.55844560863898,
2021-06-17 10:00:00,124.32816638793156,
2021-06-17 10:30:00,72.11761277418464,
2021-06-17 12:00:00,-52.48514852538074,
2021-06-17 13:30:00,-60.173515473030875,
2021-06-17 15:00:00,-80.98475492199441,
2021-06-17 15:30:30,-80.98475492199441,
2021-06-17 23:59:59,-57.506992546744186,c
2021-06-18 00:00:00,-98.12530952023826,
2021-06-18 10:00:00,-108.25790751081695,
2021-06-18 10:30:00,-139.74810230416733,
2021-06-18 12:00:00,-134.1622233028388,
2021-06-18 13:30:00,-165.14736719983966,
2021-06-18 15:00:00,-198.71746097713822,
2021-06-18 15:30:30,-198.71746097713822,
2021-06-18 23:59:59,-185.8229032511913,e
2021-06-21 00:00:00,-148.56802627321622,
2021-06-21 10:00:00,-68.25613662950354,
2021-06-21 10:30:00,-19.424774825449276,
2021-06-21 12:00:00,-60.71536900049841,
2021-06-21 13:30:00,-45.394010767709005,
2021-06-21 15:00:00,-36.05406688708263,
2021-06-21 15:30:30,-36.05406688708263,
2021-06-21 23:59:59,-41.9578733862827,c
2021-06-22 00:00:00,-68.11880435399098,
2021-06-22 10:00:00,-141.21809562025737,
2021-06-22 10:30:00,-166.55809660332807,
2021-06-22 12:00:00,-186.1586668977343,
2021-06-22 13:30:00,-211.37369923999995,
2021-06-22 15:00:00,-187.31443989951504,
2021-06-22 15:30:30,-187.31443989951504,
2021-06-22 23:59:59,-197.5708792840528,c
2021-06-23 00:00:00,-188.06104740835508,
2021-06-23 10:00:00,-203.3387971459565,
2021-06-23 10:30:00,-204.00122237583173,
