date,VIG_HEDGED_2022_Q1,meta
2022-02-25 10:00:00,12.396932746366474,
2022-02-25 10:30:00,20.85426098806809,
2022-02-25 12:00:00,15.490795190442725,
2022-02-25 13:30:00,3.7300622852524157,
2022-02-25 15:00:00,0.1566089808447657,
2022-02-25 15:30:30,0.1566089808447657,
2022-02-25 23:59:59,-0.8619210403305999,w
2022-02-28 00:00:00,-19.68103440629099,
2022-02-28 10:00:00,-33.918181185038236,
2022-02-28 10:30:00,-33.067553142686535,
2022-02-28 12:00:00,-31.38648855033051,
2022-02-28 13:30:00,-32.064309373860794,
2022-02-28 15:00:00,-36.44279216110027,
2022-02-28 15:30:30,-36.44279216110027,m
2022-02-28 23:59:59,-35.719905580539574,c
2022-03-01 00:00:00,-31.922779817573428,
2022-03-01 10:00:00,-52.74801676737118,
2022-03-01 10:30:00,-56.720264012539715,
2022-03-01 12:00:00,-66.13841805590437,
2022-03-01 13:30:00,-58.81353581407723,
2022-03-01 15:00:00,-56.142965947688566,
2022-03-01 15:30:30,-56.142965947688566,
2022-03-01 23:59:59,-60.73634150955196,c
2022-03-02 00:00:00,-65.73368804449673,
2022-03-02 10:00:00,-47.10376791918141,
2022-03-02 10:30:00,-51.103520613876825,
2022-03-02 12:00:00,-47.60737627693777,
2022-03-02 13:30:00,-50.938665557253074,
2022-03-02 15:00:00,-42.861368004494864,
2022-03-02 15:30:30,-42.861368004494864,
2022-03-02 23:59:59,-46.25712488510294,c
2022-03-03 00:00:00,-44.46435547881407,
2022-03-03 10:00:00,-46.541594997238974,
2022-03-03 10:30:00,-54.44093901304841,
2022-03-03 12:00:00,-52.270332198647125,
2022-03-03 13:30:00,-44.01580355158002,
2022-03-03 15:00:00,-49.382531928495524,
2022-03-03 15:30:30,-49.382531928495524,
2022-03-03 23:59:59,-54.79109710364371,c
2022-03-04 00:00:00,-58.51688883249925,
2022-03-04 10:00:00,-70.34927730332333,
2022-03-04 10:30:00,-72.04407887931573,
2022-03-04 12:00:00,-75.05614661529174,
2022-03-04 13:30:00,-63.70196221269762,
2022-03-04 15:00:00,-63.85578431035596,
2022-03-04 15:30:30,-63.85578431035596,
2022-03-04 23:59:59,-59.2822013257705,w
2022-03-07 00:00:00,-75.31363779861238,
2022-03-07 10:00:00,-75.7868720946364,
2022-03-07 10:30:00,-76.24224938498301,
2022-03-07 12:00:00,-70.23456574302504,
2022-03-07 13:30:00,-71.86505168127258,
2022-03-07 15:00:00,-86.7980413668467,
2022-03-07 15:30:30,-86.7980413668467,
2022-03-07 23:59:59,-95.07438838714224,c
2022-03-08 00:00:00,-105.85566727883338,
2022-03-08 10:00:00,-85.11843933406684,
2022-03-08 10:30:00,-89.39688392294593,
2022-03-08 12:00:00,-86.67962848268738,
2022-03-08 13:30:00,-74.49401842269415,
2022-03-08 15:00:00,-70.07568028108832,
2022-03-08 15:30:30,-70.07568028108832,
2022-03-08 23:59:59,-72.87287787454757,c
2022-03-09 00:00:00,-67.76274187084722,
2022-03-09 10:00:00,-57.44824963624697,
2022-03-09 10:30:00,-46.14823457928736,
2022-03-09 12:00:00,-47.71490499089386,
2022-03-09 13:30:00,-29.279943218552432,
2022-03-09 15:00:00,-26.848843875090978,
2022-03-09 15:30:30,-26.848843875090978,
2022-03-09 23:59:59,-28.327153371953727,c
2022-03-10 00:00:00,-47.67754648564504,
2022-03-10 10:00:00,-29.149259953057594,
2022-03-10 10:30:00,-35.9533647739442,
2022-03-10 12:00:00,-34.305433155403705,
2022-03-10 13:30:00,-35.9554844282664,
