date,FCTR_2022_V,meta
2022-09-19 00:00:00,-85.48458593065364,
2022-09-19 10:00:00,-109.44039942199613,
2022-09-19 10:30:00,-105.6660550685557,
2022-09-19 12:00:00,-109.49309395339485,
2022-09-19 13:30:00,-115.97531427693384,
2022-09-19 15:00:00,-107.4883623406616,
2022-09-19 15:30:30,-107.4883623406616,
2022-09-19 23:59:59,-103.65009921002773,c
2022-09-20 00:00:00,-113.27090480744634,
2022-09-20 10:00:00,-127.52934111838663,
2022-09-20 10:30:00,-137.80285881353052,
2022-09-20 12:00:00,-132.96791682106272,
2022-09-20 13:30:00,-110.73316306439919,
2022-09-20 15:00:00,-109.67993364385227,
2022-09-20 15:30:30,-109.67993364385227,
2022-09-20 23:59:59,-109.0232243078968,c
2022-09-21 00:00:00,-91.23484476456069,
2022-09-21 10:00:00,-61.56120484542187,
2022-09-21 10:30:00,-62.870577808670035,
2022-09-21 12:00:00,-79.93606092617284,
2022-09-21 13:30:00,-76.92666531723269,
2022-09-21 15:00:00,-95.40213534853005,
2022-09-21 15:30:30,-95.40213534853005,
2022-09-21 23:59:59,-78.48025329068952,c
2022-09-22 00:00:00,-77.40665258184433,
2022-09-22 10:00:00,-47.203475400110165,
2022-09-22 10:30:00,-45.40825259727639,
2022-09-22 12:00:00,-52.63539213384465,
2022-09-22 13:30:00,-45.1622697377517,
2022-09-22 15:00:00,-34.47536408002594,
2022-09-22 15:30:30,-34.47536408002594,
2022-09-22 23:59:59,-39.31970562447155,c
2022-09-23 00:00:00,-41.07893957375573,
2022-09-23 10:00:00,-34.439030827432816,
2022-09-23 10:30:00,-25.344692111779402,
2022-09-23 12:00:00,-30.78739976171373,
2022-09-23 13:30:00,-27.214468701833056,
2022-09-23 15:00:00,-25.81290268925209,
2022-09-23 15:30:30,-25.81290268925209,
2022-09-23 23:59:59,-32.96566502728227,w
2022-09-26 00:00:00,-40.1586976493074,
2022-09-26 10:00:00,-63.48633900096941,
2022-09-26 10:30:00,-52.259851503241336,
2022-09-26 12:00:00,-37.73204877558315,
2022-09-26 13:30:00,-45.41594901922859,
2022-09-26 15:00:00,-42.01300064782144,
2022-09-26 15:30:30,-42.01300064782144,
2022-09-26 23:59:59,-32.72539068338571,c
2022-09-27 00:00:00,-39.00121047222683,
2022-09-27 10:00:00,-57.660492139975304,
2022-09-27 10:30:00,-53.23550203253505,
2022-09-27 12:00:00,-44.27106541644534,
2022-09-27 13:30:00,-45.74307182593019,
2022-09-27 15:00:00,-53.89784674578067,
2022-09-27 15:30:30,-53.89784674578067,
2022-09-27 23:59:59,-59.79308409008287,c
2022-09-28 00:00:00,-51.10065810986913,
2022-09-28 10:00:00,-79.88615795367399,
2022-09-28 10:30:00,-78.7352774578976,
2022-09-28 12:00:00,-73.7352334910415,
2022-09-28 13:30:00,-62.78487420682606,
2022-09-28 15:00:00,-70.58903036239744,
2022-09-28 15:30:30,-70.58903036239744,
2022-09-28 23:59:59,-67.33912190076973,c
2022-09-29 00:00:00,-46.86196067202734,
2022-09-29 10:00:00,-31.652695931912447,
2022-09-29 10:30:00,-30.479821599995702,
2022-09-29 12:00:00,-43.305636645812015,
2022-09-29 13:30:00,-30.800953741489906,
2022-09-29 15:00:00,-32.23143038976451,
2022-09-29 15:30:30,-32.23143038976451,
2022-09-29 23:59:59,-30.59507609244116,c
2022-09-30 00:00:00,-32.30522521904439,
2022-09-30 10:00:00,-43.45470145238045,
2022-09-30 10:30:00,-34.77098350742523,
2022-09-30 12:00:00,-25.477557786433827,
2022-09-30 13:30:00,-27.409198785266973,
2022-09-30 15:00:00,-21.378676592231862,
2022-09-30 15:30:30,-21.378676592231862,s
2022-09-30 23:59:59,-10.359975887365287,w
2022-10-03 00:00:00,-9.645137046572486,
2022-10-03 10:00:00,9.017434649680979,
2022-10-03 10:30:00,-7.736377383496304,
2022-10-03 12:00:00,-11.089315371670608,
2022-10-03 13:30:00,-7.413898096825385,
2022-10-03 15:00:00,0.8825008176665463,
2022-10-03 15:30:30,0.8825008176665463,
2022-10-03 23:59:59,0.0,a
2022-10-04 00:00:00,-16.804038022553925,
2022-10-04 10:00:00,-45.515524997566075,
2022-10-04 10:30:00,-32.53514535890426,
2022-10-04 12:00:00,-63.67772732344814,
2022-10-04 13:30:00,-60.731106444261826,
2022-10-04 15:00:00,-74.63212834895964,
2022-10-04 15:30:30,-74.63212834895964,
2022-10-04 23:59:59,-79.70360710619049,c
0,-79.70360710619049,
0,-79.70360710619049,
0,-79.70360710619049,
0,-79.70360710619049,
0,-79.70360710619049,
0,-79.70360710619049,
0,-79.70360710619049,
0,-79.70360710619049,
2022-10-05 00:00:00,-50.98566871458188,
2022-10-05 10:00:00,-60.49352233789513,
2022-10-05 10:30:00,-54.18583413423697,
2022-10-05 12:00:00,-52.55479582335978,
2022-10-05 13:30:00,-57.04459639452942,
2022-10-05 15:00:00,-50.389405990983946,
2022-10-05 15:30:30,-50.389405990983946,
2022-10-05 23:59:59,-51.875727244047255,e
2022-10-06 00:00:00,-48.55789402496126,
2022-10-06 10:00:00,-46.71766207154647,
2022-10-06 10:30:00,-45.69967645661872,
2022-10-06 12:00:00,-52.722117859570815,
2022-10-06 13:30:00,-63.94840203186254,
2022-10-06 15:00:00,-68.00909738592193,
2022-10-06 15:30:30,-68.00909738592193,
2022-10-06 23:59:59,-67.43835854224346,c
2022-10-07 00:00:00,-43.85354076454979,
2022-10-07 10:00:00,-13.784778222929404,
2022-10-07 10:30:00,-21.070247002809666,
2022-10-07 12:00:00,-21.62787293964039,
2022-10-07 13:30:00,-20.36064500956374,
2022-10-07 15:00:00,-26.905072910932716,
2022-10-07 15:30:30,-26.905072910932716,
2022-10-07 23:59:59,-35.24732303275371,w
2022-10-10 00:00:00,-24.470979937945692,
2022-10-10 10:00:00,-21.199660995150055,
2022-10-10 10:30:00,-16.630128808352204,
2022-10-10 12:00:00,-12.992929928108481,
2022-10-10 13:30:00,-1.2487104761085348,
2022-10-10 15:00:00,-9.348430863555627,
2022-10-10 15:30:30,-9.348430863555627,
2022-10-10 23:59:59,-4.838342238299539,c
2022-10-11 00:00:00,-14.408777480742252,
2022-10-11 10:00:00,47.768814084560844,
2022-10-11 10:30:00,41.74178462782904,
2022-10-11 12:00:00,14.80736626742987,
2022-10-11 13:30:00,21.621509750597838,
2022-10-11 15:00:00,34.33071353927737,
2022-10-11 15:30:30,34.33071353927737,
2022-10-11 23:59:59,39.05390690147509,c
2022-10-12 00:00:00,49.41652503988446,
2022-10-12 10:00:00,50.89870653809943,
2022-10-12 10:30:00,42.97870209335868,
2022-10-12 12:00:00,20.7669427647568,
2022-10-12 13:30:00,24.07818861045001,
2022-10-12 15:00:00,13.156170290696284,
2022-10-12 15:30:30,13.156170290696284,
2022-10-12 23:59:59,13.19627703823,c
2022-10-13 00:00:00,29.9300029941431,
2022-10-13 10:00:00,11.885426309016495,
2022-10-13 10:30:00,18.947982432238504,
2022-10-13 12:00:00,6.414760145143131,
2022-10-13 13:30:00,4.121929609290948,
2022-10-13 15:00:00,16.966862393510368,
2022-10-13 15:30:30,16.966862393510368,
2022-10-13 23:59:59,21.304823516501507,c
2022-10-14 00:00:00,-3.034339934557032,
2022-10-14 10:00:00,0.4856323800704274,
2022-10-14 10:30:00,-0.29020667156239455,
2022-10-14 12:00:00,2.2505809398162775,
2022-10-14 13:30:00,-5.20731927029064,
2022-10-14 15:00:00,-11.35911238387127,
2022-10-14 15:30:30,-11.35911238387127,
2022-10-14 23:59:59,-10.351575874242343,w
2022-10-17 00:00:00,-35.47694472955804,
2022-10-17 10:00:00,-15.998683348795105,
2022-10-17 10:30:00,-24.120846076902083,
2022-10-17 12:00:00,-19.157089783301657,
2022-10-17 13:30:00,-20.678473980596678,
2022-10-17 15:00:00,-16.614710760349112,
2022-10-17 15:30:30,-16.614710760349112,
2022-10-17 23:59:59,-11.658878717362185,c
2022-10-18 00:00:00,-27.881009993163936,
2022-10-18 10:00:00,-38.755141028859896,
2022-10-18 10:30:00,-32.66121227083825,
2022-10-18 12:00:00,-41.22928930123096,
2022-10-18 13:30:00,-43.086677938332585,
2022-10-18 15:00:00,-47.02957448730689,
2022-10-18 15:30:30,-47.02957448730689,
2022-10-18 23:59:59,-50.0538363793449,c
2022-10-19 00:00:00,-42.506744090834275,
2022-10-19 10:00:00,-58.010181561063845,
2022-10-19 10:30:00,-79.46765713272735,
2022-10-19 12:00:00,-60.13433753883827,
2022-10-19 13:30:00,-49.55989896471573,
2022-10-19 15:00:00,-44.53170115648338,
2022-10-19 15:30:30,-44.53170115648338,
2022-10-19 23:59:59,-40.89802838619684,c
