date,AS_SDIV_2022_Q1,meta
2022-02-07 00:00:00,-142.11381647721748,
2022-02-07 01:00:00,-156.86617436557663,
2022-02-07 02:30:00,-183.49032042562192,
2022-02-07 03:00:00,-181.96457748211606,
2022-02-07 18:30:00,-189.15307774284736,
2022-02-07 20:00:00,-178.18055774942468,
2022-02-07 23:00:00,-220.37576731723482,
2022-02-07 23:59:59,-211.40829874919712,c
2022-02-08 00:00:00,-200.7593631786632,
2022-02-08 01:00:00,-244.44008429989606,
2022-02-08 02:30:00,-257.3431799860856,
2022-02-08 03:00:00,-271.5408078888323,
2022-02-08 18:30:00,-266.6004018505082,
2022-02-08 20:00:00,-266.9933468860395,
2022-02-08 23:00:00,-235.70626392667555,
2022-02-08 23:59:59,-242.36706642935644,c
2022-02-09 00:00:00,-243.6070743025872,
2022-02-09 01:00:00,-237.7617957445591,
2022-02-09 02:30:00,-250.68248917236042,
2022-02-09 03:00:00,-241.7531457959402,
2022-02-09 18:30:00,-233.69554587941127,
2022-02-09 20:00:00,-229.64245416591893,
2022-02-09 23:00:00,-179.27836271789704,
2022-02-09 23:59:59,-172.51430725772445,c
2022-02-10 00:00:00,-135.70384840259942,
2022-02-10 01:00:00,-126.61677597479263,
2022-02-10 02:30:00,-139.85611906488907,
2022-02-10 03:00:00,-124.48431154153923,
2022-02-10 18:30:00,-138.7566006454134,
2022-02-10 20:00:00,-131.00359610064538,
2022-02-10 23:00:00,-71.38023222187917,
2022-02-10 23:59:59,-68.0061219424125,c
2022-02-11 00:00:00,8.171917104480144,
2022-02-11 01:00:00,-3.2388719826680017,
2022-02-11 02:30:00,31.73709967752643,
2022-02-11 03:00:00,45.18003801241207,
2022-02-11 18:30:00,45.18003801241207,
2022-02-11 20:00:00,45.18003801241207,
2022-02-11 23:00:00,45.18003801241207,
2022-02-11 23:59:59,42.459113222392375,w
2022-02-14 00:00:00,-57.004323299181806,
2022-02-14 01:00:00,-56.52511830569358,
2022-02-14 02:30:00,-38.669214165156404,
2022-02-14 03:00:00,-39.72203037353961,
2022-02-14 18:30:00,-59.038684720887204,
2022-02-14 20:00:00,-50.43687988734666,
2022-02-14 23:00:00,-31.56431043823966,
2022-02-14 23:59:59,-32.35383907009407,c
2022-02-15 00:00:00,-28.864444974246453,
2022-02-15 01:00:00,-57.84104070762544,
2022-02-15 02:30:00,-74.58377631960991,
2022-02-15 03:00:00,-73.75033416004703,
2022-02-15 18:30:00,-64.89648251595895,
2022-02-15 20:00:00,-81.11409985481828,
2022-02-15 23:00:00,-55.799612861080504,
2022-02-15 23:59:59,-53.21088179262483,c
2022-02-16 00:00:00,-35.305212178753095,
2022-02-16 01:00:00,-44.75525356173978,
2022-02-16 02:30:00,-47.304278296287976,
2022-02-16 03:00:00,-40.76115228874653,
2022-02-16 18:30:00,-33.88567440324914,
2022-02-16 20:00:00,-42.99539406391159,
2022-02-16 23:00:00,-60.57793934780625,
2022-02-16 23:59:59,-56.16923086760801,c
2022-02-17 00:00:00,-39.500294314221264,
2022-02-17 01:00:00,-69.02155145641836,
2022-02-17 02:30:00,-96.66385041567366,
2022-02-17 03:00:00,-82.8679515584871,
2022-02-17 18:30:00,-66.7430065781806,
2022-02-17 20:00:00,-45.65953247591642,
2022-02-17 23:00:00,-33.652843717848555,
2022-02-17 23:59:59,-31.931331877979233,c
2022-02-18 00:00:00,0.8458770389192978,
2022-02-18 01:00:00,33.25257226010217,
2022-02-18 02:30:00,20.709527324837836,
2022-02-18 03:00:00,30.582266193098235,
2022-02-18 18:30:00,30.582266193098235,
2022-02-18 20:00:00,30.582266193098235,
2022-02-18 23:00:00,30.582266193098235,
2022-02-18 23:59:59,29.07885824308869,w
2022-02-21 00:00:00,-78.2798089053639,
2022-02-21 01:00:00,-81.72891037609804,
2022-02-21 02:30:00,-41.1866945773819,
2022-02-21 03:00:00,-45.04511319492599,
2022-02-21 18:30:00,-25.281110402093645,
2022-02-21 20:00:00,-43.420752965084716,
2022-02-21 23:00:00,-3.350437018387538,
2022-02-21 23:59:59,0.0,a
2022-02-22 00:00:00,-23.25652934673724,
2022-02-22 01:00:00,-35.133306138045555,
2022-02-22 02:30:00,-53.066219510846395,
2022-02-22 03:00:00,-64.23910644928117,
