date,AS_FTSE_EM_HK_AD_2022_Q4,meta
2022-10-07 00:00:00,1561.482979852326,
2022-10-07 01:00:00,1561.482979852326,
2022-10-07 02:30:00,1561.335687618899,
2022-10-07 03:00:00,1561.335687618901,
2022-10-07 18:30:00,1561.335687618901,
2022-10-07 20:00:00,1561.335687618901,
2022-10-07 23:00:00,1561.335687618901,
2022-10-07 23:59:59,1486.3374369123085,w
2022-10-10 00:00:00,958.5299662339148,
2022-10-10 01:00:00,958.5299662339148,
2022-10-10 02:30:00,732.0119883574698,
2022-10-10 03:00:00,581.0930697711992,
2022-10-10 18:30:00,581.0930697711992,
2022-10-10 20:00:00,581.0930697711992,
2022-10-10 23:00:00,922.7714170555628,
2022-10-10 23:59:59,931.0840284840542,c
2022-10-11 00:00:00,978.2747366133026,
2022-10-11 01:00:00,978.2747366133026,
2022-10-11 02:30:00,886.5799431594787,
2022-10-11 03:00:00,928.3229644139228,
2022-10-11 18:30:00,928.3229644139228,
2022-10-11 20:00:00,928.3229644139228,
2022-10-11 23:00:00,266.576126320464,
2022-10-11 23:59:59,35.681244809078635,c
2022-10-12 00:00:00,81.47381894491082,
2022-10-12 01:00:00,81.47381894491082,
2022-10-12 02:30:00,738.0578516709138,
2022-10-12 03:00:00,871.0368927452491,
2022-10-12 18:30:00,871.0368927452491,
2022-10-12 20:00:00,871.0368927452491,
2022-10-12 23:00:00,509.50064239176754,
2022-10-12 23:59:59,703.6917269131554,c
2022-10-13 00:00:00,604.1064900581332,
2022-10-13 01:00:00,604.1064900581332,
2022-10-13 02:30:00,554.0394496693461,
2022-10-13 03:00:00,285.9673440906645,
2022-10-13 18:30:00,285.9673440906645,
2022-10-13 20:00:00,285.9673440906645,
2022-10-13 23:00:00,250.50231075895135,
2022-10-13 23:59:59,274.96651675121393,c
2022-10-14 00:00:00,418.8824939773149,
2022-10-14 01:00:00,418.8824939773149,
2022-10-14 02:30:00,311.30070492115556,
2022-10-14 03:00:00,360.95383833169217,
2022-10-14 18:30:00,360.95383833169217,
2022-10-14 20:00:00,360.95383833169217,
2022-10-14 23:00:00,360.95383833169217,
2022-10-14 23:59:59,220.4001623207314,w
2022-10-17 00:00:00,-308.1388140685249,
2022-10-17 01:00:00,-308.1388140685249,
2022-10-17 02:30:00,-151.41133004426592,
2022-10-17 03:00:00,-176.17726970047988,
2022-10-17 18:30:00,-176.17726970047988,
2022-10-17 20:00:00,-176.17726970047988,
2022-10-17 23:00:00,-35.456125493943546,
2022-10-17 23:59:59,152.57915812483043,c
2022-10-18 00:00:00,182.51224609612837,
2022-10-18 01:00:00,182.51224609612837,
2022-10-18 02:30:00,124.63294188903637,
2022-10-18 03:00:00,141.0311634225909,
