date,FTSE_EM_ADR_HEDGED_2021_Q1,meta
2021-01-15 00:00:00,1921.2561567800892,
2021-01-15 10:00:00,1829.09731829519,
2021-01-15 10:30:00,1731.9538834378016,
2021-01-15 12:00:00,1731.696897833562,
2021-01-15 13:30:00,1739.5418793992746,
2021-01-15 15:00:00,1690.9184761242216,
2021-01-15 15:30:30,1690.9184761242216,
2021-01-15 23:59:59,1703.7188824421744,w
2021-01-18 00:00:00,1703.7188824421744,
2021-01-18 10:00:00,1703.7188824421744,
2021-01-18 10:30:00,1703.7188824421744,
2021-01-18 12:00:00,1703.7188824421744,
2021-01-18 13:30:00,1703.7188824421744,
2021-01-18 15:00:00,1703.7188824421744,
2021-01-18 15:30:30,1703.7188824421744,
2021-01-18 23:59:59,1703.7188824421744,c
2021-01-19 00:00:00,1854.760096010168,
2021-01-19 10:00:00,2018.8697578625768,
2021-01-19 10:30:00,2069.9922992315423,
2021-01-19 12:00:00,1986.442352201608,
2021-01-19 13:30:00,2094.079075522497,
2021-01-19 15:00:00,2106.024640499192,
2021-01-19 15:30:30,2106.024640499192,
2021-01-19 23:59:59,2114.181762565154,c
2021-01-20 00:00:00,2265.261360728473,
2021-01-20 10:00:00,2206.928638189588,
2021-01-20 10:30:00,2065.594344571893,
2021-01-20 12:00:00,1921.1778209797947,
2021-01-20 13:30:00,1939.1687071851736,
2021-01-20 15:00:00,1994.8371277276103,
2021-01-20 15:30:30,1994.8371277276103,
2021-01-20 23:59:59,1958.5216048906289,c
2021-01-21 00:00:00,1917.0931116137006,
2021-01-21 10:00:00,1838.358728306903,
2021-01-21 10:30:00,1784.5949843787364,
2021-01-21 12:00:00,1986.829852877261,
2021-01-21 13:30:00,1963.3604814940902,
2021-01-21 15:00:00,1949.2776766419654,
2021-01-21 15:30:30,1949.2776766419654,
2021-01-21 23:59:59,1967.2835075601213,c
2021-01-22 00:00:00,1969.5821790251277,
2021-01-22 10:00:00,1948.811038092989,
2021-01-22 10:30:00,2099.4699142736836,
2021-01-22 12:00:00,2066.87855084322,
2021-01-22 13:30:00,2033.4447908592422,
2021-01-22 15:00:00,2070.9019347105523,
2021-01-22 15:30:30,2070.9019347105523,
2021-01-22 23:59:59,2073.684964306265,w
2021-01-25 00:00:00,2218.0189964778037,
2021-01-25 10:00:00,2165.4326185478167,
2021-01-25 10:30:00,2139.0392042174744,
2021-01-25 12:00:00,1991.3043749367819,
2021-01-25 13:30:00,1845.542426932025,
2021-01-25 15:00:00,1840.5947135864023,
2021-01-25 15:30:30,1840.5947135864023,
2021-01-25 23:59:59,1744.682474027398,c
2021-01-26 00:00:00,1833.615717425312,
2021-01-26 10:00:00,1925.4666884751812,
2021-01-26 10:30:00,1866.296036255201,
2021-01-26 12:00:00,1733.3851949438547,
2021-01-26 13:30:00,1783.3500052179363,
2021-01-26 15:00:00,1795.1662225240477,
2021-01-26 15:30:30,1795.1662225240477,
2021-01-26 23:59:59,1812.9092643572974,c
2021-01-27 00:00:00,1707.6302747637917,
2021-01-27 10:00:00,1748.749557017519,
2021-01-27 10:30:00,1781.9208922240816,
2021-01-27 12:00:00,1731.2709868796376,
2021-01-27 13:30:00,1680.6000721553112,
2021-01-27 15:00:00,1584.278898322568,
2021-01-27 15:30:30,1584.278898322568,
2021-01-27 23:59:59,1620.2089253903612,c
2021-01-28 00:00:00,1582.0185063069796,
2021-01-28 10:00:00,1486.7650477404097,
2021-01-28 10:30:00,1557.248248318954,
2021-01-28 12:00:00,1674.2144107287297,
2021-01-28 13:30:00,1705.7339736198621,
2021-01-28 15:00:00,1723.2221748458812,
2021-01-28 15:30:30,1723.2221748458812,
2021-01-28 23:59:59,1695.7418580933734,c
2021-01-29 00:00:00,1755.3812422207532,
2021-01-29 10:00:00,1812.7542668900167,
2021-01-29 10:30:00,1765.0459665421974,
2021-01-29 12:00:00,1727.4259687898373,
2021-01-29 13:30:00,1649.603538076048,
2021-01-29 15:00:00,1612.70306912626,
2021-01-29 15:30:30,1612.70306912626,
