date,MSCI_US_AD_HEDGED_2021_Q4,meta
2021-10-07 00:00:00,-572.1330479974993,
2021-10-07 10:00:00,-582.9952579353435,
2021-10-07 10:30:00,-569.4633522825495,
2021-10-07 12:00:00,-601.801868509347,
2021-10-07 13:30:00,-597.7865846471482,
2021-10-07 15:00:00,-611.0305193139836,
2021-10-07 15:30:30,-611.0305193139836,
2021-10-07 23:59:59,-605.5652489468016,c
2021-10-08 00:00:00,-625.8394271973609,
2021-10-08 10:00:00,-602.7485316429343,
2021-10-08 10:30:00,-590.2387136577793,
2021-10-08 12:00:00,-590.6331823139149,
2021-10-08 13:30:00,-595.3133298199568,
2021-10-08 15:00:00,-586.3181443316571,
2021-10-08 15:30:30,-586.3181443316571,
2021-10-08 23:59:59,-588.7401204312387,w
2021-10-11 00:00:00,-545.138667660842,
2021-10-11 10:00:00,-580.7481659802413,
2021-10-11 10:30:00,-581.2212010367923,
2021-10-11 12:00:00,-505.5580426151637,
2021-10-11 13:30:00,-514.3558941902917,
2021-10-11 15:00:00,-522.217575052061,
2021-10-11 15:30:30,-522.217575052061,
2021-10-11 23:59:59,-520.0023420593668,c
2021-10-12 00:00:00,-543.7417073582908,
2021-10-12 10:00:00,-559.6827249623211,
2021-10-12 10:30:00,-554.5470641913662,
2021-10-12 12:00:00,-551.3499407638209,
2021-10-12 13:30:00,-546.4471310578281,
2021-10-12 15:00:00,-543.8741231819724,
2021-10-12 15:30:30,-543.8741231819724,
2021-10-12 23:59:59,-536.0309283830029,c
2021-10-13 00:00:00,-562.5165328749713,
2021-10-13 10:00:00,-535.7739522710948,
2021-10-13 10:30:00,-555.3112828808688,
2021-10-13 12:00:00,-564.8501291854246,
2021-10-13 13:30:00,-572.8771283009426,
2021-10-13 15:00:00,-568.5101457882729,
2021-10-13 15:30:30,-568.5101457882729,
2021-10-13 23:59:59,-579.2593571839498,c
2021-10-14 00:00:00,-545.5128924090471,
2021-10-14 10:00:00,-527.7147364214175,
2021-10-14 10:30:00,-546.4933997106152,
2021-10-14 12:00:00,-546.2320843019872,
2021-10-14 13:30:00,-548.4864129198024,
2021-10-14 15:00:00,-517.7254289070567,
2021-10-14 15:30:30,-517.7254289070567,
2021-10-14 23:59:59,-511.17259862271374,c
2021-10-15 00:00:00,-513.9439287236576,
2021-10-15 10:00:00,-477.42546828776665,
2021-10-15 10:30:00,-484.15578431932875,
2021-10-15 12:00:00,-515.2637630636498,
2021-10-15 13:30:00,-509.57680738149566,
2021-10-15 15:00:00,-507.53553209735634,
2021-10-15 15:30:30,-507.53553209735634,
2021-10-15 23:59:59,-504.1107246409206,w
2021-10-18 00:00:00,-511.1829918856033,
2021-10-18 10:00:00,-443.53703269500505,
2021-10-18 10:30:00,-377.4898627424674,
2021-10-18 12:00:00,-381.32477958579426,
2021-10-18 13:30:00,-385.7571280060525,
2021-10-18 15:00:00,-373.8162362001587,
2021-10-18 15:30:30,-373.8162362001587,s
2021-10-18 23:59:59,-379.33272211063735,c
2021-10-19 00:00:00,-365.65595087145005,
2021-10-19 10:00:00,-431.07763614475266,
2021-10-19 10:30:00,-427.11482796746463,
2021-10-19 12:00:00,-426.143573790811,
2021-10-19 13:30:00,-413.86328064167486,
2021-10-19 15:00:00,-426.40852962692867,
2021-10-19 15:30:30,-426.40852962692867,
2021-10-19 23:59:59,-413.8414311386921,c
2021-10-20 00:00:00,-398.0257669936922,
2021-10-20 10:00:00,-399.20694125676147,
2021-10-20 10:30:00,-396.0759315361674,
2021-10-20 12:00:00,-394.9538541755014,
2021-10-20 13:30:00,-399.6731818843019,
2021-10-20 15:00:00,-389.74411148650074,
2021-10-20 15:30:30,-389.74411148650074,
2021-10-20 23:59:59,-407.6750028736745,c
2021-10-21 00:00:00,-394.91311675068965,
2021-10-21 10:00:00,-387.61730311412646,
2021-10-21 10:30:00,-400.4829949920228,
2021-10-21 12:00:00,-427.3576774369955,
2021-10-21 13:30:00,-427.7095508332413,
2021-10-21 15:00:00,-446.62212423084065,
2021-10-21 15:30:30,-446.62212423084065,
2021-10-21 23:59:59,-444.26131018748043,c
2021-10-22 00:00:00,-445.0918135702538,
2021-10-22 10:00:00,-480.25435274817085,
2021-10-22 10:30:00,-464.5000626234211,
2021-10-22 12:00:00,-435.4694759625315,
2021-10-22 13:30:00,-450.4838520032043,
2021-10-22 15:00:00,-435.55490145251156,
2021-10-22 15:30:30,-435.55490145251156,
2021-10-22 23:59:59,-439.18737598911713,w
2021-10-25 00:00:00,-420.2658252185406,
2021-10-25 10:00:00,-406.6219366047856,
2021-10-25 10:30:00,-392.6166432031018,
2021-10-25 12:00:00,-344.1323596245464,
2021-10-25 13:30:00,-359.9133442260798,
2021-10-25 15:00:00,-367.72591019372123,
2021-10-25 15:30:30,-367.72591019372123,
2021-10-25 23:59:59,-384.45506804429886,c
2021-10-26 00:00:00,-380.6968309404678,
2021-10-26 10:00:00,-446.3728706966262,
2021-10-26 10:30:00,-426.8347947826246,
2021-10-26 12:00:00,-432.8774955147111,
2021-10-26 13:30:00,-489.940207243785,
2021-10-26 15:00:00,-472.32789893059544,
2021-10-26 15:30:30,-472.32789893059544,
2021-10-26 23:59:59,-467.12234173202177,c
2021-10-27 00:00:00,-497.5391171917385,
2021-10-27 10:00:00,-489.1360921603205,
2021-10-27 10:30:00,-514.9287857974442,
2021-10-27 12:00:00,-517.2358946283601,
2021-10-27 13:30:00,-532.6726616378464,
2021-10-27 15:00:00,-550.1865838971039,
2021-10-27 15:30:30,-550.1865838971039,
