date,US_MISC_2022_Q2,meta
2022-06-10 12:00:00,-33.17876179598039,
2022-06-10 13:30:00,-8.527331020829706,
2022-06-10 15:00:00,-2.777303475753115,
2022-06-10 15:30:30,-2.777303475753115,
2022-06-10 23:59:59,0.0,a
2022-06-13 00:00:00,-16.29466958519569,
2022-06-13 10:00:00,-11.020944175468998,
2022-06-13 10:30:00,-25.541866751220624,
2022-06-13 12:00:00,-28.276924845976765,
2022-06-13 13:30:00,-22.23697626507672,
2022-06-13 15:00:00,-20.632587265256035,
2022-06-13 15:30:30,-20.632587265256035,
2022-06-13 23:59:59,-26.590604976510207,c
2022-06-14 00:00:00,26.794549550683342,
2022-06-14 10:00:00,-12.173788929827964,
2022-06-14 10:30:00,-19.158307656204357,
2022-06-14 12:00:00,20.33758933695603,
2022-06-14 13:30:00,31.92612966033508,
2022-06-14 15:00:00,19.609775908556685,
2022-06-14 15:30:30,19.609775908556685,
2022-06-14 23:59:59,9.806067229633129,c
2022-06-15 00:00:00,21.846865405461443,
2022-06-15 10:00:00,37.56667403900832,
2022-06-15 10:30:00,28.81246270246632,
2022-06-15 12:00:00,37.38200500461713,
2022-06-15 13:30:00,34.939578991092276,
2022-06-15 15:00:00,29.394807008817338,
2022-06-15 15:30:30,29.394807008817338,
2022-06-15 23:59:59,46.21626826628429,c
2022-06-16 00:00:00,69.43168071316995,
2022-06-16 10:00:00,12.684486699907325,
2022-06-16 10:30:00,10.234771093343284,
2022-06-16 12:00:00,-6.693145610316208,
2022-06-16 13:30:00,8.928945042991984,
2022-06-16 15:00:00,-3.8503631011598145,
2022-06-16 15:30:30,-3.8503631011598145,
2022-06-16 23:59:59,-5.952153343946804,c
2022-06-17 00:00:00,11.892363387241943,
2022-06-17 10:00:00,44.89210168890514,
2022-06-17 10:30:00,44.61946822477964,
2022-06-17 12:00:00,60.136712694657746,
2022-06-17 13:30:00,73.47641744152935,
2022-06-17 15:00:00,59.4761131881383,
2022-06-17 15:30:30,59.4761131881383,
2022-06-17 23:59:59,46.14568965358205,e
2022-06-20 00:00:00,46.14568965358205,
2022-06-20 10:00:00,46.92559580976962,
2022-06-20 10:30:00,46.65558206976826,
2022-06-20 12:00:00,47.22079538372415,
2022-06-20 13:30:00,47.2130058582124,
2022-06-20 15:00:00,47.54735624940426,
2022-06-20 15:30:30,47.54735624940426,
2022-06-20 23:59:59,47.54735624940426,c
2022-06-21 00:00:00,57.80380659796373,
2022-06-21 10:00:00,67.00461102644113,
2022-06-21 10:30:00,37.753615542871046,
2022-06-21 12:00:00,32.429519126699574,
2022-06-21 13:30:00,40.943676576052354,
2022-06-21 15:00:00,40.923252600758076,
2022-06-21 15:30:30,40.923252600758076,
2022-06-21 23:59:59,43.38721662319412,c
2022-06-22 00:00:00,53.472886962707236,
2022-06-22 10:00:00,60.49510677000396,
2022-06-22 10:30:00,58.762902195323335,
2022-06-22 12:00:00,56.30070144275473,
2022-06-22 13:30:00,76.68469712555498,
2022-06-22 15:00:00,77.60776677798498,
2022-06-22 15:30:30,77.60776677798498,
2022-06-22 23:59:59,79.72388430855949,c
2022-06-23 00:00:00,91.57815503761884,
2022-06-23 10:00:00,99.94605130104748,
2022-06-23 10:30:00,92.74341108255595,
2022-06-23 12:00:00,89.87578699465314,
2022-06-23 13:30:00,105.03557124746993,
2022-06-23 15:00:00,116.34109918998564,
2022-06-23 15:30:30,116.34109918998564,
2022-06-23 23:59:59,119.9811535307806,c
2022-06-24 00:00:00,112.12773683289743,
2022-06-24 10:00:00,124.12539411176192,
2022-06-24 10:30:00,139.27392028228343,
2022-06-24 12:00:00,117.81802442050531,
2022-06-24 13:30:00,124.07819282506694,
2022-06-24 15:00:00,132.94362332689605,
2022-06-24 15:30:30,132.94362332689605,
2022-06-24 23:59:59,135.79294882980435,w
2022-06-27 00:00:00,130.1482542001491,
2022-06-27 10:00:00,113.2688188759326,
2022-06-27 10:30:00,102.39990931548004,
2022-06-27 12:00:00,109.72791887197263,
2022-06-27 13:30:00,113.26026913456423,
2022-06-27 15:00:00,122.48154900216207,
2022-06-27 15:30:30,122.48154900216207,
2022-06-27 23:59:59,119.72570739519915,c
2022-06-28 00:00:00,117.46649078115206,
