date,XBI_WW_2020_Q4,meta
2020-11-13 00:00:00,-1359.8311052880736,
2020-11-13 10:00:00,-1344.9049356825067,
2020-11-13 10:30:00,-1362.5671219349424,
2020-11-13 12:00:00,-1385.5217775406873,
2020-11-13 13:30:00,-1384.2656529448059,
2020-11-13 15:00:00,-1408.2469024542365,
2020-11-13 15:30:30,-1408.2469024542365,
2020-11-13 23:59:59,-1404.5173144885462,w
2020-11-16 00:00:00,-1357.910641721685,
2020-11-16 10:00:00,-1466.1180576511806,
2020-11-16 10:30:00,-1452.724225063435,
2020-11-16 12:00:00,-1405.001869767656,
2020-11-16 13:30:00,-1430.2734936210677,
2020-11-16 15:00:00,-1438.0549618360856,
2020-11-16 15:30:30,-1438.0549618360856,
2020-11-16 23:59:59,-1418.409108395077,c
2020-11-17 00:00:00,-1465.8698397206654,
2020-11-17 10:00:00,-1438.1302813678763,
2020-11-17 10:30:00,-1415.0539963887477,
2020-11-17 12:00:00,-1360.5888241410516,
2020-11-17 13:30:00,-1353.4753029286117,
2020-11-17 15:00:00,-1353.8043998307062,
2020-11-17 15:30:30,-1353.8043998307062,
2020-11-17 23:59:59,-1348.3832208039662,c
2020-11-18 00:00:00,-1310.7336080314385,
2020-11-18 10:00:00,-1297.8960511311147,
2020-11-18 10:30:00,-1350.52277171911,
2020-11-18 12:00:00,-1282.0946260746755,
2020-11-18 13:30:00,-1274.148412764986,
2020-11-18 15:00:00,-1307.3318148311605,
2020-11-18 15:30:30,-1307.3318148311605,
2020-11-18 23:59:59,-1336.5460731169915,c
2020-11-19 00:00:00,-1370.271033820662,
2020-11-19 10:00:00,-1293.269689970602,
2020-11-19 10:30:00,-1278.1521815087199,
2020-11-19 12:00:00,-1302.940371172574,
2020-11-19 13:30:00,-1327.386584709774,
2020-11-19 15:00:00,-1328.5776695124414,
2020-11-19 15:30:30,-1328.5776695124414,
2020-11-19 23:59:59,-1314.0811260861133,c
2020-11-20 00:00:00,-1354.5210256599198,
2020-11-20 10:00:00,-1372.310073438175,
2020-11-20 10:30:00,-1341.0117142780837,
2020-11-20 12:00:00,-1309.3652219099076,
2020-11-20 13:30:00,-1291.5622076877899,
2020-11-20 15:00:00,-1274.8063257577119,
2020-11-20 15:30:30,-1274.8063257577119,
2020-11-20 23:59:59,-1257.233607901213,w
2020-11-23 00:00:00,-1261.1351604160568,
2020-11-23 10:00:00,-1232.9985264284996,
2020-11-23 10:30:00,-1271.1604483680803,
2020-11-23 12:00:00,-1233.28221859205,
2020-11-23 13:30:00,-1195.1146151605772,
2020-11-23 15:00:00,-1212.0097513766063,
2020-11-23 15:30:30,-1212.0097513766063,
2020-11-23 23:59:59,-1259.0712735731713,c
2020-11-24 00:00:00,-1233.1515943976478,
2020-11-24 10:00:00,-1251.1203008996104,
2020-11-24 10:30:00,-1266.4524259497057,
2020-11-24 12:00:00,-1297.8214427278235,
2020-11-24 13:30:00,-1293.6001009860024,
2020-11-24 15:00:00,-1339.8729173287147,
2020-11-24 15:30:30,-1339.8729173287147,
2020-11-24 23:59:59,-1351.0067686112297,c
2020-11-25 00:00:00,-1358.5363333749988,
2020-11-25 10:00:00,-1319.6132256328683,
2020-11-25 10:30:00,-1361.1295571702303,
2020-11-25 12:00:00,-1388.7684696792985,
2020-11-25 13:30:00,-1384.0673411371595,
2020-11-25 15:00:00,-1359.5873178854004,
2020-11-25 15:30:30,-1359.5873178854004,
2020-11-25 23:59:59,-1360.4501673261448,c
2020-11-26 00:00:00,-1360.4501673261448,
