date,SCHWAB_2020_Q4,meta
2020-10-30 00:00:00,-627.3237362210539,
2020-10-30 10:00:00,-649.2738105486987,
2020-10-30 10:30:00,-674.6462076318771,
2020-10-30 12:00:00,-726.0876168048912,
2020-10-30 13:30:00,-711.2200856358736,
2020-10-30 15:00:00,-699.7281317502207,
2020-10-30 15:30:30,-699.7281317502207,
2020-10-30 23:59:59,-698.6557792390581,w
2020-11-02 00:00:00,-674.2200408958365,
2020-11-02 10:00:00,-668.7912795233174,
2020-11-02 10:30:00,-686.8063675066737,
2020-11-02 12:00:00,-709.409882811934,
2020-11-02 13:30:00,-709.8871964416239,
2020-11-02 15:00:00,-710.7480377580482,
2020-11-02 15:30:30,-710.7480377580482,
2020-11-02 23:59:59,-711.6270347767622,c
2020-11-03 00:00:00,-702.6926263270743,
2020-11-03 10:00:00,-678.5699958553178,
2020-11-03 10:30:00,-670.0609642778618,
2020-11-03 12:00:00,-673.2809329876004,
2020-11-03 13:30:00,-657.5203838492812,
2020-11-03 15:00:00,-660.6615934929127,
2020-11-03 15:30:30,-660.6615934929127,
2020-11-03 23:59:59,-653.5072402122833,c
2020-11-04 00:00:00,-611.0240226864248,
2020-11-04 10:00:00,-620.4498718632822,
2020-11-04 10:30:00,-590.5642013018205,
2020-11-04 12:00:00,-565.7095426033993,
2020-11-04 13:30:00,-592.9917155945445,
2020-11-04 15:00:00,-576.4193184084875,
2020-11-04 15:30:30,-576.4193184084875,
2020-11-04 23:59:59,-560.2762344224843,c
2020-11-05 00:00:00,-490.10305794282294,
2020-11-05 10:00:00,-490.06693304627197,
2020-11-05 10:30:00,-482.0342886631747,
2020-11-05 12:00:00,-470.6746810296404,
2020-11-05 13:30:00,-464.90585003340084,
2020-11-05 15:00:00,-441.49019515975397,
2020-11-05 15:30:30,-441.49019515975397,
2020-11-05 23:59:59,-430.30573979922065,c
2020-11-06 00:00:00,-445.4438275187408,
2020-11-06 10:00:00,-409.9219536245623,
2020-11-06 10:30:00,-306.87975743851075,
2020-11-06 12:00:00,-315.0730072994952,
2020-11-06 13:30:00,-324.50673185929554,
2020-11-06 15:00:00,-338.6599106022536,
2020-11-06 15:30:30,-338.6599106022536,
2020-11-06 23:59:59,-346.06326952823065,w
2020-11-09 00:00:00,-395.17045863101384,
2020-11-09 10:00:00,-507.6459685605482,
2020-11-09 10:30:00,-446.49306371038756,
2020-11-09 12:00:00,-431.3393626779216,
2020-11-09 13:30:00,-431.86546950381717,
2020-11-09 15:00:00,-482.51561373379764,
2020-11-09 15:30:30,-482.51561373379764,f
2020-11-09 23:59:59,-494.3176222034672,c
2020-11-10 00:00:00,-507.9965950123783,
2020-11-10 10:00:00,-623.4326223192261,
2020-11-10 10:30:00,-698.1799870679338,
2020-11-10 12:00:00,-642.9749374723892,
2020-11-10 13:30:00,-665.0746174311316,
2020-11-10 15:00:00,-661.3930815498334,
2020-11-10 15:30:30,-661.3930815498334,
2020-11-10 23:59:59,-657.4080497991363,c
2020-11-11 00:00:00,-596.2949027762634,
2020-11-11 10:00:00,-554.8119100682397,
2020-11-11 10:30:00,-549.2058198266736,
2020-11-11 12:00:00,-547.2839967021955,
2020-11-11 13:30:00,-541.7978996830734,
2020-11-11 15:00:00,-608.7899189465775,
2020-11-11 15:30:30,-608.7899189465775,
2020-11-11 23:59:59,-578.4178391695955,c
2020-11-12 00:00:00,-556.9223052670986,
2020-11-12 10:00:00,-554.7051905583749,
2020-11-12 10:30:00,-562.0009292800391,
2020-11-12 12:00:00,-565.2647076112216,
2020-11-12 13:30:00,-594.7053028977543,
2020-11-12 15:00:00,-577.2545362907499,
2020-11-12 15:30:30,-577.2545362907499,
2020-11-12 23:59:59,-576.6052112564312,c
2020-11-13 00:00:00,-553.432448454264,
2020-11-13 10:00:00,-546.9627399861201,
2020-11-13 10:30:00,-542.2041287298453,
2020-11-13 12:00:00,-558.4810443076144,
2020-11-13 13:30:00,-556.1150180920063,
2020-11-13 15:00:00,-586.2039612952681,
2020-11-13 15:30:30,-586.2039612952681,s
2020-11-13 23:59:59,-580.6701519762264,w
2020-11-16 00:00:00,-577.6100805160777,
2020-11-16 10:00:00,-563.1767718769884,
2020-11-16 10:30:00,-576.8782639578349,
2020-11-16 12:00:00,-576.7879095477915,
2020-11-16 13:30:00,-577.3399576046363,
2020-11-16 15:00:00,-554.81657031022,
2020-11-16 15:30:30,-554.81657031022,
2020-11-16 23:59:59,-541.0209675080187,c
2020-11-17 00:00:00,-517.3839455657685,
2020-11-17 10:00:00,-510.012747745076,
2020-11-17 10:30:00,-487.9298835877639,
2020-11-17 12:00:00,-472.98850580812905,
2020-11-17 13:30:00,-433.0179260031832,
2020-11-17 15:00:00,-432.6768802709298,
2020-11-17 15:30:30,-432.6768802709298,
2020-11-17 23:59:59,-441.7881771510365,c
2020-11-18 00:00:00,-408.0071963968662,
2020-11-18 10:00:00,-405.5172639982975,
2020-11-18 10:30:00,-386.70294062703397,
2020-11-18 12:00:00,-372.5004517484049,
2020-11-18 13:30:00,-358.65387172607007,
2020-11-18 15:00:00,-368.72938885374697,
2020-11-18 15:30:30,-368.72938885374697,
2020-11-18 23:59:59,-386.9867342583693,c
2020-11-19 00:00:00,-356.8449355434477,
2020-11-19 10:00:00,-310.37470122836885,
2020-11-19 10:30:00,-292.37610909696923,
2020-11-19 12:00:00,-277.50448120193505,
2020-11-19 13:30:00,-283.33925736789797,
2020-11-19 15:00:00,-287.81193440153083,
2020-11-19 15:30:30,-287.81193440153083,
2020-11-19 23:59:59,-302.22669995855176,c
2020-11-20 00:00:00,-284.954253821792,
2020-11-20 10:00:00,-265.7385684359069,
2020-11-20 10:30:00,-231.95020059230364,
2020-11-20 12:00:00,-216.11488754965285,
2020-11-20 13:30:00,-215.37266392446236,
2020-11-20 15:00:00,-230.24827420364,
2020-11-20 15:30:30,-230.24827420364,
2020-11-20 23:59:59,-220.0985434734598,w
2020-11-23 00:00:00,-178.86185362668266,
2020-11-23 10:00:00,-186.02514783038168,
2020-11-23 10:30:00,-217.58437972320462,
2020-11-23 12:00:00,-171.13722312810887,
2020-11-23 13:30:00,-161.16254626801947,
2020-11-23 15:00:00,-143.98082454249743,
2020-11-23 15:30:30,-143.98082454249743,
2020-11-23 23:59:59,-125.94064108961629,c
2020-11-24 00:00:00,-75.24744712919482,
2020-11-24 10:00:00,-111.68907016260391,
2020-11-24 10:30:00,-121.36545713542,
2020-11-24 12:00:00,-89.83605192790674,
2020-11-24 13:30:00,-143.0062172445655,
2020-11-24 15:00:00,-161.74847373918828,
2020-11-24 15:30:30,-161.74847373918828,
2020-11-24 23:59:59,-140.21027520979396,c
2020-11-25 00:00:00,-140.03383625117885,
2020-11-25 10:00:00,-59.289158203278475,
2020-11-25 10:30:00,-38.108785267960684,
2020-11-25 12:00:00,36.83199055660225,
2020-11-25 13:30:00,63.02877617706099,
2020-11-25 15:00:00,65.28966238871999,
2020-11-25 15:30:30,65.28966238871999,
2020-11-25 23:59:59,97.57058297955064,c
2020-11-26 00:00:00,97.57058297955064,
2020-11-26 10:00:00,97.57058297955064,
2020-11-26 10:30:00,97.57058297955064,
2020-11-26 12:00:00,97.57058297955064,
2020-11-26 13:30:00,97.57058297955064,
2020-11-26 15:00:00,97.57058297955064,
2020-11-26 15:30:30,97.57058297955064,
2020-11-26 23:59:59,97.57058297955064,c
2020-11-27 00:00:00,165.14835270339472,
2020-11-27 10:00:00,221.31135632348196,
2020-11-27 10:30:00,220.7073574636729,
2020-11-27 12:00:00,171.44193362724218,
2020-11-27 13:30:00,171.44193362724218,
2020-11-27 15:00:00,171.44193362724218,
2020-11-27 15:30:30,171.44193362724218,
2020-11-27 23:59:59,192.90014519443548,w
2020-11-30 00:00:00,255.8452317707297,
2020-11-30 10:00:00,150.8683272633134,
2020-11-30 10:30:00,67.88658278862431,
2020-11-30 12:00:00,128.83970107980076,
2020-11-30 13:30:00,141.18568757898174,
2020-11-30 15:00:00,146.51037585662698,
2020-11-30 15:30:30,146.51037585662698,m
2020-11-30 23:59:59,160.97565341282916,c
2020-12-01 00:00:00,136.9045039842622,
2020-12-01 10:00:00,45.550179737305825,
2020-12-01 10:30:00,-0.3138623833242491,
2020-12-01 12:00:00,12.75443470645041,
2020-12-01 13:30:00,15.162312530456802,
2020-12-01 15:00:00,-30.95274808137674,
2020-12-01 15:30:30,-30.95274808137674,
2020-12-01 23:59:59,-43.7920207487864,c
2020-12-02 00:00:00,-171.2722687953028,
2020-12-02 10:00:00,-185.74346165699853,
2020-12-02 10:30:00,-146.0337758826854,
2020-12-02 12:00:00,-137.68281367718737,
2020-12-02 13:30:00,-162.95144870598642,
2020-12-02 15:00:00,-175.8033940418004,
2020-12-02 15:30:30,-175.8033940418004,
2020-12-02 23:59:59,-159.6360084135631,c
2020-12-03 00:00:00,-95.41434782382112,
2020-12-03 10:00:00,-35.31713461968775,
2020-12-03 10:30:00,-41.940933543697156,
2020-12-03 12:00:00,-16.29568742087531,
2020-12-03 13:30:00,-25.104784660055884,
2020-12-03 15:00:00,-42.03278228638146,
2020-12-03 15:30:30,-42.03278228638146,
2020-12-03 23:59:59,-62.58083195493464,c
2020-12-04 00:00:00,-24.3678492285203,
2020-12-04 10:00:00,-23.762590620630817,
2020-12-04 10:30:00,-41.84471717778342,
2020-12-04 12:00:00,-6.146747085720563,
2020-12-04 13:30:00,3.245983826884185,
2020-12-04 15:00:00,4.2680706633705086,
2020-12-04 15:30:30,4.2680706633705086,
2020-12-04 23:59:59,0.0,a
2020-12-07 00:00:00,53.93840036246047,
2020-12-07 10:00:00,85.62364562185985,
2020-12-07 10:30:00,113.6691146226126,
2020-12-07 12:00:00,111.8487490976645,
2020-12-07 13:30:00,113.59930663021214,
2020-12-07 15:00:00,127.2002132680118,
2020-12-07 15:30:30,127.2002132680118,
2020-12-07 23:59:59,131.28818055192505,c
2020-12-08 00:00:00,185.12620729519813,
2020-12-08 10:00:00,192.11479788586576,
2020-12-08 10:30:00,160.98881421937267,
2020-12-08 12:00:00,204.98025569634956,
2020-12-08 13:30:00,216.70714959114594,
2020-12-08 15:00:00,205.70943768954976,
2020-12-08 15:30:30,205.70943768954976,
2020-12-08 23:59:59,195.46109334377797,c
2020-12-09 00:00:00,217.10373780796863,
2020-12-09 10:00:00,230.8079735625097,
2020-12-09 10:30:00,187.58397032843368,
2020-12-09 12:00:00,183.7016965563348,
2020-12-09 13:30:00,65.71778374667201,
2020-12-09 15:00:00,81.7818690176623,
2020-12-09 15:30:30,81.7818690176623,
2020-12-09 23:59:59,59.61100907952596,c
2020-12-10 00:00:00,4.3003486502584565,
2020-12-10 10:00:00,151.2075359132682,
2020-12-10 10:30:00,162.98241840047012,
2020-12-10 12:00:00,154.49012184936282,
2020-12-10 13:30:00,171.1752418883916,
2020-12-10 15:00:00,173.61045991780747,
2020-12-10 15:30:30,173.61045991780747,
2020-12-10 23:59:59,151.30255452111533,c
2020-12-11 00:00:00,169.1870470228523,
2020-12-11 10:00:00,174.1001825365097,
2020-12-11 10:30:00,203.01970876402675,
2020-12-11 12:00:00,137.52602740663406,
2020-12-11 13:30:00,132.32308088749323,
2020-12-11 15:00:00,144.71779373413665,
2020-12-11 15:30:30,144.71779373413665,A
2020-12-11 23:59:59,140.00672794916,w
2020-12-14 00:00:00,201.69601072955174,
2020-12-14 10:00:00,204.66735542291644,
2020-12-14 10:30:00,207.0070838112133,
2020-12-14 12:00:00,214.93739801546326,
2020-12-14 13:30:00,185.242895967815,
2020-12-14 15:00:00,209.6771468768693,
2020-12-14 15:30:30,209.6771468768693,
2020-12-14 23:59:59,184.27983461230315,c
2020-12-15 00:00:00,187.3211783610086,
2020-12-15 10:00:00,137.4763512304521,
2020-12-15 10:30:00,168.11294503436557,
2020-12-15 12:00:00,128.05272309936208,
2020-12-15 13:30:00,100.1242749155058,
2020-12-15 15:00:00,97.26943490655503,
2020-12-15 15:30:30,97.26943490655503,
2020-12-15 23:59:59,130.1293616309763,c
2020-12-16 00:00:00,142.22451230733168,
2020-12-16 10:00:00,187.99452239325865,
2020-12-16 10:30:00,174.84159876688454,
2020-12-16 12:00:00,229.99093126183152,
2020-12-16 13:30:00,251.28160822100517,
2020-12-16 15:00:00,263.9834611694014,
2020-12-16 15:30:30,263.9834611694014,
2020-12-16 23:59:59,252.00459862934804,c
2020-12-17 00:00:00,305.3019517432663,
2020-12-17 10:00:00,355.5700336473683,
2020-12-17 10:30:00,348.76992628871403,
2020-12-17 12:00:00,390.15329571017264,
2020-12-17 13:30:00,425.5805318191278,
2020-12-17 15:00:00,464.60024649217667,
2020-12-17 15:30:30,464.60024649217667,
2020-12-17 23:59:59,450.39385268086926,c
2020-12-18 00:00:00,475.58828513738763,
2020-12-18 10:00:00,531.584594732521,
2020-12-18 10:30:00,545.7759699427602,
2020-12-18 12:00:00,525.8762366351239,
2020-12-18 13:30:00,576.2041803252432,
2020-12-18 15:00:00,589.4453077555654,
2020-12-18 15:30:30,589.4453077555654,
2020-12-18 23:59:59,528.825986191066,e
2020-12-21 00:00:00,499.6552155109084,
2020-12-21 10:00:00,493.88462927257433,
2020-12-21 10:30:00,484.97070713276116,
2020-12-21 12:00:00,557.8844238030492,
2020-12-21 13:30:00,623.8832173457904,
2020-12-21 15:00:00,649.0220768855829,
2020-12-21 15:30:30,649.0220768855829,
2020-12-21 23:59:59,688.6705172635225,c
2020-12-22 00:00:00,787.9154662544447,
2020-12-22 10:00:00,843.5910379363754,
2020-12-22 10:30:00,860.3112934898477,
2020-12-22 12:00:00,813.4861722808669,
2020-12-22 13:30:00,835.1871402126912,
2020-12-22 15:00:00,868.2713882002186,
2020-12-22 15:30:30,868.2713882002186,
2020-12-22 23:59:59,909.969540417695,c
2020-12-23 00:00:00,927.3451565211922,
2020-12-23 10:00:00,840.5801240011647,
2020-12-23 10:30:00,861.8380767117028,
2020-12-23 12:00:00,892.5998689875737,
2020-12-23 13:30:00,902.4381095625236,
2020-12-23 15:00:00,909.0299301293976,
2020-12-23 15:30:30,909.0299301293976,
2020-12-23 23:59:59,875.2923866103997,c
2020-12-24 00:00:00,883.6199625589356,
2020-12-24 10:00:00,875.3871604748188,
2020-12-24 10:30:00,834.6714897236338,
2020-12-24 12:00:00,788.1225091726196,
2020-12-24 13:30:00,788.1225091726196,
2020-12-24 15:00:00,788.1225091726196,
2020-12-24 15:30:30,788.1225091726196,
2020-12-24 23:59:59,753.9502640801752,c
2020-12-25 00:00:00,753.9502640801752,
2020-12-25 10:00:00,753.9502640801752,
2020-12-25 10:30:00,753.9502640801752,
2020-12-25 12:00:00,753.9502640801752,
2020-12-25 13:30:00,753.9502640801752,
2020-12-25 15:00:00,753.9502640801752,
2020-12-25 15:30:30,753.9502640801752,
2020-12-25 23:59:59,753.9502640801752,w
2020-12-28 00:00:00,800.1219754202734,
2020-12-28 10:00:00,697.6208873656242,
2020-12-28 10:30:00,577.5293826386323,
2020-12-28 12:00:00,575.7891311569847,
2020-12-28 13:30:00,565.5057218329739,
2020-12-28 15:00:00,530.9909674260011,
2020-12-28 15:30:30,530.9909674260011,
2020-12-28 23:59:59,505.4242371723517,c
2020-12-29 00:00:00,512.2842740860438,
2020-12-29 10:00:00,404.2232223886499,
2020-12-29 10:30:00,395.33591930125385,
2020-12-29 12:00:00,397.3143418223399,
2020-12-29 13:30:00,371.2539084406603,
2020-12-29 15:00:00,386.0082646002925,
2020-12-29 15:30:30,386.0082646002925,
2020-12-29 23:59:59,403.16950362027364,c
2020-12-30 00:00:00,433.109638219667,
2020-12-30 10:00:00,444.5867209187204,
2020-12-30 10:30:00,470.77661501365264,
2020-12-30 12:00:00,445.3195857477094,
2020-12-30 13:30:00,437.1863621393013,
2020-12-30 15:00:00,442.0439777386782,
2020-12-30 15:30:30,442.0439777386782,
2020-12-30 23:59:59,451.614888279998,c
2020-12-31 00:00:00,431.5015771561757,
2020-12-31 10:00:00,339.35419409896303,
