date,AS_ICLN_2023_Q1,meta
2022-12-16 00:00:00,-303.4500403791194,
2022-12-16 01:00:00,-297.78727678666564,
2022-12-16 02:30:00,-294.72716801760225,
2022-12-16 03:00:00,-324.5454044233561,
2022-12-16 18:30:00,-324.5454044233561,
2022-12-16 20:00:00,-324.5454044233561,
2022-12-16 23:00:00,-324.5454044233561,
2022-12-16 23:59:59,-332.6455063803601,w
2022-12-19 00:00:00,-264.6425092091531,
2022-12-19 01:00:00,-251.55240644078867,
2022-12-19 02:30:00,-230.06957037214897,
2022-12-19 03:00:00,-245.8860539288471,
2022-12-19 18:30:00,-252.6529891424043,
2022-12-19 20:00:00,-243.62249219751266,
2022-12-19 23:00:00,-261.77295612815124,
2022-12-19 23:59:59,-278.02705337354973,c
2022-12-20 00:00:00,-220.3145463568735,
2022-12-20 01:00:00,-197.3022816125631,
2022-12-20 02:30:00,-196.40059855957907,
2022-12-20 03:00:00,-204.18410547933854,
2022-12-20 18:30:00,-205.6729664939021,
2022-12-20 20:00:00,-228.12389775444763,
2022-12-20 23:00:00,-298.16500803937834,
2022-12-20 23:59:59,-266.8158632090526,c
2022-12-21 00:00:00,-220.5027319570354,
2022-12-21 01:00:00,-218.37632297587015,
2022-12-21 02:30:00,-221.35969820655646,
2022-12-21 03:00:00,-233.8828855894085,
2022-12-21 18:30:00,-240.76896486947317,
2022-12-21 20:00:00,-258.0599325826456,
2022-12-21 23:00:00,-367.0167778811133,
2022-12-21 23:59:59,-382.0200114483114,c
2022-12-22 00:00:00,-339.14448397836713,
2022-12-22 01:00:00,-356.63500632070964,
2022-12-22 02:30:00,-368.5895356899741,
2022-12-22 03:00:00,-365.35389247370586,
2022-12-22 18:30:00,-368.35317248265983,
2022-12-22 20:00:00,-398.0437698273381,
2022-12-22 23:00:00,-436.22815582266,
2022-12-22 23:59:59,-428.63615540282717,c
2022-12-23 00:00:00,-406.3366882469909,
2022-12-23 01:00:00,-393.39212570446443,
2022-12-23 02:30:00,-389.6507966716649,
2022-12-23 03:00:00,-409.41139222312904,
2022-12-23 18:30:00,-409.41139222312904,
2022-12-23 20:00:00,-409.41139222312904,
2022-12-23 23:00:00,-409.41139222312904,
2022-12-23 23:59:59,-430.9371755843522,w
2022-12-26 00:00:00,-407.3130970460393,
2022-12-26 01:00:00,-408.0775917371461,
2022-12-26 02:30:00,-408.0775917371461,
2022-12-26 03:00:00,-414.90468961331953,
2022-12-26 18:30:00,-414.90468961331953,
2022-12-26 20:00:00,-423.458145274672,
2022-12-26 23:00:00,-425.96749442557166,
2022-12-26 23:59:59,-429.05067357590997,c
2022-12-27 00:00:00,-427.6639461050554,
2022-12-27 01:00:00,-420.381638200477,
2022-12-27 02:30:00,-420.381638200477,
2022-12-27 03:00:00,-417.2426188226491,
2022-12-27 18:30:00,-415.8065870589471,
2022-12-27 20:00:00,-406.8265569947298,
2022-12-27 23:00:00,-350.14541885012477,
2022-12-27 23:59:59,-356.19807605366714,c
2022-12-28 00:00:00,-376.70002528404575,
2022-12-28 01:00:00,-352.0824240839838,
2022-12-28 02:30:00,-388.5154898048927,
2022-12-28 03:00:00,-384.86224153428884,
2022-12-28 18:30:00,-391.1961669687589,
2022-12-28 20:00:00,-416.33831082279175,
2022-12-28 23:00:00,-390.1439698850918,
2022-12-28 23:59:59,-391.643221566826,c
2022-12-29 00:00:00,-418.0240885253561,
2022-12-29 01:00:00,-414.3068130794859,
2022-12-29 02:30:00,-429.20907045275953,
2022-12-29 03:00:00,-439.4816181936271,
2022-12-29 18:30:00,-427.41019307360193,
2022-12-29 20:00:00,-421.2778387685885,
2022-12-29 23:00:00,-428.4681143918556,
2022-12-29 23:59:59,-424.9745723521187,c
2022-12-30 00:00:00,-459.5682332821211,
2022-12-30 01:00:00,-462.7077214369301,
2022-12-30 02:30:00,-496.4689912131553,
2022-12-30 03:00:00,-492.5942672561232,
2022-12-30 18:30:00,-492.5942672561232,
2022-12-30 20:00:00,-492.5942672561232,
2022-12-30 23:00:00,-492.5942672561232,
2022-12-30 23:59:59,-488.5893907892496,w
2023-01-02 00:00:00,-507.35918205122925,
2023-01-02 01:00:00,-512.4063563629734,
2023-01-02 02:30:00,-512.4063563629734,
2023-01-02 03:00:00,-512.4063563629734,
2023-01-02 18:30:00,-512.4063563629734,
2023-01-02 20:00:00,-539.5200201345274,
2023-01-02 23:00:00,-487.29117973100756,
2023-01-02 23:59:59,-483.81414214906044,c
2023-01-03 00:00:00,-510.5197967809354,
2023-01-03 01:00:00,-446.9107245277469,
2023-01-03 02:30:00,-476.89303606876683,
2023-01-03 03:00:00,-460.5693247981817,
2023-01-03 18:30:00,-446.15683248513506,
2023-01-03 20:00:00,-428.8010802484214,
2023-01-03 23:00:00,-426.8461559989455,
2023-01-03 23:59:59,-432.61947270901055,c
2023-01-04 00:00:00,-452.9053080191825,
2023-01-04 01:00:00,-439.7465757883456,
2023-01-04 02:30:00,-443.7775846965428,
2023-01-04 03:00:00,-429.89458377000756,
2023-01-04 18:30:00,-434.06398909312793,
2023-01-04 20:00:00,-484.4210991671803,
2023-01-04 23:00:00,-439.4493776585241,
2023-01-04 23:59:59,-427.7583234174017,c
2023-01-05 00:00:00,-465.24569909296997,
2023-01-05 01:00:00,-434.29042897250656,
