date,XSVM_2022_Q2,meta
2022-06-23 10:30:00,145.17069026763443,
2022-06-23 12:00:00,179.17612563439187,
2022-06-23 13:30:00,205.6691021634653,
2022-06-23 15:00:00,220.76932867864903,
2022-06-23 15:30:30,220.76932867864903,
2022-06-23 23:59:59,217.16005371072583,c
2022-06-24 00:00:00,210.97677138215315,
2022-06-24 10:00:00,218.92128905671808,
2022-06-24 10:30:00,198.53170371057197,
2022-06-24 12:00:00,179.78566620985592,
2022-06-24 13:30:00,207.42045224123947,
2022-06-24 15:00:00,190.58162323507904,
2022-06-24 15:30:30,190.58162323507904,
2022-06-24 23:59:59,204.24991932231933,w
2022-06-27 00:00:00,181.48393259783165,
2022-06-27 10:00:00,163.40332811135085,
2022-06-27 10:30:00,161.24684086695044,
2022-06-27 12:00:00,167.86667211839972,
2022-06-27 13:30:00,188.20821076833508,
2022-06-27 15:00:00,185.2021088447087,
2022-06-27 15:30:30,185.2021088447087,
2022-06-27 23:59:59,178.75722635559904,c
2022-06-28 00:00:00,162.85753331491645,
2022-06-28 10:00:00,158.18818008075888,
2022-06-28 10:30:00,157.8096878516525,
2022-06-28 12:00:00,187.01045282608342,
2022-06-28 13:30:00,182.228021610001,
2022-06-28 15:00:00,168.97820155492158,
2022-06-28 15:30:30,168.97820155492158,
2022-06-28 23:59:59,156.47941385727057,c
2022-06-29 00:00:00,149.53128214930987,
2022-06-29 10:00:00,151.9531411181828,
2022-06-29 10:30:00,150.02099338591248,
2022-06-29 12:00:00,173.9030420128034,
2022-06-29 13:30:00,183.5268322081279,
2022-06-29 15:00:00,186.80998398520097,
2022-06-29 15:30:30,186.80998398520097,
2022-06-29 23:59:59,188.4159885420258,c
2022-06-30 00:00:00,219.51323674036541,
2022-06-30 10:00:00,196.28774065187355,
2022-06-30 10:30:00,202.00335901888525,
2022-06-30 12:00:00,201.115887227751,
2022-06-30 13:30:00,198.84008698044843,
2022-06-30 15:00:00,196.72766769755964,
2022-06-30 15:30:30,196.72766769755964,
2022-06-30 23:59:59,197.12225414412333,c
2022-07-01 00:00:00,193.61565519665663,
2022-07-01 10:00:00,174.29851093628514,
2022-07-01 10:30:00,174.8958349895081,
2022-07-01 12:00:00,167.64942653639025,
2022-07-01 13:30:00,153.5822570920221,
2022-07-01 15:00:00,157.15119102354652,
2022-07-01 15:30:30,157.15119102354652,
2022-07-01 23:59:59,158.7963946232362,w
