date,MSCI_CAD_2023_Q1,meta
2023-01-26 12:00:00,-30.907377136201603,
2023-01-26 13:30:00,-25.898066090680686,
2023-01-26 15:00:00,-42.32123610250915,
2023-01-26 15:30:30,-42.32123610250915,
2023-01-26 23:59:59,-47.99745402325766,c
2023-01-27 00:00:00,-38.105341079684194,
2023-01-27 10:00:00,-57.911931151510316,
2023-01-27 10:30:00,-68.64998312571379,
2023-01-27 12:00:00,-42.65775833992666,
2023-01-27 13:30:00,-35.602947338175,
2023-01-27 15:00:00,-34.284370561943206,
2023-01-27 15:30:30,-34.284370561943206,
2023-01-27 23:59:59,-22.52503752908865,w
2023-01-30 00:00:00,4.9569966459487205,
2023-01-30 10:00:00,-10.940176797599406,
2023-01-30 10:30:00,-23.531485848535112,
2023-01-30 12:00:00,-14.854463787296481,
2023-01-30 13:30:00,-15.465044838004815,
2023-01-30 15:00:00,-9.456766238354476,
2023-01-30 15:30:30,-9.456766238354476,
2023-01-30 23:59:59,-4.53149298944254,c
2023-01-31 00:00:00,-15.099900299396495,
2023-01-31 10:00:00,-27.791361687418203,
2023-01-31 10:30:00,-47.03310198473582,
2023-01-31 12:00:00,-64.60634060644998,
2023-01-31 13:30:00,-55.273103519276674,
2023-01-31 15:00:00,-62.33907189474212,
2023-01-31 15:30:30,-62.33907189474212,
2023-01-31 23:59:59,-56.23101903970155,c
2023-02-01 00:00:00,-41.49372504763687,
2023-02-01 10:00:00,-67.83751729302844,
2023-02-01 10:30:00,-59.23450842799366,
2023-02-01 12:00:00,-48.447727665324464,
2023-02-01 13:30:00,-64.90198989025953,
2023-02-01 15:00:00,-83.94424815714319,
2023-02-01 15:30:30,-83.94424815714319,
2023-02-01 23:59:59,-76.59374697628232,c
2023-02-02 00:00:00,-84.34409176433633,
2023-02-02 10:00:00,-48.215739568318895,
2023-02-02 10:30:00,-57.39548246199297,
2023-02-02 12:00:00,-67.87070848864846,
2023-02-02 13:30:00,-85.75821558883285,
2023-02-02 15:00:00,-73.64974105213673,
2023-02-02 15:30:30,-73.64974105213673,
2023-02-02 23:59:59,-79.30201651191987,c
2023-02-03 00:00:00,-64.47213810617563,
2023-02-03 10:00:00,-69.39245378468172,
2023-02-03 10:30:00,-66.5321677622942,
2023-02-03 12:00:00,-64.99668391149066,
2023-02-03 13:30:00,-64.06667474604524,
2023-02-03 15:00:00,-62.85100808898824,
2023-02-03 15:30:30,-62.85100808898824,
2023-02-03 23:59:59,-62.352372565255564,w
2023-02-06 00:00:00,-52.264006985288916,
2023-02-06 10:00:00,-54.38478704475369,
2023-02-06 10:30:00,-34.554040279855144,
2023-02-06 12:00:00,-53.161055012422594,
2023-02-06 13:30:00,-48.625194945957674,
2023-02-06 15:00:00,-52.616393219930615,
2023-02-06 15:30:30,-52.616393219930615,
2023-02-06 23:59:59,-45.02858201683239,c
2023-02-07 00:00:00,-37.23225547613697,
2023-02-07 10:00:00,-30.166205232507536,
2023-02-07 10:30:00,-24.042361669970433,
2023-02-07 12:00:00,-13.780020984872635,
2023-02-07 13:30:00,-17.96874562627181,
2023-02-07 15:00:00,-22.898114482971096,
2023-02-07 15:30:30,-22.898114482971096,
2023-02-07 23:59:59,-12.529076248218189,c
2023-02-08 00:00:00,-9.056528357119532,
2023-02-08 10:00:00,-10.444825029739832,
2023-02-08 10:30:00,-0.2737003489912695,
2023-02-08 12:00:00,7.707567980189879,
2023-02-08 13:30:00,-2.717270288191685,
2023-02-08 15:00:00,3.7623287020651333,
2023-02-08 15:30:30,3.7623287020651333,
2023-02-08 23:59:59,8.351247256530769,c
2023-02-09 00:00:00,1.0434048412957964,
2023-02-09 10:00:00,12.85526121459634,
2023-02-09 10:30:00,3.354614277679275,
2023-02-09 12:00:00,-3.71824252492911,
2023-02-09 13:30:00,13.442365937564318,
2023-02-09 15:00:00,13.274841080443366,
2023-02-09 15:30:30,13.274841080443366,
2023-02-09 23:59:59,0.0,a
2023-02-10 00:00:00,27.28520657727404,
2023-02-10 10:00:00,23.173382201450067,
2023-02-10 10:30:00,-0.08202546927054755,
2023-02-10 12:00:00,-0.14526795980941642,
2023-02-10 13:30:00,3.2485406799341945,
2023-02-10 15:00:00,3.0058056685104475,
2023-02-10 15:30:30,3.0058056685104475,
2023-02-10 23:59:59,0.20709395162430155,w
2023-02-13 00:00:00,-0.7111239347468654,
2023-02-13 10:00:00,7.235838812228849,
2023-02-13 10:30:00,-3.197951146786181,
2023-02-13 12:00:00,0.13673486583888916,
2023-02-13 13:30:00,-5.290346498587951,
2023-02-13 15:00:00,-9.068758759691946,
2023-02-13 15:30:30,-9.068758759691946,
2023-02-13 23:59:59,-3.6517393817259745,c
2023-02-14 00:00:00,2.1147767299971747,
2023-02-14 10:00:00,14.633911672851355,
2023-02-14 10:30:00,15.46384137181235,
2023-02-14 12:00:00,44.899718935565716,
2023-02-14 13:30:00,26.363696500723563,
2023-02-14 15:00:00,25.675559159818704,
2023-02-14 15:30:30,25.675559159818704,
2023-02-14 23:59:59,42.523215273218284,c
0,42.523215273218284,
0,42.523215273218284,
0,42.523215273218284,
0,42.523215273218284,
0,42.523215273218284,
0,42.523215273218284,
0,42.523215273218284,
0,42.523215273218284,
0,42.523215273218284,
0,42.523215273218284,
0,42.523215273218284,
0,42.523215273218284,
0,42.523215273218284,
0,42.523215273218284,
0,42.523215273218284,
0,42.523215273218284,
0,42.523215273218284,
0,42.523215273218284,
0,42.523215273218284,
0,42.523215273218284,
0,42.523215273218284,
0,42.523215273218284,
0,42.523215273218284,
0,42.523215273218284,
2023-02-15 00:00:00,58.05886297995244,
2023-02-15 10:00:00,72.02977952412198,
2023-02-15 10:30:00,58.614891287418914,
2023-02-15 12:00:00,53.273483931353894,
2023-02-15 13:30:00,46.088078715969004,
2023-02-15 15:00:00,45.896641859571446,
2023-02-15 15:30:30,45.896641859571446,
2023-02-15 23:59:59,40.06535514665916,c
2023-02-16 00:00:00,36.669609036331394,
2023-02-16 10:00:00,-67.47896668917042,
2023-02-16 10:30:00,-51.82491837252155,
2023-02-16 12:00:00,-42.64939993157327,
2023-02-16 13:30:00,-26.273335854845755,
2023-02-16 15:00:00,-30.453294958005927,
2023-02-16 15:30:30,-30.453294958005927,
2023-02-16 23:59:59,-20.611866325786195,c
2023-02-17 00:00:00,0.41270647047508646,
2023-02-17 10:00:00,24.504964729720314,
2023-02-17 10:30:00,24.52458306193921,
2023-02-17 12:00:00,22.669200015009437,
2023-02-17 13:30:00,35.764952109924025,
2023-02-17 15:00:00,50.0567858135953,
2023-02-17 15:30:30,50.0567858135953,
2023-02-17 23:59:59,58.4272919663822,w
2023-02-20 00:00:00,58.4272919663822,
2023-02-20 10:00:00,58.4272919663822,
2023-02-20 10:30:00,58.4272919663822,
2023-02-20 12:00:00,58.4272919663822,
2023-02-20 13:30:00,58.4272919663822,
2023-02-20 15:00:00,58.4272919663822,
2023-02-20 15:30:30,58.4272919663822,
2023-02-20 23:59:59,58.4272919663822,c
2023-02-21 00:00:00,71.15661310471637,
2023-02-21 10:00:00,72.41763876018535,
2023-02-21 10:30:00,69.76416415096537,
2023-02-21 12:00:00,69.46324531730079,
2023-02-21 13:30:00,70.0646107913833,
2023-02-21 15:00:00,71.19044892928878,
2023-02-21 15:30:30,71.19044892928878,
2023-02-21 23:59:59,67.09498465357115,c
2023-02-22 00:00:00,64.64928668905736,
2023-02-22 10:00:00,41.627506757201445,
2023-02-22 10:30:00,37.855113640969876,
2023-02-22 12:00:00,16.41182343060177,
2023-02-22 13:30:00,9.789632831113977,
2023-02-22 15:00:00,12.277656901355158,
2023-02-22 15:30:30,12.277656901355158,
2023-02-22 23:59:59,5.916025689686876,c
2023-02-23 00:00:00,6.770350217555006,
2023-02-23 10:00:00,-11.625211439741179,
2023-02-23 10:30:00,-7.521596361169259,
2023-02-23 12:00:00,20.430803233909273,
2023-02-23 13:30:00,9.761895198584398,
2023-02-23 15:00:00,2.5145270572133995,
2023-02-23 15:30:30,2.5145270572133995,
2023-02-23 23:59:59,-12.800802274401349,c
2023-02-24 00:00:00,4.066965919847007,
2023-02-24 10:00:00,25.074830240991105,
2023-02-24 10:30:00,21.745879012730484,
2023-02-24 12:00:00,-2.8500884306060925,
2023-02-24 13:30:00,6.9824584147393125,
2023-02-24 15:00:00,-12.506448586689658,
2023-02-24 15:30:30,-12.506448586689658,
2023-02-24 23:59:59,-11.4991207006085,w
2023-02-27 00:00:00,-31.593327647919068,
2023-02-27 10:00:00,-30.036859578076246,
2023-02-27 10:30:00,-29.367544077891353,
2023-02-27 12:00:00,-15.724186783789264,
2023-02-27 13:30:00,-18.674237358555274,
2023-02-27 15:00:00,-16.023062315541893,
2023-02-27 15:30:30,-16.023062315541893,
2023-02-27 23:59:59,-16.702261998203312,c
2023-02-28 00:00:00,-10.96429957086707,
2023-02-28 10:00:00,-5.975029587300469,
2023-02-28 10:30:00,-11.102043581607404,
2023-02-28 12:00:00,15.86229667248017,
2023-02-28 13:30:00,9.327757619594422,
2023-02-28 15:00:00,7.166181637298678,
2023-02-28 15:30:30,7.166181637298678,
2023-02-28 23:59:59,-2.9598297210461624,e
2023-03-01 00:00:00,-10.72990901457456,
2023-03-01 10:00:00,-40.456209919220555,
2023-03-01 10:30:00,-40.6039002317375,
2023-03-01 12:00:00,-53.042724436571916,
2023-03-01 13:30:00,-53.38446759710814,
2023-03-01 15:00:00,-49.235922024942056,
2023-03-01 15:30:30,-49.235922024942056,
2023-03-01 23:59:59,-40.88448894699309,c
2023-03-02 00:00:00,-50.45424868251507,
2023-03-02 10:00:00,-54.55755169047916,
2023-03-02 10:30:00,-66.02756891588501,
2023-03-02 12:00:00,-86.64260882869962,
2023-03-02 13:30:00,-96.86791626400577,
2023-03-02 15:00:00,-105.26387490195316,
2023-03-02 15:30:30,-105.26387490195316,
2023-03-02 23:59:59,-103.46069536308369,c
2023-03-03 00:00:00,-96.37608379661015,
2023-03-03 10:00:00,-113.40498708861173,
2023-03-03 10:30:00,-117.58512823477713,
2023-03-03 12:00:00,-129.92602708529807,
2023-03-03 13:30:00,-135.75973039581663,
2023-03-03 15:00:00,-125.74745477276088,
2023-03-03 15:30:30,-125.74745477276088,
2023-03-03 23:59:59,-120.05117292587329,w
2023-03-06 00:00:00,-121.35974474022873,
2023-03-06 10:00:00,-95.52844342879621,
2023-03-06 10:30:00,-93.73352321783295,
2023-03-06 12:00:00,-97.57183527988104,
2023-03-06 13:30:00,-109.19048263175318,
2023-03-06 15:00:00,-101.8295549474567,
2023-03-06 15:30:30,-101.8295549474567,
2023-03-06 23:59:59,-101.79134479601589,c
2023-03-07 00:00:00,-98.14818096235831,
2023-03-07 10:00:00,-96.75565783633806,
2023-03-07 10:30:00,-91.24749592535636,
2023-03-07 12:00:00,-96.23895326745014,
2023-03-07 13:30:00,-89.82638631153486,
2023-03-07 15:00:00,-80.94465408302949,
2023-03-07 15:30:30,-80.94465408302949,
2023-03-07 23:59:59,-98.09040077233362,c
2023-03-08 00:00:00,-95.03867388449589,
2023-03-08 10:00:00,-124.92563777313194,
2023-03-08 10:30:00,-136.81510404951882,
2023-03-08 12:00:00,-137.5969365897722,
2023-03-08 13:30:00,-129.3577568256958,
2023-03-08 15:00:00,-132.94969011694388,
2023-03-08 15:30:30,-132.94969011694388,
2023-03-08 23:59:59,-142.65554186012673,c
2023-03-09 00:00:00,-150.39432694191873,
2023-03-09 10:00:00,-136.12763886042217,
2023-03-09 10:30:00,-121.32165014103884,
2023-03-09 12:00:00,-115.95046510159204,
2023-03-09 13:30:00,-109.08205075595106,
2023-03-09 15:00:00,-97.66804886374416,
2023-03-09 15:30:30,-97.66804886374416,
2023-03-09 23:59:59,-91.12591110798803,c
2023-03-10 00:00:00,-76.53420330777385,
2023-03-10 10:00:00,-74.52004450234949,
2023-03-10 10:30:00,-84.47861892553965,
2023-03-10 12:00:00,-78.55863694622826,
2023-03-10 13:30:00,-64.36114006379057,
2023-03-10 15:00:00,-47.79868720409672,
2023-03-10 15:30:30,-47.79868720409672,
2023-03-10 23:59:59,-33.96213289201182,w
2023-03-13 00:00:00,-33.96213289201182,
2023-03-13 10:00:00,-33.96213289201182,
2023-03-13 10:30:00,-33.96213289201182,
2023-03-13 12:00:00,-33.96213289201182,
2023-03-13 13:30:00,-33.96213289201182,
2023-03-13 15:00:00,-33.96213289201182,
2023-03-13 15:30:30,-33.96213289201182,
2023-03-13 23:59:59,-33.96213289201182,c
2023-03-14 00:00:00,-33.96213289201182,
2023-03-14 10:00:00,-33.96213289201182,
2023-03-14 10:30:00,-33.96213289201182,
2023-03-14 12:00:00,-33.96213289201182,
2023-03-14 13:30:00,-33.96213289201182,
2023-03-14 15:00:00,-33.96213289201182,
2023-03-14 15:30:30,-33.96213289201182,
2023-03-14 23:59:59,-33.96213289201182,c
2023-03-15 00:00:00,-33.96213289201182,
2023-03-15 10:00:00,-33.96213289201182,
2023-03-15 10:30:00,-33.96213289201182,
2023-03-15 12:00:00,-33.96213289201182,
2023-03-15 13:30:00,-33.96213289201182,
2023-03-15 15:00:00,-33.96213289201182,
2023-03-15 15:30:30,-33.96213289201182,
2023-03-15 23:59:59,-33.96213289201182,c
2023-03-16 00:00:00,-33.96213289201182,
2023-03-16 10:00:00,-33.96213289201182,
2023-03-16 10:30:00,-33.96213289201182,
2023-03-16 12:00:00,-33.96213289201182,
2023-03-16 13:30:00,-33.96213289201182,
2023-03-16 15:00:00,-33.96213289201182,
2023-03-16 15:30:30,-33.96213289201182,
2023-03-16 23:59:59,-33.96213289201182,c
2023-03-17 00:00:00,-33.96213289201182,
2023-03-17 10:00:00,-33.96213289201182,
2023-03-17 10:30:00,-33.96213289201182,
2023-03-17 12:00:00,-33.96213289201182,
2023-03-17 13:30:00,-33.96213289201182,
2023-03-17 15:00:00,-33.96213289201182,
2023-03-17 15:30:30,-33.96213289201182,
2023-03-17 23:59:59,-33.96213289201182,w
2023-03-20 00:00:00,-33.96213289201182,
2023-03-20 10:00:00,-33.96213289201182,
2023-03-20 10:30:00,-33.96213289201182,
2023-03-20 12:00:00,-33.96213289201182,
2023-03-20 13:30:00,-33.96213289201182,
2023-03-20 15:00:00,-33.96213289201182,
2023-03-20 15:30:30,-33.96213289201182,
2023-03-20 23:59:59,-33.96213289201182,c
2023-03-21 00:00:00,-33.96213289201182,
2023-03-21 10:00:00,-33.96213289201182,
2023-03-21 10:30:00,-33.96213289201182,
2023-03-21 12:00:00,-33.96213289201182,
2023-03-21 13:30:00,-33.96213289201182,
2023-03-21 15:00:00,-33.96213289201182,
2023-03-21 15:30:30,-33.96213289201182,
2023-03-21 23:59:59,-33.96213289201182,c
