date,MOAT_2021_Q3,meta
2021-09-03 10:00:00,-54.247945233802625,
2021-09-03 10:30:00,-49.72866802433782,
2021-09-03 12:00:00,-56.719757465672615,
2021-09-03 13:30:00,-54.89446502731846,
2021-09-03 15:00:00,-62.29496458374979,
2021-09-03 15:30:30,-62.29496458374979,
2021-09-03 23:59:59,-59.21245520471109,w
2021-09-06 00:00:00,-59.21245520471109,
2021-09-06 10:00:00,-59.21245520471109,
2021-09-06 10:30:00,-59.21245520471109,
2021-09-06 12:00:00,-59.21245520471109,
2021-09-06 13:30:00,-59.21245520471109,
2021-09-06 15:00:00,-59.21245520471109,
2021-09-06 15:30:30,-59.21245520471109,
2021-09-06 23:59:59,-59.21245520471109,c
2021-09-07 00:00:00,-71.9914853281465,
2021-09-07 10:00:00,-52.16247062811749,
2021-09-07 10:30:00,-49.311461253215384,
2021-09-07 12:00:00,-73.9469376232031,
2021-09-07 13:30:00,-60.432109116658125,
2021-09-07 15:00:00,-59.50177433689055,
2021-09-07 15:30:30,-59.50177433689055,s
2021-09-07 23:59:59,-72.33149078491454,c
2021-09-08 00:00:00,-62.956979207388144,
2021-09-08 10:00:00,-76.40011498488332,
2021-09-08 10:30:00,-72.30257643950551,
2021-09-08 12:00:00,-74.63261303782008,
2021-09-08 13:30:00,-80.77330315366271,
2021-09-08 15:00:00,-75.13007570099319,
2021-09-08 15:30:30,-75.13007570099319,
2021-09-08 23:59:59,-83.5847093168394,c
2021-09-09 00:00:00,-88.60377381288095,
2021-09-09 10:00:00,-108.3194493836636,
2021-09-09 10:30:00,-102.43320625521392,
2021-09-09 12:00:00,-70.4773035222031,
2021-09-09 13:30:00,-54.88573292945125,
2021-09-09 15:00:00,-43.54498378767357,
2021-09-09 15:30:30,-43.54498378767357,
2021-09-09 23:59:59,-43.272451663537026,c
2021-09-10 00:00:00,-41.120593579715774,
2021-09-10 10:00:00,-17.630091077199268,
2021-09-10 10:30:00,-15.98813636547402,
2021-09-10 12:00:00,-3.114157484183579,
2021-09-10 13:30:00,10.201561008224076,
