date,SPHD_2022_Q3,meta
2022-07-22 10:00:00,14.81004740373006,
2022-07-22 10:30:00,9.209513864363927,
2022-07-22 12:00:00,4.4762714414888976,
2022-07-22 13:30:00,-5.642750270178116,
2022-07-22 15:00:00,-1.0560134244744859,
2022-07-22 15:30:30,-1.0560134244744859,
2022-07-22 23:59:59,0.0,a
2022-07-25 00:00:00,14.26671998547301,
2022-07-25 10:00:00,2.247115463503512,
2022-07-25 10:30:00,-12.802121818438994,
2022-07-25 12:00:00,-23.692651441706676,
2022-07-25 13:30:00,-33.07742317385555,
2022-07-25 15:00:00,-42.16525347527301,
2022-07-25 15:30:30,-42.16525347527301,
2022-07-25 23:59:59,-43.419380533304405,c
2022-07-26 00:00:00,-63.62434591373497,
2022-07-26 10:00:00,-56.31819901599738,
2022-07-26 10:30:00,-54.44987142046713,
2022-07-26 12:00:00,-79.71231670511679,
2022-07-26 13:30:00,-85.02112447183892,
2022-07-26 15:00:00,-85.12612707332141,
2022-07-26 15:30:30,-85.12612707332141,
2022-07-26 23:59:59,-93.1020550271531,c
2022-07-27 00:00:00,-64.62802336715771,
2022-07-27 10:00:00,-38.23061367005667,
2022-07-27 10:30:00,-34.94048114575342,
2022-07-27 12:00:00,-51.355101724968236,
2022-07-27 13:30:00,-50.882049926624376,
2022-07-27 15:00:00,-44.73315615716836,
2022-07-27 15:30:30,-44.73315615716836,
2022-07-27 23:59:59,-39.106016786657875,c
2022-07-28 00:00:00,-36.74888087138429,
2022-07-28 10:00:00,-6.482413977502183,
2022-07-28 10:30:00,-44.90406899582107,
2022-07-28 12:00:00,-17.546919981598514,
2022-07-28 13:30:00,-34.24447916883352,
2022-07-28 15:00:00,-38.6842445563058,
2022-07-28 15:30:30,-38.6842445563058,
2022-07-28 23:59:59,-38.03710504726996,c
2022-07-29 00:00:00,-62.22220559206209,
2022-07-29 10:00:00,-43.188538937180525,
2022-07-29 10:30:00,-44.84559110068702,
2022-07-29 12:00:00,-63.61488186073731,
2022-07-29 13:30:00,-55.737930019636266,
2022-07-29 15:00:00,-39.46560027238819,
2022-07-29 15:30:30,-39.46560027238819,
2022-07-29 23:59:59,-52.07248894041119,e
2022-08-01 00:00:00,-70.09709946993144,
2022-08-01 10:00:00,-69.07492282737225,
2022-08-01 10:30:00,-63.1704832205618,
2022-08-01 12:00:00,-54.84295885062227,
2022-08-01 13:30:00,-65.44245162188716,
2022-08-01 15:00:00,-49.95528950721214,
2022-08-01 15:30:30,-49.95528950721214,
2022-08-01 23:59:59,-44.41302989285569,c
2022-08-02 00:00:00,-66.18069081139168,
2022-08-02 10:00:00,-71.19311114876739,
2022-08-02 10:30:00,-67.61849207926365,
2022-08-02 12:00:00,-53.41854534591319,
2022-08-02 13:30:00,-46.905684927840596,
2022-08-02 15:00:00,-55.5486493677181,
2022-08-02 15:30:30,-55.5486493677181,
2022-08-02 23:59:59,-63.44446843698356,c
2022-08-03 00:00:00,-41.38559502535619,
2022-08-03 10:00:00,-50.42095903414945,
2022-08-03 10:30:00,-37.217339277167106,
2022-08-03 12:00:00,-47.979263082443005,
2022-08-03 13:30:00,-49.28833599982252,
2022-08-03 15:00:00,-44.65931461514556,
2022-08-03 15:30:30,-44.65931461514556,
2022-08-03 23:59:59,-53.63953271391247,c
2022-08-04 00:00:00,-55.61601136805132,
2022-08-04 10:00:00,-45.52331564163465,
2022-08-04 10:30:00,-32.93381813936087,
2022-08-04 12:00:00,-46.39222934745658,
2022-08-04 13:30:00,-38.41226680208247,
2022-08-04 15:00:00,-43.36032403826303,
2022-08-04 15:30:30,-43.36032403826303,
2022-08-04 23:59:59,-38.05576105030168,c
2022-08-05 00:00:00,-35.099148059857015,
2022-08-05 10:00:00,-12.236258831356672,
2022-08-05 10:30:00,7.235162187689376,
2022-08-05 12:00:00,-16.814358036117167,
2022-08-05 13:30:00,-8.57075414401713,
2022-08-05 15:00:00,-12.874319814486292,
2022-08-05 15:30:30,-12.874319814486292,
2022-08-05 23:59:59,-7.9245297730585875,w
2022-08-08 00:00:00,15.989892402450408,
2022-08-08 10:00:00,33.64441807110859,
2022-08-08 10:30:00,39.40351494760493,
2022-08-08 12:00:00,24.65278191367058,
2022-08-08 13:30:00,23.199745259297366,
2022-08-08 15:00:00,13.988071122201148,
2022-08-08 15:30:30,13.988071122201148,
2022-08-08 23:59:59,11.401945651732866,c
2022-08-09 00:00:00,5.969794020136909,
2022-08-09 10:00:00,-29.006061497787186,
2022-08-09 10:30:00,-24.667178701609053,
2022-08-09 12:00:00,-49.91962469539449,
2022-08-09 13:30:00,-42.053467317224765,
2022-08-09 15:00:00,-37.29135517906169,
2022-08-09 15:30:30,-37.29135517906169,
2022-08-09 23:59:59,-35.56607587005178,c
2022-08-10 00:00:00,-11.635214371572495,
2022-08-10 10:00:00,21.270518639741027,
2022-08-10 10:30:00,16.57448559470003,
2022-08-10 12:00:00,30.394363864848216,
2022-08-10 13:30:00,27.55408992937693,
