date,EU_LOCK_2021_Q2,meta
2021-06-11 06:00:00,-256.1209456921363,
2021-06-11 08:00:00,-251.51103066213182,
2021-06-11 10:30:00,-240.16391816340092,
2021-06-11 11:00:00,-219.67191497184763,
2021-06-11 23:59:59,-205.79222874155676,w
2021-06-14 00:00:00,-227.06364540818163,
2021-06-14 03:30:00,-262.08439334236095,
2021-06-14 04:00:00,-250.9993205497458,
2021-06-14 06:00:00,-150.93440443411578,
2021-06-14 08:00:00,-102.1317175478116,
2021-06-14 10:30:00,-183.69964398967159,
2021-06-14 11:00:00,-171.2912613379615,
2021-06-14 23:59:59,-183.31763287485842,c
2021-06-15 00:00:00,-210.9971372016612,
2021-06-15 03:30:00,-243.96817593038122,
2021-06-15 04:00:00,-259.98519850938874,
2021-06-15 06:00:00,-306.82755520820956,
2021-06-15 08:00:00,-315.0374501024244,
2021-06-15 10:30:00,-314.0138855169225,
2021-06-15 11:00:00,-295.7109868331727,
2021-06-15 23:59:59,-309.09612802098354,c
2021-06-16 00:00:00,-324.2704008387657,
2021-06-16 03:30:00,-390.1947133221124,
2021-06-16 04:00:00,-366.4600720524613,
2021-06-16 06:00:00,-366.09184968624845,
2021-06-16 08:00:00,-370.52164416239907,
2021-06-16 10:30:00,-370.20204441485544,
2021-06-16 11:00:00,-366.92662627794425,
2021-06-16 23:59:59,-380.1538132670962,c
2021-06-17 00:00:00,-308.8855663940278,
2021-06-17 03:30:00,-163.1908020477456,
2021-06-17 04:00:00,-172.7768001386712,
2021-06-17 06:00:00,-123.34181348290804,
2021-06-17 08:00:00,-107.62893690923374,
2021-06-17 10:30:00,-116.75457533206918,
2021-06-17 11:00:00,-128.5930541524549,
2021-06-17 23:59:59,-126.67029002937466,c
2021-06-18 00:00:00,-105.96900071685104,
2021-06-18 03:30:00,-180.69174212094822,
2021-06-18 04:00:00,-149.05420270910508,
2021-06-18 06:00:00,-126.8454033522928,
2021-06-18 08:00:00,-106.67323472527733,
2021-06-18 10:30:00,-55.11949641860929,
2021-06-18 11:00:00,-34.485797776662594,
2021-06-18 23:59:59,-8.812335075637748,e
2021-06-21 00:00:00,-29.488468072624983,
2021-06-21 03:30:00,-19.348306839847055,
2021-06-21 04:00:00,-50.93553338073957,
2021-06-21 06:00:00,-74.46065073535829,
2021-06-21 08:00:00,-87.77671094212701,
2021-06-21 10:30:00,-137.39266432101113,
2021-06-21 11:00:00,-123.04245577551683,
2021-06-21 23:59:59,-116.53878598544543,c
2021-06-22 00:00:00,-130.9107975257093,
2021-06-22 03:30:00,-69.04739360251574,
2021-06-22 04:00:00,-50.79534961261584,
2021-06-22 06:00:00,-55.76421478547968,
2021-06-22 08:00:00,-85.30021664300239,
2021-06-22 10:30:00,-63.95727064084144,
2021-06-22 11:00:00,-72.29929352239856,
2021-06-22 23:59:59,-80.00775288147906,c
2021-06-23 00:00:00,-66.81098411017274,
2021-06-23 03:30:00,-18.232509371717924,
2021-06-23 04:00:00,-38.874477934859215,
2021-06-23 06:00:00,-49.93546198139984,
2021-06-23 08:00:00,-68.2002072647274,
2021-06-23 10:30:00,-75.9890993001004,
2021-06-23 11:00:00,-82.96862742946564,
2021-06-23 23:59:59,-77.48260641856905,c
2021-06-24 00:00:00,-81.47404350977672,
2021-06-24 03:30:00,-69.58041545430046,
2021-06-24 04:00:00,-95.11804683874402,
