date,PAR2_AD_20211230,meta
2021-12-10 00:00:00,2063.4497967045945,
2021-12-10 10:00:00,2104.485239592522,
2021-12-10 10:30:00,2122.764826277882,
2021-12-10 12:00:00,2085.497826750817,
2021-12-10 13:30:00,2076.133634067938,
2021-12-10 15:00:00,2070.9414322431203,
2021-12-10 15:30:30,2070.9414322431203,
2021-12-10 23:59:59,2042.5863944176679,w
2021-12-13 00:00:00,2053.8952379339034,
2021-12-13 10:00:00,2182.8188883212842,
2021-12-13 10:30:00,2074.663300401934,
2021-12-13 12:00:00,2018.417697228667,
2021-12-13 13:30:00,1982.7668377370212,
2021-12-13 15:00:00,1923.5013250253653,
2021-12-13 15:30:30,1923.5013250253653,
2021-12-13 23:59:59,1913.1994769375053,c
2021-12-14 00:00:00,1887.5075630498384,
2021-12-14 10:00:00,1910.87637867129,
2021-12-14 10:30:00,1894.523218467729,
2021-12-14 12:00:00,1820.7169773706903,
2021-12-14 13:30:00,1769.2270143424496,
2021-12-14 15:00:00,1733.1783591831183,
2021-12-14 15:30:30,1733.1783591831183,
2021-12-14 23:59:59,1745.870798563181,c
2021-12-15 00:00:00,1771.5211719570414,
2021-12-15 10:00:00,1739.7510166498794,
2021-12-15 10:30:00,1708.9255971662308,
2021-12-15 12:00:00,1708.8041307507835,
2021-12-15 13:30:00,1692.7803933077032,
2021-12-15 15:00:00,1789.6653328941354,
2021-12-15 15:30:30,1789.6653328941354,
2021-12-15 23:59:59,1766.1778822756362,c
2021-12-16 00:00:00,1806.714357652291,
2021-12-16 10:00:00,1861.053579081459,
2021-12-16 10:30:00,1881.3107206133366,
2021-12-16 12:00:00,1786.2026379614451,
2021-12-16 13:30:00,1777.2387250474765,
2021-12-16 15:00:00,1700.0792980053682,
2021-12-16 15:30:30,1700.0792980053682,
2021-12-16 23:59:59,1697.5444855474468,c
2021-12-17 00:00:00,1680.9859291469018,
2021-12-17 10:00:00,1564.6894099973522,
2021-12-17 10:30:00,1602.221024668583,
2021-12-17 12:00:00,1642.5534858282638,
2021-12-17 13:30:00,1710.2538742170389,
2021-12-17 15:00:00,1697.7449203482204,
2021-12-17 15:30:30,1697.7449203482204,q
2021-12-17 23:59:59,1648.2741625643741,w
2021-12-20 00:00:00,1635.611087987137,
2021-12-20 10:00:00,1615.2266500541716,
2021-12-20 10:30:00,1580.0589871240593,
2021-12-20 12:00:00,1555.7136702395885,
2021-12-20 13:30:00,1511.3254239157025,
2021-12-20 15:00:00,1491.6380524297108,
2021-12-20 15:30:30,1491.6380524297108,
2021-12-20 23:59:59,1482.4599754362205,c
2021-12-21 00:00:00,1554.2004606549037,
2021-12-21 10:00:00,1651.135470917627,
2021-12-21 10:30:00,1596.9044950638802,
2021-12-21 12:00:00,1628.1520320593838,
2021-12-21 13:30:00,1617.4228407719518,
2021-12-21 15:00:00,1508.2282944178241,
2021-12-21 15:30:30,1508.2282944178241,
2021-12-21 23:59:59,1470.488641855473,c
2021-12-22 00:00:00,1540.4529436955265,
2021-12-22 10:00:00,1566.742775706469,
2021-12-22 10:30:00,1607.1120859238415,
2021-12-22 12:00:00,1577.5270997133173,
2021-12-22 13:30:00,1554.765172459968,
2021-12-22 15:00:00,1583.0757462371128,
2021-12-22 15:30:30,1583.0757462371128,
2021-12-22 23:59:59,1529.1016020962288,c
2021-12-23 00:00:00,1601.067167915436,
2021-12-23 10:00:00,1570.7360822572243,
2021-12-23 10:30:00,1579.1852943886959,
2021-12-23 12:00:00,1551.0172040870395,
2021-12-23 13:30:00,1577.7958002041453,
2021-12-23 15:00:00,1555.596196159842,
2021-12-23 15:30:30,1555.596196159842,
2021-12-23 23:59:59,1552.6104005075197,c
2021-12-24 00:00:00,1552.6104005075197,
2021-12-24 10:00:00,1552.6104005075197,
2021-12-24 10:30:00,1552.6104005075197,
2021-12-24 12:00:00,1552.6104005075197,
2021-12-24 13:30:00,1552.6104005075197,
2021-12-24 15:00:00,1552.6104005075197,
2021-12-24 15:30:30,1552.6104005075197,
2021-12-24 23:59:59,1552.6104005075197,w
2021-12-27 00:00:00,1623.4751447173046,
2021-12-27 10:00:00,1550.7252282681172,
2021-12-27 10:30:00,1592.8646528298093,
2021-12-27 12:00:00,1585.0194997350275,
2021-12-27 13:30:00,1592.0779499979578,
2021-12-27 15:00:00,1616.5536643084126,
2021-12-27 15:30:30,1616.5536643084126,
2021-12-27 23:59:59,1607.8381303451567,c
2021-12-28 00:00:00,1636.9303251239692,
2021-12-28 10:00:00,1542.7377008472683,
2021-12-28 10:30:00,1493.6240531263347,
2021-12-28 12:00:00,1447.2994205667987,
2021-12-28 13:30:00,1450.6995558765034,
2021-12-28 15:00:00,1456.1002422020808,
2021-12-28 15:30:30,1456.1002422020808,
2021-12-28 23:59:59,1471.5389622978557,c
2021-12-29 00:00:00,1459.5717656848706,
2021-12-29 10:00:00,1364.7165658628128,
2021-12-29 10:30:00,1370.463198872699,
2021-12-29 12:00:00,1371.2783840728407,
2021-12-29 13:30:00,1378.9740238315173,
2021-12-29 15:00:00,1355.7680958924975,
2021-12-29 15:30:30,1355.7680958924975,
2021-12-29 23:59:59,1331.2989573575403,c
2021-12-30 00:00:00,1331.6226030331945,
2021-12-30 10:00:00,1394.2189510810917,
2021-12-30 10:30:00,1368.674182052429,
2021-12-30 12:00:00,1469.557206315878,
2021-12-30 13:30:00,1496.719864178246,
2021-12-30 15:00:00,1515.6751903820561,
2021-12-30 15:30:30,1515.6751903820561,
2021-12-30 23:59:59,1523.8991963776396,c
2021-12-31 00:00:00,1526.1501481233754,
