date,TAN_2022_Q4,meta
2022-11-18 00:00:00,660.3548211975985,
2022-11-18 10:00:00,533.2381035087537,
2022-11-18 10:30:00,483.95796793768704,
2022-11-18 12:00:00,325.77829354888763,
2022-11-18 13:30:00,313.9135041180548,
2022-11-18 15:00:00,361.1435635159669,
2022-11-18 15:30:30,361.1435635159669,
2022-11-18 23:59:59,356.1888281889105,w
2022-11-21 00:00:00,313.4393383414549,
2022-11-21 10:00:00,223.29596109785098,
2022-11-21 10:30:00,288.12803690138935,
2022-11-21 12:00:00,295.67516806062577,
2022-11-21 13:30:00,309.60900047037967,
2022-11-21 15:00:00,260.7467817597626,
2022-11-21 15:30:30,260.7467817597626,
2022-11-21 23:59:59,306.61537956638585,c
2022-11-22 00:00:00,305.3238503479283,
2022-11-22 10:00:00,419.62172673882105,
2022-11-22 10:30:00,364.02112142072065,
2022-11-22 12:00:00,321.23217571619534,
2022-11-22 13:30:00,309.90968149608943,
2022-11-22 15:00:00,340.1546719051471,
2022-11-22 15:30:30,340.1546719051471,
2022-11-22 23:59:59,339.45195064020345,c
2022-11-23 00:00:00,382.98014794287474,
2022-11-23 10:00:00,415.79019459813253,
2022-11-23 10:30:00,416.4492851145865,
2022-11-23 12:00:00,390.5563257181616,
2022-11-23 13:30:00,397.0627095945856,
2022-11-23 15:00:00,439.4018521496673,
2022-11-23 15:30:30,439.4018521496673,
2022-11-23 23:59:59,489.81680672950506,c
2022-11-24 00:00:00,489.81680672950506,
2022-11-24 10:00:00,489.81680672950506,
2022-11-24 10:30:00,489.81680672950506,
2022-11-24 12:00:00,489.81680672950506,
2022-11-24 13:30:00,489.81680672950506,
2022-11-24 15:00:00,489.81680672950506,
2022-11-24 15:30:30,489.81680672950506,
2022-11-24 23:59:59,489.81680672950506,c
2022-11-25 00:00:00,439.81187476261357,
2022-11-25 10:00:00,524.4890654458768,
2022-11-25 10:30:00,485.57045977919233,
2022-11-25 12:00:00,505.40267811103877,
2022-11-25 13:30:00,505.40267811103877,
2022-11-25 15:00:00,505.40267811103877,
2022-11-25 15:30:30,505.40267811103877,
2022-11-25 23:59:59,481.6667292651805,w
2022-11-28 00:00:00,473.04886490336867,
2022-11-28 10:00:00,411.52599592346905,
2022-11-28 10:30:00,422.50795776934547,
2022-11-28 12:00:00,384.0994374798288,
2022-11-28 13:30:00,366.5372404118634,
2022-11-28 15:00:00,375.412006893519,
2022-11-28 15:30:30,375.412006893519,
2022-11-28 23:59:59,426.58807519782977,c
2022-11-29 00:00:00,486.93700404584206,
2022-11-29 10:00:00,475.7011140556924,
2022-11-29 10:30:00,534.285302317574,
2022-11-29 12:00:00,472.7602173711334,
2022-11-29 13:30:00,409.8282898820871,
2022-11-29 15:00:00,366.1379479715256,
2022-11-29 15:30:30,366.1379479715256,
2022-11-29 23:59:59,396.82678524099083,c
2022-11-30 00:00:00,446.39070519890583,
2022-11-30 10:00:00,447.4718636304219,
2022-11-30 10:30:00,401.8608036632281,
2022-11-30 12:00:00,428.20222426487635,
2022-11-30 13:30:00,408.4942377437783,
2022-11-30 15:00:00,459.99742996543137,
2022-11-30 15:30:30,459.99742996543137,s
2022-11-30 23:59:59,570.015652723353,c
2022-12-01 00:00:00,653.6672710948837,
2022-12-01 10:00:00,614.9118864705142,
2022-12-01 10:30:00,488.72077500115256,
2022-12-01 12:00:00,583.688002247769,
2022-12-01 13:30:00,492.4088306345716,
2022-12-01 15:00:00,479.08825562279117,
2022-12-01 15:30:30,479.08825562279117,
2022-12-01 23:59:59,486.6956525380074,c
2022-12-02 00:00:00,389.07956312626084,
2022-12-02 10:00:00,465.8518640905704,
2022-12-02 10:30:00,511.5598277860986,
2022-12-02 12:00:00,431.4503383111114,
2022-12-02 13:30:00,483.80103631585916,
2022-12-02 15:00:00,477.6550241611212,
2022-12-02 15:30:30,477.6550241611212,
2022-12-02 23:59:59,456.63036709440075,w
2022-12-05 00:00:00,474.73121181290117,
2022-12-05 10:00:00,349.0725543759345,
2022-12-05 10:30:00,322.5151901998538,
2022-12-05 12:00:00,271.43648337563855,
2022-12-05 13:30:00,262.9685756982858,
2022-12-05 15:00:00,248.85369414297475,
2022-12-05 15:30:30,248.85369414297475,
2022-12-05 23:59:59,238.9839589649,c
2022-12-06 00:00:00,279.8013331125044,
2022-12-06 10:00:00,200.11635617433694,
2022-12-06 10:30:00,189.90376324654244,
2022-12-06 12:00:00,218.12024106441095,
2022-12-06 13:30:00,200.6481471689881,
2022-12-06 15:00:00,191.25537037820732,
2022-12-06 15:30:30,191.25537037820732,
2022-12-06 23:59:59,217.51557062687243,c
2022-12-07 00:00:00,232.22843186915497,
2022-12-07 10:00:00,221.1498922110177,
2022-12-07 10:30:00,190.83177508496965,
2022-12-07 12:00:00,141.7728886230734,
2022-12-07 13:30:00,118.0524141228234,
2022-12-07 15:00:00,93.49298631202146,
2022-12-07 15:30:30,93.49298631202146,
2022-12-07 23:59:59,64.29683477445906,c
2022-12-08 00:00:00,99.81818678389209,
2022-12-08 10:00:00,79.72411604149693,
2022-12-08 10:30:00,100.37874831068939,
2022-12-08 12:00:00,56.57597471734334,
2022-12-08 13:30:00,74.54239595400986,
2022-12-08 15:00:00,64.79416494142924,
2022-12-08 15:30:30,64.79416494142924,
2022-12-08 23:59:59,19.153941229532848,c
2022-12-09 00:00:00,7.979893934350912,
2022-12-09 10:00:00,103.56697234373951,
2022-12-09 10:30:00,63.68152153362735,
2022-12-09 12:00:00,51.86785757134794,
2022-12-09 13:30:00,14.12669199107222,
2022-12-09 15:00:00,15.614298204367515,
