date,AS_TWDP_2022_Q2,meta
2022-06-03 00:00:00,0.0,
2022-06-03 01:00:00,0.0,
2022-06-03 02:30:00,0.0,
2022-06-03 03:00:00,0.0,
2022-06-03 18:30:00,0.0,
2022-06-03 20:00:00,0.0,
2022-06-03 23:00:00,0.0,
2022-06-03 23:59:59,0.0,a
2022-06-06 00:00:00,38.81192202680007,
2022-06-06 01:00:00,25.30594553650941,
2022-06-06 02:30:00,25.30594553650941,
2022-06-06 03:00:00,25.30594553650941,
2022-06-06 18:30:00,25.30594553650941,
2022-06-06 20:00:00,25.30594553650941,
2022-06-06 23:00:00,51.84905703889197,
2022-06-06 23:59:59,47.63264620951002,c
2022-06-07 00:00:00,42.37328517491243,
2022-06-07 01:00:00,55.00648848596121,
2022-06-07 02:30:00,55.00648848596121,
2022-06-07 03:00:00,55.00648848596121,
2022-06-07 18:30:00,55.00648848596121,
2022-06-07 20:00:00,55.00648848596121,
2022-06-07 23:00:00,92.19423413875187,
2022-06-07 23:59:59,85.2930595922072,c
2022-06-08 00:00:00,92.9219889714758,
2022-06-08 01:00:00,87.48342694728105,
2022-06-08 02:30:00,87.48342694728105,
2022-06-08 03:00:00,87.48342694728105,
2022-06-08 18:30:00,87.48342694728105,
2022-06-08 20:00:00,87.48342694728105,
2022-06-08 23:00:00,152.00656886940558,
2022-06-08 23:59:59,146.4129302030326,c
2022-06-09 00:00:00,132.88324089617907,
2022-06-09 01:00:00,128.1596607876781,
2022-06-09 02:30:00,128.1596607876781,
2022-06-09 03:00:00,128.1596607876781,
2022-06-09 18:30:00,128.1596607876781,
2022-06-09 20:00:00,128.1596607876781,
2022-06-09 23:00:00,148.56484412528417,
2022-06-09 23:59:59,156.89333634715558,c
2022-06-10 00:00:00,141.0764925500688,
2022-06-10 01:00:00,141.91765692573819,
2022-06-10 02:30:00,141.91765692573819,
2022-06-10 03:00:00,141.91765692573819,
2022-06-10 18:30:00,141.91765692573819,
2022-06-10 20:00:00,141.91765692573819,
2022-06-10 23:00:00,141.91765692573819,
2022-06-10 23:59:59,140.3291608369301,w
0,140.3291608369301,
0,140.3291608369301,
0,140.3291608369301,
0,140.3291608369301,
0,140.3291608369301,
0,140.3291608369301,
0,140.3291608369301,
0,140.3291608369301,
2022-06-13 00:00:00,121.45743524461402,
2022-06-13 01:00:00,88.53525835148378,
2022-06-13 02:30:00,88.53525835148378,
2022-06-13 03:00:00,88.53525835148378,
2022-06-13 18:30:00,88.53525835148378,
2022-06-13 20:00:00,88.53525835148378,
2022-06-13 23:00:00,95.9657403387085,
2022-06-13 23:59:59,83.08535131145652,c
2022-06-14 00:00:00,76.46293849003192,
2022-06-14 01:00:00,103.2058861506669,
2022-06-14 02:30:00,103.2058861506669,
2022-06-14 03:00:00,103.2058861506669,
2022-06-14 18:30:00,103.2058861506669,
2022-06-14 20:00:00,103.2058861506669,
2022-06-14 23:00:00,147.2907641524207,
2022-06-14 23:59:59,139.94977059666363,c
2022-06-15 00:00:00,150.9493357477491,
2022-06-15 01:00:00,117.14134538780624,
2022-06-15 02:30:00,117.14134538780624,
2022-06-15 03:00:00,117.14134538780624,
2022-06-15 18:30:00,117.14134538780624,
2022-06-15 20:00:00,117.14134538780624,
2022-06-15 23:00:00,105.30823148546737,
2022-06-15 23:59:59,93.38557406984246,c
2022-06-16 00:00:00,116.1470420811512,
2022-06-16 01:00:00,103.34562613638654,
2022-06-16 02:30:00,103.34562613638654,
2022-06-16 03:00:00,103.34562613638654,
2022-06-16 18:30:00,103.34562613638654,
2022-06-16 20:00:00,103.34562613638654,
2022-06-16 23:00:00,167.47660173149097,
2022-06-16 23:59:59,160.9739477518525,c
2022-06-17 00:00:00,132.82604627059993,
2022-06-17 01:00:00,157.19060272724198,
2022-06-17 02:30:00,157.19060272724198,
2022-06-17 03:00:00,157.19060272724198,
2022-06-17 18:30:00,157.19060272724198,
2022-06-17 20:00:00,157.19060272724198,
2022-06-17 23:00:00,157.19060272724198,
2022-06-17 23:59:59,76.49351782192998,w
2022-06-20 00:00:00,42.460239468674935,
2022-06-20 01:00:00,5.473861371090435,
2022-06-20 02:30:00,5.473861371090435,
2022-06-20 03:00:00,5.473861371090435,
2022-06-20 18:30:00,5.473861371090435,
2022-06-20 20:00:00,5.473861371090435,
2022-06-20 23:00:00,12.51049522756959,
2022-06-20 23:59:59,37.10910638630915,c
2022-06-21 00:00:00,40.04143528782596,
2022-06-21 01:00:00,29.57886975083946,
2022-06-21 02:30:00,29.57886975083946,
2022-06-21 03:00:00,29.57886975083946,
2022-06-21 18:30:00,29.57886975083946,
2022-06-21 20:00:00,29.57886975083946,
2022-06-21 23:00:00,-2.5275713459998976,
2022-06-21 23:59:59,-7.838833120058204,c
2022-06-22 00:00:00,-20.71701820113245,
2022-06-22 01:00:00,-26.154288331351008,
2022-06-22 02:30:00,-26.154288331351008,
2022-06-22 03:00:00,-26.154288331351008,
2022-06-22 18:30:00,-26.154288331351008,
2022-06-22 20:00:00,-26.154288331351008,
2022-06-22 23:00:00,-79.73338991871539,
2022-06-22 23:59:59,-131.76057126164702,c
2022-06-23 00:00:00,-138.77913402406674,
2022-06-23 01:00:00,-108.58165320841867,
