date,DGRO_2022_Q3,meta
2022-09-09 13:30:00,3.6259227918158103,
2022-09-09 15:00:00,-1.4424283439217334,
2022-09-09 15:30:30,-1.4424283439217334,
2022-09-09 23:59:59,0.0,a
2022-09-12 00:00:00,17.225968165309155,
2022-09-12 10:00:00,21.97924611351982,
2022-09-12 10:30:00,25.829128311798286,
2022-09-12 12:00:00,20.457572182153285,
2022-09-12 13:30:00,8.141981230411716,
2022-09-12 15:00:00,9.770571567181946,
2022-09-12 15:30:30,9.770571567181946,
2022-09-12 23:59:59,2.488529398446417,c
2022-09-13 00:00:00,14.156295831057491,
2022-09-13 10:00:00,27.547052475582063,
2022-09-13 10:30:00,19.08640546644415,
2022-09-13 12:00:00,26.280957701120997,
2022-09-13 13:30:00,24.791467239178132,
2022-09-13 15:00:00,36.074185388279034,
2022-09-13 15:30:30,36.074185388279034,
2022-09-13 23:59:59,33.74954527110242,c
2022-09-14 00:00:00,51.734994754336185,
2022-09-14 10:00:00,84.17964269135473,
2022-09-14 10:30:00,77.45365040224215,
2022-09-14 12:00:00,90.22280837150925,
2022-09-14 13:30:00,86.83206875202086,
2022-09-14 15:00:00,96.10913571111018,
2022-09-14 15:30:30,96.10913571111018,
2022-09-14 23:59:59,97.56252003354916,c
2022-09-15 00:00:00,76.99210522085218,
2022-09-15 10:00:00,116.02420650136105,
2022-09-15 10:30:00,117.60155969719551,
2022-09-15 12:00:00,127.52697772923409,
2022-09-15 13:30:00,134.4807349753711,
2022-09-15 15:00:00,132.86113176288666,
2022-09-15 15:30:30,132.86113176288666,
2022-09-15 23:59:59,129.2135104263449,c
2022-09-16 00:00:00,152.7681081636117,
2022-09-16 10:00:00,173.40376799689852,
2022-09-16 10:30:00,147.41781216540755,
2022-09-16 12:00:00,136.49816100102805,
2022-09-16 13:30:00,145.26662951104674,
2022-09-16 15:00:00,148.31818964126649,
2022-09-16 15:30:30,148.31818964126649,
2022-09-16 23:59:59,127.66485933834713,e
2022-09-19 00:00:00,113.23102669224318,
2022-09-19 10:00:00,84.66085738352365,
2022-09-19 10:30:00,85.24204131544161,
2022-09-19 12:00:00,79.36243821450705,
2022-09-19 13:30:00,69.71291323791286,
2022-09-19 15:00:00,71.02265448385356,
2022-09-19 15:30:30,71.02265448385356,
2022-09-19 23:59:59,64.76346484277076,c
2022-09-20 00:00:00,58.16681524406067,
2022-09-20 10:00:00,58.93545653295166,
2022-09-20 10:30:00,66.50083920584143,
2022-09-20 12:00:00,47.229944084771546,
2022-09-20 13:30:00,57.22143742045512,
2022-09-20 15:00:00,52.4062056401217,
2022-09-20 15:30:30,52.4062056401217,
2022-09-20 23:59:59,54.187854230014864,c
2022-09-21 00:00:00,58.07501476274706,
2022-09-21 10:00:00,26.332505266300245,
2022-09-21 10:30:00,25.664917569274394,
2022-09-21 12:00:00,30.725202243687136,
2022-09-21 13:30:00,14.855007380957204,
2022-09-21 15:00:00,25.942813423878306,
2022-09-21 15:30:30,25.942813423878306,
2022-09-21 23:59:59,45.12768289526218,c
2022-09-22 00:00:00,70.84573205795004,
2022-09-22 10:00:00,72.7541679323673,
2022-09-22 10:30:00,85.0440649321913,
2022-09-22 12:00:00,85.10380031515649,
2022-09-22 13:30:00,82.00191200330141,
2022-09-22 15:00:00,81.11939403490862,
2022-09-22 15:30:30,81.11939403490862,
2022-09-22 23:59:59,77.10461166653567,c
2022-09-23 00:00:00,80.40836281485065,
2022-09-23 10:00:00,65.72601621133322,
2022-09-23 10:30:00,57.56967239720723,
2022-09-23 12:00:00,49.85780232045033,
2022-09-23 13:30:00,57.82979098681278,
2022-09-23 15:00:00,69.12879188645991,
2022-09-23 15:30:30,69.12879188645991,
2022-09-23 23:59:59,61.822246526657864,w
2022-09-26 00:00:00,54.79339944638821,
2022-09-26 10:00:00,44.3284887075838,
2022-09-26 10:30:00,42.47048974389838,
2022-09-26 12:00:00,41.359448335065736,
2022-09-26 13:30:00,50.220999969968034,
2022-09-26 15:00:00,41.51660153559169,
2022-09-26 15:30:30,41.51660153559169,
2022-09-26 23:59:59,41.80172655846934,c
2022-09-27 00:00:00,45.38253767289484,
2022-09-27 10:00:00,28.298500213921557,
2022-09-27 10:30:00,34.30714674966555,
2022-09-27 12:00:00,37.025142029274434,
2022-09-27 13:30:00,41.6609333539127,
2022-09-27 15:00:00,46.0978955409787,
2022-09-27 15:30:30,46.0978955409787,
2022-09-27 23:59:59,42.57245556366877,c
2022-09-28 00:00:00,59.9852835418086,
2022-09-28 10:00:00,82.4941757566719,
2022-09-28 10:30:00,70.05084052015127,
2022-09-28 12:00:00,56.387925295504374,
2022-09-28 13:30:00,45.21907322968866,
2022-09-28 15:00:00,34.43321282497163,
2022-09-28 15:30:30,34.43321282497163,
2022-09-28 23:59:59,34.34325273344632,c
2022-09-29 00:00:00,48.8099509870342,
2022-09-29 10:00:00,44.40036776299132,
2022-09-29 10:30:00,35.32106721551065,
2022-09-29 12:00:00,60.41198806936313,
2022-09-29 13:30:00,79.61202261899916,
2022-09-29 15:00:00,81.74857516479824,
2022-09-29 15:30:30,81.74857516479824,
2022-09-29 23:59:59,68.43573596447357,c
2022-09-30 00:00:00,55.70742049114892,
2022-09-30 10:00:00,68.0482471183359,
2022-09-30 10:30:00,69.99665243552545,
2022-09-30 12:00:00,78.82895989421888,
2022-09-30 13:30:00,81.09637264253922,
2022-09-30 15:00:00,81.65775717142787,
2022-09-30 15:30:30,81.65775717142787,
2022-09-30 23:59:59,86.08619130578313,w
