date,AS_MSCI_AS_EM_HK_MIG_2022_Q1,meta
2022-01-18 02:30:00,-1287.7602738343303,
2022-01-18 03:00:00,-1237.9641545305567,
2022-01-18 18:30:00,-1237.9641545305567,
2022-01-18 20:00:00,-1237.9641545305567,
2022-01-18 23:00:00,-1833.7121552277276,
2022-01-18 23:59:59,-1838.7252170338725,c
2022-01-19 00:00:00,-1838.730032786505,
2022-01-19 01:00:00,-1639.2477242479872,
2022-01-19 02:30:00,-1688.3264071117865,
2022-01-19 03:00:00,-1688.6264251156008,
2022-01-19 18:30:00,-1688.6264251156008,
2022-01-19 20:00:00,-1688.6264251156008,
2022-01-19 23:00:00,-2329.9329819120994,
2022-01-19 23:59:59,-2329.7747425370835,c
2022-01-20 00:00:00,-2382.019550768171,
2022-01-20 01:00:00,-2185.471388949838,
2022-01-20 02:30:00,-2234.2990561716797,
2022-01-20 03:00:00,-2284.8556890091604,
2022-01-20 18:30:00,-2284.8556890091604,
2022-01-20 20:00:00,-2284.8556890091604,
2022-01-20 23:00:00,-2087.9545199610257,
2022-01-20 23:59:59,-2085.9374170764695,c
2022-01-21 00:00:00,-2085.9374170764695,
2022-01-21 01:00:00,-2035.4775728353943,
2022-01-21 02:30:00,-1985.2563330642915,
2022-01-21 03:00:00,-1985.4102170771948,
2022-01-21 18:30:00,-1985.4102170771948,
2022-01-21 20:00:00,-1985.4102170771948,
2022-01-21 23:00:00,-1985.4102170771948,
2022-01-21 23:59:59,-1985.6410668076824,w
2022-01-24 00:00:00,-1244.028862859388,
2022-01-24 01:00:00,-1195.0707717747882,
2022-01-24 02:30:00,-1095.9993453559782,
2022-01-24 03:00:00,-996.9279226295821,
2022-01-24 18:30:00,-996.9279226295821,
2022-01-24 20:00:00,-996.9279226295821,
2022-01-24 23:00:00,-298.31382970910636,
2022-01-24 23:59:59,-296.5947442248944,c
2022-01-25 00:00:00,-203.8338662402548,
2022-01-25 01:00:00,440.58856164113604,
2022-01-25 02:30:00,44.59927495748161,
2022-01-25 03:00:00,193.56521122541562,
2022-01-25 18:30:00,193.56521122541562,
2022-01-25 20:00:00,193.56521122541562,
2022-01-25 23:00:00,1419.81043433603,
2022-01-25 23:59:59,1419.81043433603,c
2022-01-26 00:00:00,1333.1403052114365,
2022-01-26 01:00:00,1036.3937973328357,
2022-01-26 02:30:00,1333.9195224544892,
2022-01-26 03:00:00,1679.8681361211566,
2022-01-26 18:30:00,1679.8681361211566,
2022-01-26 20:00:00,1679.8681361211566,
2022-01-26 23:00:00,2361.784023843,
2022-01-26 23:59:59,2361.3424927140904,c
2022-01-27 00:00:00,2224.9378943696984,
2022-01-27 01:00:00,2275.4026684279797,
2022-01-27 02:30:00,2275.7001210737053,
2022-01-27 03:00:00,2176.017864425049,
2022-01-27 18:30:00,2176.017864425049,
2022-01-27 20:00:00,2176.017864425049,
2022-01-27 23:00:00,1581.575254234409,
2022-01-27 23:59:59,1580.1161156944927,c
2022-01-28 00:00:00,1580.1161156944927,
2022-01-28 01:00:00,1382.8860907475118,
2022-01-28 02:30:00,1682.2698507902915,
2022-01-28 03:00:00,1632.8132355847283,
2022-01-28 18:30:00,1632.8132355847283,
2022-01-28 20:00:00,1632.8132355847283,
2022-01-28 23:00:00,1632.8132355847283,
2022-01-28 23:59:59,1629.8597264998843,w
2022-01-31 00:00:00,1632.2212164942048,
2022-01-31 01:00:00,1632.2212164942048,
2022-01-31 02:30:00,1632.2212164942048,
2022-01-31 03:00:00,1632.2212164942048,
2022-01-31 18:30:00,1632.2212164942048,
2022-01-31 20:00:00,1632.2212164942048,
2022-01-31 23:00:00,1632.2212164942048,
2022-01-31 23:59:59,1629.8597264998843,c
2022-02-01 00:00:00,1629.8597264998843,
2022-02-01 01:00:00,1629.8597264998843,
2022-02-01 02:30:00,1629.8597264998843,
2022-02-01 03:00:00,1629.8597264998843,
2022-02-01 18:30:00,1629.8597264998843,
2022-02-01 20:00:00,1629.8597264998843,
2022-02-01 23:00:00,1629.8597264998843,
2022-02-01 23:59:59,1629.8597264998843,c
2022-02-02 00:00:00,1629.8597264998843,
2022-02-02 01:00:00,1629.8597264998843,
2022-02-02 02:30:00,1629.8597264998843,
2022-02-02 03:00:00,1629.8597264998843,
2022-02-02 18:30:00,1629.8597264998843,
2022-02-02 20:00:00,1629.8597264998843,
2022-02-02 23:00:00,1629.8597264998843,
2022-02-02 23:59:59,1629.8597264998843,c
2022-02-03 00:00:00,1629.8597264998843,
2022-02-03 01:00:00,1629.8597264998843,
2022-02-03 02:30:00,1629.8597264998843,
2022-02-03 03:00:00,1629.8597264998843,
2022-02-03 18:30:00,1629.8597264998843,
2022-02-03 20:00:00,1629.8597264998843,
2022-02-03 23:00:00,1729.185868443219,
2022-02-03 23:59:59,1729.185868443219,c
2022-02-04 00:00:00,1778.125597032311,
2022-02-04 01:00:00,1726.8976294653748,
