date,EU_HEX25_2023_Q1,meta
2023-01-31 10:30:00,85.89963719942834,
2023-01-31 11:00:00,87.01746938869819,
2023-01-31 23:59:59,73.81718840409869,e
2023-02-01 00:00:00,89.76743241877455,
2023-02-01 03:30:00,95.96076135699175,
2023-02-01 04:00:00,90.36021049395023,
2023-02-01 06:00:00,95.73046646452292,
2023-02-01 08:00:00,85.56932784934313,
2023-02-01 10:30:00,82.61568099830816,
2023-02-01 11:00:00,80.01570701976432,
2023-02-01 23:59:59,85.43969812990618,c
2023-02-02 00:00:00,80.54563157929005,
2023-02-02 03:30:00,38.18151015589646,
2023-02-02 04:00:00,37.41841088352557,
2023-02-02 06:00:00,47.109652420636465,
2023-02-02 08:00:00,31.74754895851835,
2023-02-02 10:30:00,31.705325947435703,
2023-02-02 11:00:00,10.674935191425638,
2023-02-02 23:59:59,-2.6305573624194025,c
2023-02-03 00:00:00,10.969208785282905,
2023-02-03 03:30:00,40.243089568275515,
2023-02-03 04:00:00,53.71526564328491,
2023-02-03 06:00:00,67.61599817660219,
2023-02-03 08:00:00,51.62249557823064,
2023-02-03 10:30:00,52.068493451738824,
2023-02-03 11:00:00,55.84716135669065,
2023-02-03 23:59:59,37.41976671871396,w
2023-02-06 00:00:00,38.419804770786484,
2023-02-06 03:30:00,74.5284593900814,
2023-02-06 04:00:00,54.740206630256424,
2023-02-06 06:00:00,47.690343603377,
2023-02-06 08:00:00,39.717790228729456,
2023-02-06 10:30:00,41.22386971768163,
2023-02-06 11:00:00,42.91299729801953,
2023-02-06 23:59:59,39.756214905729365,c
2023-02-07 00:00:00,39.01849547446814,
2023-02-07 03:30:00,38.80824133005102,
2023-02-07 04:00:00,37.01279131195532,
2023-02-07 06:00:00,64.49900511891296,
2023-02-07 08:00:00,67.87387862586056,
2023-02-07 10:30:00,67.49438526696564,
2023-02-07 11:00:00,66.64135649862764,
2023-02-07 23:59:59,65.93623288579153,c
2023-02-08 00:00:00,147.0554750373482,
2023-02-08 03:30:00,91.41821668233416,
2023-02-08 04:00:00,106.9367906842493,
2023-02-08 06:00:00,121.78002848405944,
2023-02-08 08:00:00,122.40208255447862,
2023-02-08 10:30:00,133.09416914278208,
2023-02-08 11:00:00,146.9991187347806,
2023-02-08 23:59:59,145.7726504197656,c
2023-02-09 00:00:00,144.38192604850485,
2023-02-09 03:30:00,139.375461752637,
2023-02-09 04:00:00,142.6941410833453,
2023-02-09 06:00:00,111.58647910988026,
2023-02-09 08:00:00,131.3077130398361,
2023-02-09 10:30:00,114.492073812498,
2023-02-09 11:00:00,116.50748573072913,
2023-02-09 23:59:59,124.23456325294559,c
2023-02-10 00:00:00,102.1565245123465,
2023-02-10 03:30:00,77.0969083258955,
2023-02-10 04:00:00,87.73090225183462,
2023-02-10 06:00:00,106.40106609329705,
2023-02-10 08:00:00,98.14230300382009,
2023-02-10 10:30:00,76.98176360095589,
2023-02-10 11:00:00,79.05502122837956,
2023-02-10 23:59:59,75.88557857466192,w
2023-02-13 00:00:00,82.05820432186893,
2023-02-13 03:30:00,21.3129964219253,
2023-02-13 04:00:00,17.655153682642844,
2023-02-13 06:00:00,2.508826139326576,
2023-02-13 08:00:00,-1.639927256521915,
2023-02-13 10:30:00,10.354436015769686,
2023-02-13 11:00:00,13.837086614043358,
2023-02-13 23:59:59,14.409360168929638,c
2023-02-14 00:00:00,1.3137636663230907,
2023-02-14 03:30:00,-4.777526621866542,
2023-02-14 04:00:00,5.43915873410328,
2023-02-14 06:00:00,-3.2194568796635394,
2023-02-14 08:00:00,-14.147429821991782,
2023-02-14 10:30:00,-4.8155067049938864,
2023-02-14 11:00:00,-3.809403282298213,
2023-02-14 23:59:59,-4.413669484205222,c
