date,AS_CHINA_ALL_2022_Q4,meta
2022-11-23 18:30:00,-52.085031494861596,
2022-11-23 20:00:00,-52.085031494861596,
2022-11-23 23:00:00,-52.085031494861596,
2022-11-23 23:59:59,-20.746436649570455,c
2022-11-24 00:00:00,-19.326975748059795,
2022-11-24 01:00:00,-21.5898811001407,
2022-11-24 02:30:00,-21.5898811001407,
2022-11-24 03:00:00,-21.5898811001407,
2022-11-24 18:30:00,-21.5898811001407,
2022-11-24 20:00:00,-21.5898811001407,
2022-11-24 23:00:00,-21.5898811001407,
2022-11-24 23:59:59,-43.54942462304848,c
2022-11-25 00:00:00,-34.6603199607423,
2022-11-25 01:00:00,-45.071798161587594,
2022-11-25 02:30:00,-45.071798161587594,
2022-11-25 03:00:00,-45.071798161587594,
2022-11-25 18:30:00,-45.071798161587594,
2022-11-25 20:00:00,-45.071798161587594,
2022-11-25 23:00:00,-45.071798161587594,
2022-11-25 23:59:59,-43.767432426336086,w
2022-11-28 00:00:00,-4.112875940665958,
2022-11-28 01:00:00,-6.402422418469541,
2022-11-28 02:30:00,-6.402422418469541,
2022-11-28 03:00:00,-6.402422418469541,
2022-11-28 18:30:00,-6.402422418469541,
2022-11-28 20:00:00,-6.402422418469541,
2022-11-28 23:00:00,-6.402422418469541,
2022-11-28 23:59:59,-0.042064636604322914,c
2022-11-29 00:00:00,-0.41353096200680284,
2022-11-29 01:00:00,-4.29038240306636,
2022-11-29 02:30:00,-4.29038240306636,
2022-11-29 03:00:00,-4.29038240306636,
2022-11-29 18:30:00,-4.29038240306636,
2022-11-29 20:00:00,-4.29038240306636,
2022-11-29 23:00:00,-4.29038240306636,
2022-11-29 23:59:59,0.0,a
2022-11-30 00:00:00,-9.35505082658517,
2022-11-30 01:00:00,-13.869178210280893,
2022-11-30 02:30:00,-13.869178210280893,
2022-11-30 03:00:00,-13.869178210280893,
2022-11-30 18:30:00,-13.869178210280893,
2022-11-30 20:00:00,-13.869178210280893,
2022-11-30 23:00:00,-13.869178210280893,
2022-11-30 23:59:59,35.3876025578312,c
2022-12-01 00:00:00,27.466599291802595,
2022-12-01 01:00:00,23.643871926397765,
2022-12-01 02:30:00,23.643871926397765,
2022-12-01 03:00:00,23.643871926397765,
2022-12-01 18:30:00,23.643871926397765,
2022-12-01 20:00:00,23.643871926397765,
2022-12-01 23:00:00,23.643871926397765,
2022-12-01 23:59:59,50.457477724011255,c
2022-12-02 00:00:00,53.2307359991612,
2022-12-02 01:00:00,61.78135329387612,
2022-12-02 02:30:00,61.78135329387612,
2022-12-02 03:00:00,61.78135329387612,
2022-12-02 18:30:00,61.78135329387612,
2022-12-02 20:00:00,61.78135329387612,
2022-12-02 23:00:00,61.78135329387612,
2022-12-02 23:59:59,67.06662154734988,w
0,67.06662154734988,
0,67.06662154734988,
0,67.06662154734988,
0,67.06662154734988,
0,67.06662154734988,
0,67.06662154734988,
0,67.06662154734988,
0,67.06662154734988,
0,67.06662154734988,
0,67.06662154734988,
0,67.06662154734988,
0,67.06662154734988,
0,67.06662154734988,
0,67.06662154734988,
0,67.06662154734988,
0,67.06662154734988,
2022-12-05 00:00:00,55.354713891063966,
2022-12-05 01:00:00,47.636726593928415,
2022-12-05 02:30:00,47.636726593928415,
2022-12-05 03:00:00,47.636726593928415,
2022-12-05 18:30:00,47.636726593928415,
2022-12-05 20:00:00,47.636726593928415,
2022-12-05 23:00:00,47.636726593928415,
2022-12-05 23:59:59,37.467290166898124,c
2022-12-06 00:00:00,39.651543010428554,
2022-12-06 01:00:00,37.90141215793233,
2022-12-06 02:30:00,37.90141215793233,
2022-12-06 03:00:00,37.90141215793233,
2022-12-06 18:30:00,37.90141215793233,
2022-12-06 20:00:00,37.90141215793233,
2022-12-06 23:00:00,37.90141215793233,
2022-12-06 23:59:59,76.19555395660564,c
2022-12-07 00:00:00,64.63307026803898,
2022-12-07 01:00:00,58.07491921976498,
2022-12-07 02:30:00,58.07491921976498,
2022-12-07 03:00:00,58.07491921976498,
2022-12-07 18:30:00,58.07491921976498,
2022-12-07 20:00:00,58.07491921976498,
2022-12-07 23:00:00,58.07491921976498,
2022-12-07 23:59:59,93.01411457340487,c
2022-12-08 00:00:00,76.78095848944258,
2022-12-08 01:00:00,68.2242564729371,
2022-12-08 02:30:00,68.2242564729371,
2022-12-08 03:00:00,68.2242564729371,
2022-12-08 18:30:00,68.2242564729371,
2022-12-08 20:00:00,68.2242564729371,
2022-12-08 23:00:00,68.2242564729371,
2022-12-08 23:59:59,91.87304973991547,c
2022-12-09 00:00:00,89.77952899724437,
2022-12-09 01:00:00,51.82396943068227,
2022-12-09 02:30:00,51.82396943068227,
2022-12-09 03:00:00,51.82396943068227,
2022-12-09 18:30:00,51.82396943068227,
2022-12-09 20:00:00,51.82396943068227,
2022-12-09 23:00:00,51.82396943068227,
2022-12-09 23:59:59,112.61782123389605,e
2022-12-12 00:00:00,106.08912602930798,
2022-12-12 01:00:00,84.86229438606483,
2022-12-12 02:30:00,84.86229438606483,
2022-12-12 03:00:00,84.86229438606483,
2022-12-12 18:30:00,84.86229438606483,
2022-12-12 20:00:00,84.86229438606483,
2022-12-12 23:00:00,84.86229438606483,
2022-12-12 23:59:59,2.061371968618346,c
2022-12-13 00:00:00,-3.287512985580861,
2022-12-13 01:00:00,-3.6343494403105296,
2022-12-13 02:30:00,-3.6343494403105296,
2022-12-13 03:00:00,-3.6343494403105296,
2022-12-13 18:30:00,-3.6343494403105296,
2022-12-13 20:00:00,-3.6343494403105296,
2022-12-13 23:00:00,-3.6343494403105296,
2022-12-13 23:59:59,-40.10936815676405,c
2022-12-14 00:00:00,-24.99748243404224,
2022-12-14 01:00:00,-36.794463573913504,
2022-12-14 02:30:00,-36.794463573913504,
2022-12-14 03:00:00,-36.794463573913504,
2022-12-14 18:30:00,-36.794463573913504,
2022-12-14 20:00:00,-36.794463573913504,
2022-12-14 23:00:00,-36.794463573913504,
2022-12-14 23:59:59,-19.21106955699929,c
2022-12-15 00:00:00,-24.14596498938863,
2022-12-15 01:00:00,-13.719696016812577,
2022-12-15 02:30:00,-13.719696016812577,
2022-12-15 03:00:00,-13.719696016812577,
2022-12-15 18:30:00,-13.719696016812577,
2022-12-15 20:00:00,-13.719696016812577,
2022-12-15 23:00:00,-13.719696016812577,
2022-12-15 23:59:59,-27.52454040565567,c
2022-12-16 00:00:00,-33.49465718161889,
2022-12-16 01:00:00,-36.65576078475635,
2022-12-16 02:30:00,-36.65576078475635,
2022-12-16 03:00:00,-36.65576078475635,
2022-12-16 18:30:00,-36.65576078475635,
2022-12-16 20:00:00,-36.65576078475635,
2022-12-16 23:00:00,-36.65576078475635,
2022-12-16 23:59:59,-32.85884118356398,w
2022-12-19 00:00:00,-38.66616712173186,
2022-12-19 01:00:00,-15.393530003034698,
2022-12-19 02:30:00,-15.393530003034698,
2022-12-19 03:00:00,-15.393530003034698,
2022-12-19 18:30:00,-15.393530003034698,
2022-12-19 20:00:00,-15.393530003034698,
2022-12-19 23:00:00,-15.393530003034698,
2022-12-19 23:59:59,6.8794276709502356,c
2022-12-20 00:00:00,13.867244543650372,
2022-12-20 01:00:00,16.784500408374015,
2022-12-20 02:30:00,16.784500408374015,
2022-12-20 03:00:00,16.784500408374015,
2022-12-20 18:30:00,16.784500408374015,
2022-12-20 20:00:00,16.784500408374015,
2022-12-20 23:00:00,16.784500408374015,
2022-12-20 23:59:59,-0.41430231148126495,c
2022-12-21 00:00:00,-3.468751936144713,
2022-12-21 01:00:00,-6.8293133403442425,
2022-12-21 02:30:00,-6.8293133403442425,
2022-12-21 03:00:00,-6.8293133403442425,
2022-12-21 18:30:00,-6.8293133403442425,
2022-12-21 20:00:00,-6.8293133403442425,
2022-12-21 23:00:00,-6.8293133403442425,
2022-12-21 23:59:59,-45.85437148624271,c
2022-12-22 00:00:00,-47.06662564738713,
2022-12-22 01:00:00,-52.36758754927041,
2022-12-22 02:30:00,-52.36758754927041,
2022-12-22 03:00:00,-52.36758754927041,
2022-12-22 18:30:00,-52.36758754927041,
2022-12-22 20:00:00,-52.36758754927041,
2022-12-22 23:00:00,-52.36758754927041,
2022-12-22 23:59:59,-92.89627065117452,c
2022-12-23 00:00:00,-100.98373864896735,
2022-12-23 01:00:00,-102.52892192949992,
2022-12-23 02:30:00,-102.52892192949992,
2022-12-23 03:00:00,-102.52892192949992,
2022-12-23 18:30:00,-102.52892192949992,
2022-12-23 20:00:00,-102.52892192949992,
2022-12-23 23:00:00,-102.52892192949992,
2022-12-23 23:59:59,-99.33159256285626,w
