date,AS_CHINA_ALL_2022_Q4,meta
2022-11-15 00:00:00,-75.17457844117155,
2022-11-15 01:00:00,-89.07627571815681,
2022-11-15 02:30:00,-89.07627571815681,
2022-11-15 03:00:00,-89.07627571815681,
2022-11-15 18:30:00,-89.07627571815681,
2022-11-15 20:00:00,-89.07627571815681,
2022-11-15 23:00:00,-89.07627571815681,
2022-11-15 23:59:59,-113.55808124715338,c
2022-11-16 00:00:00,-119.43592739396229,
2022-11-16 01:00:00,-139.1730666310766,
2022-11-16 02:30:00,-139.1730666310766,
2022-11-16 03:00:00,-139.1730666310766,
2022-11-16 18:30:00,-139.1730666310766,
2022-11-16 20:00:00,-139.1730666310766,
2022-11-16 23:00:00,-139.1730666310766,
2022-11-16 23:59:59,-153.02813603417826,c
2022-11-17 00:00:00,-164.40534898758688,
2022-11-17 01:00:00,-163.80137696402403,
2022-11-17 02:30:00,-163.80137696402403,
2022-11-17 03:00:00,-163.80137696402403,
2022-11-17 18:30:00,-163.80137696402403,
2022-11-17 20:00:00,-163.80137696402403,
2022-11-17 23:00:00,-163.80137696402403,
2022-11-17 23:59:59,-139.01208442822144,c
2022-11-18 00:00:00,-141.69637827322947,
2022-11-18 01:00:00,-130.67086510952038,
2022-11-18 02:30:00,-130.67086510952038,
2022-11-18 03:00:00,-130.67086510952038,
2022-11-18 18:30:00,-130.67086510952038,
2022-11-18 20:00:00,-130.67086510952038,
2022-11-18 23:00:00,-130.67086510952038,
2022-11-18 23:59:59,-127.62680068347163,w
2022-11-21 00:00:00,-81.94241984741802,
2022-11-21 01:00:00,-85.9047654954054,
2022-11-21 02:30:00,-85.9047654954054,
2022-11-21 03:00:00,-85.9047654954054,
2022-11-21 18:30:00,-85.9047654954054,
2022-11-21 20:00:00,-85.9047654954054,
2022-11-21 23:00:00,-85.9047654954054,
2022-11-21 23:59:59,-68.86303402818885,c
2022-11-22 00:00:00,-63.16065905888968,
2022-11-22 01:00:00,-72.21809123716525,
2022-11-22 02:30:00,-72.21809123716525,
2022-11-22 03:00:00,-72.21809123716525,
2022-11-22 18:30:00,-72.21809123716525,
2022-11-22 20:00:00,-72.21809123716525,
2022-11-22 23:00:00,-72.21809123716525,
2022-11-22 23:59:59,-60.65550337253444,c
2022-11-23 00:00:00,-65.38977186711145,
2022-11-23 01:00:00,-52.085031494861596,
2022-11-23 02:30:00,-52.085031494861596,
2022-11-23 03:00:00,-52.085031494861596,
