date,EU_CAC40_2022_Q3,meta
2022-09-15 06:00:00,12.903533732001664,
2022-09-15 08:00:00,24.314531395392763,
2022-09-15 10:30:00,13.781759970225071,
2022-09-15 11:00:00,25.897553547343545,
2022-09-15 23:59:59,18.99539418849952,c
2022-09-16 00:00:00,23.68539355365205,
2022-09-16 03:30:00,2.250976392813673,
2022-09-16 04:00:00,-9.406927679526964,
2022-09-16 06:00:00,-14.409001956933155,
2022-09-16 08:00:00,-35.834046517248716,
2022-09-16 10:30:00,-24.574041496720557,
2022-09-16 11:00:00,-30.09823871178271,
2022-09-16 23:59:59,-40.912471464342424,e
2022-09-19 00:00:00,-12.85961346873581,
2022-09-19 03:30:00,-22.285425840426168,
2022-09-19 04:00:00,-39.049831530529424,
2022-09-19 06:00:00,-40.94187591218302,
2022-09-19 08:00:00,-42.72177401292503,
2022-09-19 10:30:00,-54.9598637924252,
2022-09-19 11:00:00,-49.232102952725434,
2022-09-19 23:59:59,-44.757604941064045,c
2022-09-20 00:00:00,-42.44065578066737,
2022-09-20 03:30:00,-62.10389567045255,
2022-09-20 04:00:00,-50.777741785669434,
2022-09-20 06:00:00,-44.311976606574916,
2022-09-20 08:00:00,-35.964030248238224,
2022-09-20 10:30:00,-43.70934658213054,
2022-09-20 11:00:00,-53.60314215188927,
2022-09-20 23:59:59,-54.64021831359719,c
2022-09-21 00:00:00,-55.716313692932616,
2022-09-21 03:30:00,-32.40702729815068,
2022-09-21 04:00:00,-35.00339786494546,
2022-09-21 06:00:00,-42.74877626242366,
2022-09-21 08:00:00,-48.87127415678675,
2022-09-21 10:30:00,-49.451327749727476,
2022-09-21 11:00:00,-59.38183427085356,
2022-09-21 23:59:59,-59.33534430230489,c
2022-09-22 00:00:00,-51.13561846799774,
2022-09-22 03:30:00,-55.46942335773763,
2022-09-22 04:00:00,-65.36055818797743,
2022-09-22 06:00:00,-56.87933852739356,
2022-09-22 08:00:00,-61.77094552315741,
2022-09-22 10:30:00,-57.0088773803905,
2022-09-22 11:00:00,-54.31310899460396,
2022-09-22 23:59:59,-47.89920537736303,c
2022-09-23 00:00:00,-61.637215408558674,
2022-09-23 03:30:00,-40.48356441556199,
2022-09-23 04:00:00,-38.12760669791512,
2022-09-23 06:00:00,-34.74629628118574,
2022-09-23 08:00:00,-58.54824013632679,
2022-09-23 10:30:00,-19.336304536963567,
2022-09-23 11:00:00,-10.65640575706133,
2022-09-23 23:59:59,-7.733933405728857,w
2022-09-26 00:00:00,-18.80216371155308,
2022-09-26 03:30:00,-40.680590781828286,
2022-09-26 04:00:00,-52.1777362359082,
2022-09-26 06:00:00,-51.664530935565516,
2022-09-26 08:00:00,-52.550915272187886,
2022-09-26 10:30:00,-34.722595539219476,
2022-09-26 11:00:00,-30.30705938609394,
2022-09-26 23:59:59,-24.471975323859734,c
2022-09-27 00:00:00,-28.71770042994329,
2022-09-27 03:30:00,-46.93623046645349,
2022-09-27 04:00:00,-54.349310372542064,
2022-09-27 06:00:00,-44.96784783875196,
2022-09-27 08:00:00,-45.04079972983022,
2022-09-27 10:30:00,-33.24890621651975,
2022-09-27 11:00:00,-33.70143198364925,
2022-09-27 23:59:59,-21.26395095503777,c
2022-09-28 00:00:00,-24.767884434965218,
2022-09-28 03:30:00,-20.79446185194689,
2022-09-28 04:00:00,-32.690513645000664,
2022-09-28 06:00:00,-28.61443081955299,
2022-09-28 08:00:00,-21.86879458277416,
2022-09-28 10:30:00,-22.125360916504437,
2022-09-28 11:00:00,-17.40165553746946,
2022-09-28 23:59:59,-9.838434314000246,c
2022-09-29 00:00:00,-1.0296262261209141,
2022-09-29 03:30:00,1.8483912831432738,
2022-09-29 04:00:00,9.266550117517534,
2022-09-29 06:00:00,-29.07882075703854,
2022-09-29 08:00:00,-46.26304128540987,
2022-09-29 10:30:00,-27.77774807742649,
2022-09-29 11:00:00,-30.632903337857535,
2022-09-29 23:59:59,-38.50788189964535,c
2022-09-30 00:00:00,-44.910488822101755,
2022-09-30 03:30:00,-33.977364289017714,
2022-09-30 04:00:00,-35.92040089798499,
2022-09-30 06:00:00,-29.354845774438225,
2022-09-30 08:00:00,-13.58390205250729,
2022-09-30 10:30:00,-6.987084682744001,
2022-09-30 11:00:00,-14.94814984388568,
2022-09-30 23:59:59,-16.712470245094096,w
