date,EU_MSCI_DM_SC_ALL_2021_Q4,meta
2021-10-21 00:00:00,-394.3021870960174,
2021-10-21 03:30:00,-367.6141482373332,
2021-10-21 04:00:00,-372.5546810105834,
2021-10-21 06:00:00,-348.30290276101914,
2021-10-21 08:00:00,-363.5896790673514,
2021-10-21 10:30:00,-352.21688860365975,
2021-10-21 11:00:00,-353.04379860642075,
2021-10-21 23:59:59,-356.1360067623127,c
2021-10-22 00:00:00,-345.4449039649835,
2021-10-22 03:30:00,-348.4447381158452,
2021-10-22 04:00:00,-349.688831081452,
2021-10-22 06:00:00,-323.4979201527003,
2021-10-22 08:00:00,-293.3366524937692,
2021-10-22 10:30:00,-278.97341768067963,
2021-10-22 11:00:00,-281.3555317880273,
2021-10-22 23:59:59,-278.11006467220614,w
2021-10-25 00:00:00,-263.3114678166785,
2021-10-25 03:30:00,-289.23339597838185,
2021-10-25 04:00:00,-269.4664034091411,
2021-10-25 06:00:00,-311.1150448971057,
2021-10-25 08:00:00,-313.1802876232405,
2021-10-25 10:30:00,-293.76140506751017,
2021-10-25 11:00:00,-289.01746898929923,
2021-10-25 23:59:59,-262.41123031677034,c
2021-10-26 00:00:00,-247.38941462753155,
2021-10-26 03:30:00,-268.68265472836356,
2021-10-26 04:00:00,-257.1239749268343,
2021-10-26 06:00:00,-264.85994256223785,
2021-10-26 08:00:00,-276.32649107267844,
2021-10-26 10:30:00,-267.09216790659866,
2021-10-26 11:00:00,-274.9265008350185,
2021-10-26 23:59:59,-293.1976553098466,c
2021-10-27 00:00:00,-296.0439078215786,
2021-10-27 03:30:00,-297.13502534862346,
2021-10-27 04:00:00,-295.9918904343431,
2021-10-27 06:00:00,-311.68270150420085,
2021-10-27 08:00:00,-325.24031986854425,
2021-10-27 10:30:00,-318.638045450105,
2021-10-27 11:00:00,-325.68851137438924,
2021-10-27 23:59:59,-319.45590838026055,c
2021-10-28 00:00:00,-303.093745796813,
2021-10-28 03:30:00,-297.5565860863835,
2021-10-28 04:00:00,-286.27972740544374,
2021-10-28 06:00:00,-276.6023654579467,
2021-10-28 08:00:00,-274.5512029284728,
2021-10-28 10:30:00,-227.51877008618158,
2021-10-28 11:00:00,-239.67561945846046,
2021-10-28 23:59:59,-266.09585041261016,c
2021-10-29 00:00:00,-266.09585041261016,
2021-10-29 03:30:00,-257.7360911618134,
2021-10-29 04:00:00,-291.0629459677066,
2021-10-29 06:00:00,-303.95599902752383,
2021-10-29 08:00:00,-296.3242618252152,
2021-10-29 10:30:00,-354.9584498804252,
2021-10-29 11:00:00,-360.32249553096335,
2021-10-29 23:59:59,-319.34466436723505,w
2021-11-01 00:00:00,-275.347873357995,
2021-11-01 03:30:00,-275.347873357995,
2021-11-01 04:00:00,-275.33858810011134,
2021-11-01 06:00:00,-260.1086760855924,
2021-11-01 08:00:00,-205.16153166116783,
2021-11-01 10:30:00,-203.66495579164075,
2021-11-01 11:00:00,-190.97508025908428,
2021-11-01 23:59:59,-207.23279977885704,c
2021-11-02 00:00:00,-183.279380098792,
2021-11-02 03:30:00,-183.279380098792,
2021-11-02 04:00:00,-183.26183001433856,
2021-11-02 06:00:00,-209.0456984801067,
2021-11-02 08:00:00,-201.68981181148138,
2021-11-02 10:30:00,-206.98801044461652,
2021-11-02 11:00:00,-205.68076828151334,
2021-11-02 23:59:59,-178.4482886079768,c
2021-11-03 00:00:00,-188.36671534942343,
2021-11-03 03:30:00,-188.36671534942343,
2021-11-03 04:00:00,-188.36671534942343,
2021-11-03 06:00:00,-147.52714772696527,
2021-11-03 08:00:00,-179.64374275541832,
2021-11-03 10:30:00,-224.9450213110249,
2021-11-03 11:00:00,-219.71078934170964,
2021-11-03 23:59:59,-212.07334442100546,c
2021-11-04 00:00:00,-189.7445235355899,
2021-11-04 03:30:00,-189.7445235355899,
2021-11-04 04:00:00,-189.66882823531068,
2021-11-04 06:00:00,-189.0186583520026,
2021-11-04 08:00:00,-168.22899566194428,
2021-11-04 10:30:00,-163.25363603898586,
2021-11-04 11:00:00,-162.8662069386137,
2021-11-04 23:59:59,-118.9739216729231,c
2021-11-05 00:00:00,-95.53546213740537,
2021-11-05 03:30:00,-95.53546213740537,
2021-11-05 04:00:00,-95.53546213740537,
2021-11-05 06:00:00,-105.39870722450905,
2021-11-05 08:00:00,-150.39734261463127,
2021-11-05 10:30:00,-163.54623918330435,
2021-11-05 11:00:00,-162.6002919233424,
2021-11-05 23:59:59,-125.32986996314412,w
2021-11-08 00:00:00,-134.5589562977948,
2021-11-08 03:30:00,-158.78507375151548,
2021-11-08 04:00:00,-148.88545034624258,
2021-11-08 06:00:00,-154.62525843112326,
2021-11-08 08:00:00,-136.50179127129468,
2021-11-08 10:30:00,-90.99995197544558,
2021-11-08 11:00:00,-89.00335267752598,
2021-11-08 23:59:59,-105.80299310660484,c
2021-11-09 00:00:00,-82.30021159457556,
2021-11-09 03:30:00,-61.808670567103945,
2021-11-09 04:00:00,-68.547786030922,
2021-11-09 06:00:00,-40.50339244017232,
2021-11-09 08:00:00,-41.06985328416886,
2021-11-09 10:30:00,-73.08834338320412,
2021-11-09 11:00:00,-77.11383206977098,
2021-11-09 23:59:59,-57.916350703958415,c
2021-11-10 00:00:00,-62.22636468888595,
2021-11-10 03:30:00,-83.41108816588803,
2021-11-10 04:00:00,-79.36681842625421,
2021-11-10 06:00:00,-143.99509405528534,
2021-11-10 08:00:00,-142.96368131655709,
2021-11-10 10:30:00,-121.58198851875932,
2021-11-10 11:00:00,-134.2029279664448,
2021-11-10 23:59:59,-97.84933100685248,c
2021-11-11 00:00:00,-97.7100171697657,
2021-11-11 03:30:00,-126.83194604611435,
2021-11-11 04:00:00,-98.93446734533427,
2021-11-11 06:00:00,-63.03643327219288,
2021-11-11 08:00:00,-21.84802376031712,
2021-11-11 10:30:00,-7.785266189064714,
2021-11-11 11:00:00,0.7709188116559744,
2021-11-11 23:59:59,0.0,a
2021-11-12 00:00:00,52.333071021712385,
2021-11-12 03:30:00,129.43416840792088,
2021-11-12 04:00:00,159.8451098634123,
2021-11-12 06:00:00,176.86327971757783,
2021-11-12 08:00:00,205.26303851751254,
2021-11-12 10:30:00,246.0122299843897,
2021-11-12 11:00:00,240.87792242201613,
2021-11-12 23:59:59,245.9721657819573,w
2021-11-15 00:00:00,272.52850668010797,
2021-11-15 03:30:00,280.8225890976137,
2021-11-15 04:00:00,289.1267638343779,
2021-11-15 06:00:00,310.3992203104244,
2021-11-15 08:00:00,315.83644727705905,
2021-11-15 10:30:00,304.3309165298069,
2021-11-15 11:00:00,298.93202532478426,
2021-11-15 23:59:59,322.1071664129049,c
2021-11-16 00:00:00,336.628235307302,
2021-11-16 03:30:00,343.96177360607544,
2021-11-16 04:00:00,340.2323877317958,
2021-11-16 06:00:00,292.1183300434004,
2021-11-16 08:00:00,293.8757166110372,
2021-11-16 10:30:00,318.0445659279976,
2021-11-16 11:00:00,314.17917666641733,
2021-11-16 23:59:59,345.9680054875207,c
0,345.9680054875207,
0,345.9680054875207,
0,345.9680054875207,
0,345.9680054875207,
0,345.9680054875207,
0,345.9680054875207,
0,345.9680054875207,
0,345.9680054875207,
0,345.9680054875207,
0,345.9680054875207,
0,345.9680054875207,
0,345.9680054875207,
0,345.9680054875207,
0,345.9680054875207,
0,345.9680054875207,
0,345.9680054875207,
0,345.9680054875207,
0,345.9680054875207,
0,345.9680054875207,
0,345.9680054875207,
0,345.9680054875207,
0,345.9680054875207,
0,345.9680054875207,
0,345.9680054875207,
2021-11-17 00:00:00,329.61040214818604,
2021-11-17 03:30:00,378.15151048846565,
2021-11-17 04:00:00,361.7963118401003,
2021-11-17 06:00:00,360.06925635636617,
2021-11-17 08:00:00,359.1158267951523,
2021-11-17 10:30:00,371.4345899839809,
2021-11-17 11:00:00,363.0427814274826,
