date,ASHRSPY_2017,meta
2017-02-09 10:00:00,-92.72584507436156,
2017-02-09 10:30:00,-102.92426152363777,
2017-02-09 12:00:00,-115.15134924816846,
2017-02-09 13:30:00,-110.91786016071974,
2017-02-09 15:00:00,-116.08953492864131,
2017-02-09 15:30:30,-116.08953492864131,
2017-02-09 23:59:59,-108.16090199287831,c
2017-02-10 00:00:00,-97.36471620111226,
2017-02-10 10:00:00,-98.90135403752625,
2017-02-10 10:30:00,-96.6802330655849,
2017-02-10 12:00:00,-96.18934555819571,
2017-02-10 13:30:00,-102.57543260757625,
2017-02-10 15:00:00,-93.69685676978112,
2017-02-10 15:30:30,-93.69685676978112,
2017-02-10 23:59:59,-98.11317465088607,w
2017-02-13 00:00:00,-86.60658166081727,
2017-02-13 10:00:00,-99.74525258350432,
2017-02-13 10:30:00,-98.73201278676748,
2017-02-13 12:00:00,-103.72044046090126,
2017-02-13 13:30:00,-114.34780699829162,
2017-02-13 15:00:00,-107.09968510436951,
2017-02-13 15:30:30,-107.09968510436951,
2017-02-13 23:59:59,-103.7550416150695,c
2017-02-14 00:00:00,-99.14512810582579,
2017-02-14 10:00:00,-97.16945088757933,
2017-02-14 10:30:00,-101.95393439922572,
2017-02-14 12:00:00,-111.76144673916757,
2017-02-14 13:30:00,-120.14814468249917,
2017-02-14 15:00:00,-116.51753593242765,
2017-02-14 15:30:30,-116.51753593242765,
2017-02-14 23:59:59,-116.16396774618268,c
2017-02-15 00:00:00,-120.68398187839925,
2017-02-15 10:00:00,-145.61326367148817,
2017-02-15 10:30:00,-148.34380829509496,
2017-02-15 12:00:00,-151.1850917270738,
2017-02-15 13:30:00,-151.10731953873872,
2017-02-15 15:00:00,-162.43850768370152,
2017-02-15 15:30:30,-162.43850768370152,
2017-02-15 23:59:59,-166.96458541026055,c
2017-02-16 00:00:00,-141.82184752060294,
2017-02-16 10:00:00,-135.43576047122002,
2017-02-16 10:30:00,-128.85830286919236,
2017-02-16 12:00:00,-129.88049920992253,
2017-02-16 13:30:00,-115.98249930673003,
2017-02-16 15:00:00,-122.97514175892711,
2017-02-16 15:30:30,-122.97514175892711,
2017-02-16 23:59:59,-116.53736212836684,e
