date,AS_AGED_2022_Q2,meta
2022-05-20 00:00:00,158.30869881355102,
2022-05-20 01:00:00,166.1685034272159,
2022-05-20 02:30:00,195.40047898613557,
2022-05-20 03:00:00,198.20851862311793,
2022-05-20 18:30:00,198.20851862311793,
2022-05-20 20:00:00,198.20851862311793,
2022-05-20 23:00:00,198.20851862311793,
2022-05-20 23:59:59,205.65388502943642,w
2022-05-23 00:00:00,339.7217418987093,
2022-05-23 01:00:00,354.81007216992475,
2022-05-23 02:30:00,322.5439589178368,
2022-05-23 03:00:00,319.6868180021811,
2022-05-23 18:30:00,319.6868180021811,
2022-05-23 20:00:00,319.6868180021811,
2022-05-23 23:00:00,244.66996639211357,
2022-05-23 23:59:59,223.77181495302648,c
2022-05-24 00:00:00,187.02663523996853,
2022-05-24 01:00:00,166.55670181263122,
2022-05-24 02:30:00,168.05779788241853,
2022-05-24 03:00:00,162.26263435070905,
2022-05-24 18:30:00,162.26263435070905,
2022-05-24 20:00:00,162.26263435070905,
2022-05-24 23:00:00,88.99552850849614,
2022-05-24 23:59:59,83.72452312489622,c
2022-05-25 00:00:00,72.76893491927694,
2022-05-25 01:00:00,62.11302550656001,
2022-05-25 02:30:00,43.73261912455746,
2022-05-25 03:00:00,46.64450525293796,
2022-05-25 18:30:00,46.64450525293796,
2022-05-25 20:00:00,46.64450525293796,
2022-05-25 23:00:00,88.99778858050013,
2022-05-25 23:59:59,106.14575483724366,c
2022-05-26 00:00:00,117.3558915235335,
2022-05-26 01:00:00,74.87131914735073,
2022-05-26 02:30:00,41.02444960444518,
2022-05-26 03:00:00,38.12508666846588,
2022-05-26 18:30:00,38.12508666846588,
2022-05-26 20:00:00,38.12508666846588,
2022-05-26 23:00:00,17.76005229722614,
2022-05-26 23:59:59,48.09799717626265,c
2022-05-27 00:00:00,80.34539157459403,
2022-05-27 01:00:00,114.6119137778569,
2022-05-27 02:30:00,100.21266208971247,
2022-05-27 03:00:00,103.08492156907778,
2022-05-27 18:30:00,103.08492156907778,
2022-05-27 20:00:00,103.08492156907778,
2022-05-27 23:00:00,103.08492156907778,
2022-05-27 23:59:59,82.91403057914431,w
2022-05-30 00:00:00,164.50165255166394,
2022-05-30 01:00:00,176.28813324876137,
2022-05-30 02:30:00,215.60228647668373,
2022-05-30 03:00:00,215.6196081282269,
2022-05-30 18:30:00,215.6196081282269,
2022-05-30 20:00:00,215.6196081282269,
2022-05-30 23:00:00,192.0935587470576,
2022-05-30 23:59:59,167.19038898747203,c
2022-05-31 00:00:00,171.6885079474796,
2022-05-31 01:00:00,170.02859677118067,
2022-05-31 02:30:00,125.65591310993841,
2022-05-31 03:00:00,122.80258105638677,
2022-05-31 18:30:00,122.80258105638677,
2022-05-31 20:00:00,122.80258105638677,
2022-05-31 23:00:00,60.87504398238889,
