date,MLPA_2023_Q1,meta
2023-02-01 00:00:00,-196.59538600596966,
2023-02-01 10:00:00,-239.9632985508864,
2023-02-01 10:30:00,-200.3539235755311,
2023-02-01 12:00:00,-249.32299266396785,
2023-02-01 13:30:00,-242.08174883587128,
2023-02-01 15:00:00,-230.3830122154817,
2023-02-01 15:30:30,-230.3830122154817,
2023-02-01 23:59:59,-218.73316466816004,c
2023-02-02 00:00:00,-219.65317707448776,
2023-02-02 10:00:00,-209.1700113127489,
2023-02-02 10:30:00,-229.8153999641471,
2023-02-02 12:00:00,-210.99987138553263,
2023-02-02 13:30:00,-215.38003270097477,
2023-02-02 15:00:00,-208.0181561947096,
2023-02-02 15:30:30,-208.0181561947096,
2023-02-02 23:59:59,-190.35530733890369,c
2023-02-03 00:00:00,-216.09251586873233,
2023-02-03 10:00:00,-215.38060176487807,
2023-02-03 10:30:00,-179.5530871985785,
2023-02-03 12:00:00,-184.84908517941608,
2023-02-03 13:30:00,-168.59832073036546,
2023-02-03 15:00:00,-168.19890541176449,
2023-02-03 15:30:30,-168.19890541176449,
2023-02-03 23:59:59,-164.7709095800043,w
2023-02-06 00:00:00,-215.6656710471094,
2023-02-06 10:00:00,-205.18573090311122,
2023-02-06 10:30:00,-196.16639401793748,
2023-02-06 12:00:00,-186.5967216553413,
2023-02-06 13:30:00,-187.91508743983502,
2023-02-06 15:00:00,-186.04031279576157,
2023-02-06 15:30:30,-186.04031279576157,
2023-02-06 23:59:59,-191.84274971814477,c
2023-02-07 00:00:00,-186.5713841440155,
2023-02-07 10:00:00,-217.83059848189293,
2023-02-07 10:30:00,-196.55132439241868,
2023-02-07 12:00:00,-216.01870690351643,
2023-02-07 13:30:00,-218.04208637669694,
2023-02-07 15:00:00,-214.38387069388978,
2023-02-07 15:30:30,-214.38387069388978,
2023-02-07 23:59:59,-167.32039200423083,c
2023-02-08 00:00:00,-164.78372209755128,
2023-02-08 10:00:00,-179.84717449921413,
2023-02-08 10:30:00,-179.30617709765295,
2023-02-08 12:00:00,-154.36617613370072,
2023-02-08 13:30:00,-161.21631625189684,
2023-02-08 15:00:00,-146.49755056874346,
2023-02-08 15:30:30,-146.49755056874346,
2023-02-08 23:59:59,-140.0343349487763,c
2023-02-09 00:00:00,-134.64735231480188,
2023-02-09 10:00:00,-141.2370221395281,
2023-02-09 10:30:00,-131.33999540898037,
2023-02-09 12:00:00,-145.63123905232942,
2023-02-09 13:30:00,-154.10760978382507,
2023-02-09 15:00:00,-167.3389934827153,
2023-02-09 15:30:30,-167.3389934827153,s
2023-02-09 23:59:59,-173.392110588043,c
2023-02-10 00:00:00,-173.5839849529823,
2023-02-10 10:00:00,-201.56241558560873,
2023-02-10 10:30:00,-189.17693950868545,
2023-02-10 12:00:00,-212.7901215212787,
2023-02-10 13:30:00,-225.2163506844953,
2023-02-10 15:00:00,-206.80365827717299,
2023-02-10 15:30:30,-206.80365827717299,
2023-02-10 23:59:59,-183.76919103702608,w
2023-02-13 00:00:00,-169.23132566023673,
2023-02-13 10:00:00,-135.650050273847,
2023-02-13 10:30:00,-103.22024984747884,
2023-02-13 12:00:00,-153.90966646302343,
2023-02-13 13:30:00,-137.66015485654214,
2023-02-13 15:00:00,-145.78128778584005,
2023-02-13 15:30:30,-145.78128778584005,
2023-02-13 23:59:59,-122.00804923266958,c
2023-02-14 00:00:00,-168.27723733576306,
2023-02-14 10:00:00,-146.99791973161177,
2023-02-14 10:30:00,-137.87010772270435,
2023-02-14 12:00:00,-132.21774059401798,
2023-02-14 13:30:00,-119.07143465597153,
2023-02-14 15:00:00,-119.84733068061678,
2023-02-14 15:30:30,-119.84733068061678,
2023-02-14 23:59:59,-127.32653947614449,c
2023-02-15 00:00:00,-145.08769029476173,
2023-02-15 10:00:00,-145.90654598015658,
2023-02-15 10:30:00,-168.90667883632705,
2023-02-15 12:00:00,-194.2342733985447,
2023-02-15 13:30:00,-124.7973366975782,
2023-02-15 15:00:00,-55.99475422315595,
2023-02-15 15:30:30,-55.99475422315595,
2023-02-15 23:59:59,0.0,a
2023-02-16 00:00:00,-18.5529571116042,
2023-02-16 10:00:00,-41.06738551622834,
2023-02-16 10:30:00,20.033593397556388,
2023-02-16 12:00:00,41.48441372872935,
2023-02-16 13:30:00,27.4546907476265,
2023-02-16 15:00:00,7.095186786960312,
2023-02-16 15:30:30,7.095186786960312,
2023-02-16 23:59:59,-1.4911361889292039,c
2023-02-17 00:00:00,-10.087770983845758,
2023-02-17 10:00:00,-22.47787702641085,
2023-02-17 10:30:00,-47.70331308664072,
