date,EU_QUARTERLY_UW_2021_Q4,meta
2021-10-29 00:00:00,-140.22615123147148,
2021-10-29 03:30:00,-218.88574620422412,
2021-10-29 04:00:00,-209.14825302586792,
2021-10-29 06:00:00,-174.3676235091383,
2021-10-29 08:00:00,-133.28554679176295,
2021-10-29 10:30:00,-173.05620050928496,
2021-10-29 11:00:00,-146.97872634475561,
2021-10-29 23:59:59,-149.22230638923816,w
2021-11-01 00:00:00,-162.11551387248744,
2021-11-01 03:30:00,-162.11551387248744,
2021-11-01 04:00:00,-162.11551387248744,
2021-11-01 06:00:00,-206.49438897831476,
2021-11-01 08:00:00,-186.36971313457173,
2021-11-01 10:30:00,-154.86448974290442,
2021-11-01 11:00:00,-150.1746004412853,
2021-11-01 23:59:59,-122.40796674204717,c
2021-11-02 00:00:00,-128.71132192054688,
2021-11-02 03:30:00,-128.71132192054688,
2021-11-02 04:00:00,-128.71132192054688,
2021-11-02 06:00:00,-146.98277518815826,
2021-11-02 08:00:00,-161.34214116140868,
2021-11-02 10:30:00,-180.50653395992515,
2021-11-02 11:00:00,-203.6727866498287,
2021-11-02 23:59:59,-239.12032871933297,c
2021-11-03 00:00:00,-244.1585529671172,
2021-11-03 03:30:00,-244.1585529671172,
2021-11-03 04:00:00,-244.1585529671172,
2021-11-03 06:00:00,-296.0420274524116,
2021-11-03 08:00:00,-320.5875280680143,
2021-11-03 10:30:00,-363.00208554972824,
2021-11-03 11:00:00,-382.8930249938405,
2021-11-03 23:59:59,-431.98698924237647,c
2021-11-04 00:00:00,-435.0335993456059,
2021-11-04 03:30:00,-435.0335993456059,
2021-11-04 04:00:00,-435.0335993456059,
2021-11-04 06:00:00,-513.0293061088092,
2021-11-04 08:00:00,-502.9700484138524,
2021-11-04 10:30:00,-495.50091591609794,
2021-11-04 11:00:00,-491.9597022162735,
2021-11-04 23:59:59,-486.3552479218962,c
2021-11-05 00:00:00,-479.5032826692087,
2021-11-05 03:30:00,-479.5032826692087,
2021-11-05 04:00:00,-479.5032826692087,
2021-11-05 06:00:00,-495.7947710793004,
2021-11-05 08:00:00,-571.892695778244,
2021-11-05 10:30:00,-600.9376553512664,
2021-11-05 11:00:00,-590.1370640817349,
2021-11-05 23:59:59,-629.0432569399161,w
2021-11-08 00:00:00,-636.624981114336,
2021-11-08 03:30:00,-626.8401149024818,
2021-11-08 04:00:00,-605.4059947185312,
2021-11-08 06:00:00,-645.1560925139867,
2021-11-08 08:00:00,-634.6106842714601,
2021-11-08 10:30:00,-590.7143747243151,
2021-11-08 11:00:00,-605.3268688064894,
2021-11-08 23:59:59,-615.169577584101,c
2021-11-09 00:00:00,-616.1002505561329,
2021-11-09 03:30:00,-612.4592370517779,
2021-11-09 04:00:00,-594.0093715836279,
2021-11-09 06:00:00,-565.7732419016468,
2021-11-09 08:00:00,-615.6227059630925,
2021-11-09 10:30:00,-670.1026652918683,
2021-11-09 11:00:00,-677.9584450519724,
2021-11-09 23:59:59,-644.5024370865765,c
2021-11-10 00:00:00,-621.6052999381272,
2021-11-10 03:30:00,-622.3823160295016,
2021-11-10 04:00:00,-634.8018717502711,
2021-11-10 06:00:00,-682.4576961669222,
2021-11-10 08:00:00,-628.6428094914027,
2021-11-10 10:30:00,-660.067962038014,
2021-11-10 11:00:00,-627.3208207360857,
2021-11-10 23:59:59,-603.3062412799771,c
2021-11-11 00:00:00,-601.912620508236,
2021-11-11 03:30:00,-617.1930843948966,
2021-11-11 04:00:00,-607.046281434904,
2021-11-11 06:00:00,-552.3894159755299,
2021-11-11 08:00:00,-518.2737107813203,
2021-11-11 10:30:00,-486.188498737813,
2021-11-11 11:00:00,-473.09146140684265,
2021-11-11 23:59:59,-473.0281794581929,c
2021-11-12 00:00:00,-494.3268908186475,
2021-11-12 03:30:00,-458.1026537808615,
2021-11-12 04:00:00,-408.40284167078187,
2021-11-12 06:00:00,-461.53032809128183,
2021-11-12 08:00:00,-450.27453082103204,
2021-11-12 10:30:00,-475.8134364722563,
2021-11-12 11:00:00,-480.89926799498244,
2021-11-12 23:59:59,-496.60021370415245,w
2021-11-15 00:00:00,-479.7248696502086,
2021-11-15 03:30:00,-431.9574772281321,
2021-11-15 04:00:00,-453.36568379969617,
2021-11-15 06:00:00,-485.8846807410248,
2021-11-15 08:00:00,-479.2490525407519,
2021-11-15 10:30:00,-464.3294200496978,
2021-11-15 11:00:00,-442.6918040471361,
2021-11-15 23:59:59,-376.43533623081305,c
2021-11-16 00:00:00,-323.27470567847183,
2021-11-16 03:30:00,-304.5664595664698,
2021-11-16 04:00:00,-295.0899678412301,
2021-11-16 06:00:00,-281.0299922806031,
2021-11-16 08:00:00,-313.8705423594846,
2021-11-16 10:30:00,-296.37697866310384,
2021-11-16 11:00:00,-304.4109331765783,
2021-11-16 23:59:59,-303.161775367209,c
2021-11-17 00:00:00,-321.6478246366156,
2021-11-17 03:30:00,-276.0534305281309,
2021-11-17 04:00:00,-312.0909288447658,
2021-11-17 06:00:00,-300.62396000140916,
2021-11-17 08:00:00,-222.23623811691482,
2021-11-17 10:30:00,-153.98975105272143,
2021-11-17 11:00:00,-165.63697341120974,
2021-11-17 23:59:59,-141.20169635456477,c
2021-11-18 00:00:00,-108.37180697466988,
2021-11-18 03:30:00,-179.51564825221692,
2021-11-18 04:00:00,-154.57889136835752,
2021-11-18 06:00:00,-166.17994994861283,
2021-11-18 08:00:00,-155.6109776353428,
2021-11-18 10:30:00,-173.6241723539132,
2021-11-18 11:00:00,-151.379688580457,
2021-11-18 23:59:59,-112.52300123008013,c
2021-11-19 00:00:00,-63.30808331536764,
2021-11-19 03:30:00,-11.327566864043092,
2021-11-19 04:00:00,14.640041120522483,
2021-11-19 06:00:00,70.69561979466926,
2021-11-19 08:00:00,34.77065991505947,
2021-11-19 10:30:00,-37.87566331467383,
2021-11-19 11:00:00,-21.632446686619687,
2021-11-19 23:59:59,0.0,a
2021-11-22 00:00:00,15.178583925209523,
2021-11-22 03:30:00,24.947868655745424,
2021-11-22 04:00:00,56.645016909065134,
2021-11-22 06:00:00,-8.86788319685752,
2021-11-22 08:00:00,20.6032623994422,
2021-11-22 10:30:00,47.37131571907662,
2021-11-22 11:00:00,50.856189931897916,
2021-11-22 23:59:59,35.65453784435999,c
2021-11-23 00:00:00,-10.116003739086182,
2021-11-23 03:30:00,-76.2625704244208,
2021-11-23 04:00:00,-66.30856342914831,
2021-11-23 06:00:00,-46.713706849441905,
2021-11-23 08:00:00,-66.96744217940591,
2021-11-23 10:30:00,-11.761472912478212,
2021-11-23 11:00:00,-21.09165452474008,
2021-11-23 23:59:59,19.788348946659426,c
2021-11-24 00:00:00,14.850673957023673,
2021-11-24 03:30:00,120.78881957680255,
2021-11-24 04:00:00,127.02315563109573,
2021-11-24 06:00:00,103.26654859433961,
2021-11-24 08:00:00,111.07925683796407,
2021-11-24 10:30:00,120.50818056773687,
2021-11-24 11:00:00,128.69585797967898,
2021-11-24 23:59:59,122.78414975561464,c
2021-11-25 00:00:00,107.00946728720851,
2021-11-25 03:30:00,119.76818447816595,
2021-11-25 04:00:00,118.93606285709939,
2021-11-25 06:00:00,25.353523545769576,
2021-11-25 08:00:00,25.742117207377305,
2021-11-25 10:30:00,31.203138589536138,
2021-11-25 11:00:00,13.273632497368226,
2021-11-25 23:59:59,6.061496263591835,c
2021-11-26 00:00:00,136.5184564888043,
2021-11-26 03:30:00,292.5983493375461,
2021-11-26 04:00:00,281.2932685352521,
2021-11-26 06:00:00,242.54228633549178,
2021-11-26 08:00:00,253.05281935202925,
2021-11-26 10:30:00,253.53379516404516,
2021-11-26 11:00:00,230.5717013963997,
2021-11-26 23:59:59,228.85563119684343,w
2021-11-29 00:00:00,204.7405290307047,
2021-11-29 03:30:00,216.7213055048162,
2021-11-29 04:00:00,205.50365779505842,
2021-11-29 06:00:00,139.10842358752325,
2021-11-29 08:00:00,179.9244885126884,
2021-11-29 10:30:00,192.28470542221748,
2021-11-29 11:00:00,203.7608603950987,
2021-11-29 23:59:59,216.37582107562753,c
2021-11-30 00:00:00,157.9289778792206,
2021-11-30 03:30:00,128.06742995965078,
2021-11-30 04:00:00,72.05693085116991,
2021-11-30 06:00:00,134.7004699276331,
2021-11-30 08:00:00,181.1977856947051,
2021-11-30 10:30:00,154.35317511586504,
2021-11-30 11:00:00,177.98029435328772,
2021-11-30 23:59:59,211.32753446377728,c
2021-12-01 00:00:00,229.88015663273222,
2021-12-01 03:30:00,189.67681029076084,
2021-12-01 04:00:00,250.8442803342623,
2021-12-01 06:00:00,304.32483819160393,
2021-12-01 08:00:00,279.8713012397211,
2021-12-01 10:30:00,276.40218779786574,
2021-12-01 11:00:00,257.12373416623564,
2021-12-01 23:59:59,219.9749494704995,c
2021-12-02 00:00:00,272.1446165705365,
2021-12-02 03:30:00,300.7040143859547,
2021-12-02 04:00:00,272.61911930295196,
2021-12-02 06:00:00,212.43048197298003,
2021-12-02 08:00:00,205.49662422959386,
2021-12-02 10:30:00,212.17312963201266,
2021-12-02 11:00:00,222.69504167109085,
2021-12-02 23:59:59,201.51097210279772,c
2021-12-03 00:00:00,160.60718229114786,
2021-12-03 03:30:00,225.34387229427853,
2021-12-03 04:00:00,234.3642910404044,
2021-12-03 06:00:00,243.52975342166746,
2021-12-03 08:00:00,241.36462274935798,
2021-12-03 10:30:00,199.6495903055188,
2021-12-03 11:00:00,212.36307914072518,
2021-12-03 23:59:59,225.4659354938508,w
2021-12-06 00:00:00,223.69759812093275,
2021-12-06 03:30:00,198.2765923673278,
2021-12-06 04:00:00,228.01485556894318,
2021-12-06 06:00:00,253.07819922606905,
2021-12-06 08:00:00,245.6478460110352,
2021-12-06 10:30:00,185.97579657149322,
2021-12-06 11:00:00,150.81684649987687,
2021-12-06 23:59:59,122.09029015934743,c
2021-12-07 00:00:00,122.09029015934743,
2021-12-07 03:30:00,139.503868790983,
2021-12-07 04:00:00,169.36064670754217,
2021-12-07 06:00:00,246.39356647970885,
2021-12-07 08:00:00,235.25405841420275,
2021-12-07 10:30:00,269.5162981352198,
2021-12-07 11:00:00,257.4426147700881,
2021-12-07 23:59:59,278.75403129752976,c
2021-12-08 00:00:00,331.0149665758295,
2021-12-08 03:30:00,306.6695318411266,
2021-12-08 04:00:00,323.09568365330415,
2021-12-08 06:00:00,424.4802076463766,
2021-12-08 08:00:00,312.5968739782968,
2021-12-08 10:30:00,333.0843581160991,
2021-12-08 11:00:00,338.69414537888815,
2021-12-08 23:59:59,362.2722511871941,c
2021-12-09 00:00:00,391.6460524354843,
2021-12-09 03:30:00,359.6861346372789,
2021-12-09 04:00:00,361.8556307159338,
2021-12-09 06:00:00,335.3415556529626,
2021-12-09 08:00:00,271.57796228004463,
2021-12-09 10:30:00,247.26625905486276,
2021-12-09 11:00:00,256.82926560276223,
2021-12-09 23:59:59,286.40528343677306,c
2021-12-10 00:00:00,299.0680634441335,
2021-12-10 03:30:00,199.3242008387308,
2021-12-10 04:00:00,192.82775143349545,
2021-12-10 06:00:00,185.87686175028216,
2021-12-10 08:00:00,147.9547939919662,
2021-12-10 10:30:00,146.55422601460896,
2021-12-10 11:00:00,133.94683877253965,
2021-12-10 23:59:59,109.4138160234354,w
2021-12-13 00:00:00,160.69589917171083,
