date,FDN_2021_Q1,meta
2021-03-05 15:30:30,285.0024733927235,
2021-03-05 23:59:59,300.8464515463218,w
2021-03-08 00:00:00,277.4861232527804,
2021-03-08 10:00:00,256.0511671866255,
2021-03-08 10:30:00,255.44012779513315,
2021-03-08 12:00:00,160.48488128957263,
2021-03-08 13:30:00,155.20937420856148,
2021-03-08 15:00:00,113.45950188565944,
2021-03-08 15:30:30,113.45950188565944,
2021-03-08 23:59:59,69.63350386581757,c
2021-03-09 00:00:00,76.41808842888065,
2021-03-09 10:00:00,98.56811213101884,
2021-03-09 10:30:00,77.05822250634117,
2021-03-09 12:00:00,74.84206290815612,
2021-03-09 13:30:00,92.02708137342525,
2021-03-09 15:00:00,120.00438666123755,
2021-03-09 15:30:30,120.00438666123755,
2021-03-09 23:59:59,98.45920502868256,c
2021-03-10 00:00:00,60.33012821759053,
2021-03-10 10:00:00,41.28214979252293,
2021-03-10 10:30:00,20.206491871715052,
2021-03-10 12:00:00,52.16696376269219,
2021-03-10 13:30:00,52.458487564750854,
2021-03-10 15:00:00,73.88718531466013,
2021-03-10 15:30:30,73.88718531466013,
2021-03-10 23:59:59,33.801017114920995,c
2021-03-11 00:00:00,73.97303071497261,
2021-03-11 10:00:00,84.59186363992941,
2021-03-11 10:30:00,68.026138004817,
2021-03-11 12:00:00,113.1411433792194,
2021-03-11 13:30:00,101.15153662962396,
2021-03-11 15:00:00,76.24834566808896,
2021-03-11 15:30:30,76.24834566808896,
2021-03-11 23:59:59,84.29128929500813,c
2021-03-12 00:00:00,30.96006506084735,
2021-03-12 10:00:00,30.98788336674871,
2021-03-12 10:30:00,7.1122161777187785,
2021-03-12 12:00:00,18.603074301360856,
2021-03-12 13:30:00,36.95949209444132,
2021-03-12 15:00:00,25.406463724949816,
2021-03-12 15:30:30,25.406463724949816,
2021-03-12 23:59:59,0.0,a
2021-03-15 00:00:00,5.407176640533503,
2021-03-15 10:00:00,124.10460906389163,
2021-03-15 10:30:00,118.02438554933444,
2021-03-15 12:00:00,111.6238108740883,
2021-03-15 13:30:00,116.34901494024511,
2021-03-15 15:00:00,118.05250947445414,
2021-03-15 15:30:30,118.05250947445414,
2021-03-15 23:59:59,84.57245439580161,c
2021-03-16 00:00:00,125.9979681480858,
2021-03-16 10:00:00,133.5174586016916,
2021-03-16 10:30:00,138.58759151925722,
2021-03-16 12:00:00,116.02421882558237,
2021-03-16 13:30:00,114.75363399679578,
2021-03-16 15:00:00,95.15726106883629,
2021-03-16 15:30:30,95.15726106883629,
2021-03-16 23:59:59,78.09354481049922,c
2021-03-17 00:00:00,27.852765861353724,
2021-03-17 10:00:00,91.45830614176236,
2021-03-17 10:30:00,72.27064394133205,
2021-03-17 12:00:00,41.64217907758594,
2021-03-17 13:30:00,29.22248707666438,
2021-03-17 15:00:00,60.89908668491687,
2021-03-17 15:30:30,60.89908668491687,
2021-03-17 23:59:59,50.803273699817964,c
2021-03-18 00:00:00,73.56343471049223,
2021-03-18 10:00:00,49.1784171915147,
2021-03-18 10:30:00,37.517330971398316,
2021-03-18 12:00:00,16.983859951656925,
2021-03-18 13:30:00,34.92132767632075,
2021-03-18 15:00:00,34.65387115963213,
2021-03-18 15:30:30,34.65387115963213,
2021-03-18 23:59:59,26.92126207556297,c
2021-03-19 00:00:00,16.613851564338397,
2021-03-19 10:00:00,38.30967574409675,
2021-03-19 10:30:00,22.130419882527853,
2021-03-19 12:00:00,46.52811880716318,
2021-03-19 13:30:00,65.38815279362616,
2021-03-19 15:00:00,78.33342974656794,
2021-03-19 15:30:30,78.33342974656794,
2021-03-19 23:59:59,97.9701593588033,e
2021-03-22 00:00:00,80.96332620944116,
2021-03-22 10:00:00,92.82545853707683,
2021-03-22 10:30:00,97.70867775163984,
2021-03-22 12:00:00,98.98298720590704,
2021-03-22 13:30:00,89.95216240369804,
2021-03-22 15:00:00,108.67455909165825,
2021-03-22 15:30:30,108.67455909165825,
2021-03-22 23:59:59,76.41837180591484,c
2021-03-23 00:00:00,78.80373901782144,
2021-03-23 10:00:00,101.09718166806294,
2021-03-23 10:30:00,123.84344834154452,
2021-03-23 12:00:00,111.15535920198722,
2021-03-23 13:30:00,85.6759802813921,
2021-03-23 15:00:00,89.23779352897853,
2021-03-23 15:30:30,89.23779352897853,
