date,PAR1_STAY_20210511,meta
2021-04-23 00:00:00,-24.86608006816644,
2021-04-23 10:00:00,-16.58421671776081,
2021-04-23 10:30:00,-9.582406191431645,
2021-04-23 12:00:00,-16.545191549360894,
2021-04-23 13:30:00,-15.961256620251689,
2021-04-23 15:00:00,-12.951559863252442,
2021-04-23 15:30:30,-12.951559863252442,
2021-04-23 23:59:59,-10.297546317211356,w
2021-04-26 00:00:00,-4.558151559643164,
2021-04-26 10:00:00,-5.904700021780286,
2021-04-26 10:30:00,-4.7258887090087285,
2021-04-26 12:00:00,-2.5841549165085382,
2021-04-26 13:30:00,-3.523065503765338,
2021-04-26 15:00:00,-4.241223979983687,
2021-04-26 15:30:30,-4.241223979983687,
2021-04-26 23:59:59,-3.2341699172414167,c
2021-04-27 00:00:00,-3.883928625968224,
2021-04-27 10:00:00,2.758365187374494,
2021-04-27 10:30:00,2.579812018528088,
2021-04-27 12:00:00,4.462658357451716,
2021-04-27 13:30:00,-1.6626807030863517,
2021-04-27 15:00:00,1.8659148750570296,
2021-04-27 15:30:30,1.8659148750570296,
2021-04-27 23:59:59,5.162114166755487,c
2021-04-28 00:00:00,-13.164643198891923,
2021-04-28 10:00:00,-12.41397945672648,
2021-04-28 10:30:00,-4.112452634260791,
2021-04-28 12:00:00,-1.7172517666046758,
2021-04-28 13:30:00,-1.1387569105563955,
2021-04-28 15:00:00,1.0371784452392205,
2021-04-28 15:30:30,1.0371784452392205,
2021-04-28 23:59:59,3.2116881750704067,c
2021-04-29 00:00:00,4.521750376220382,
2021-04-29 10:00:00,2.1564455766034882,
2021-04-29 10:30:00,1.6248354100786457,
2021-04-29 12:00:00,0.16692310246133957,
2021-04-29 13:30:00,-1.3977532949605802,
2021-04-29 15:00:00,-1.253176769096143,
2021-04-29 15:30:30,-1.253176769096143,
2021-04-29 23:59:59,-1.306591569922432,c
2021-04-30 00:00:00,-8.438566525598404,
2021-04-30 10:00:00,-7.579253295203159,
2021-04-30 10:30:00,-12.522811730849085,
2021-04-30 12:00:00,-12.688187066061474,
2021-04-30 13:30:00,-10.772804727995165,
2021-04-30 15:00:00,-14.706941477980934,
2021-04-30 15:30:30,-14.706941477980934,
2021-04-30 23:59:59,-14.789915814242462,w
2021-05-03 00:00:00,-11.876577364327318,
2021-05-03 10:00:00,-19.047715078080117,
2021-05-03 10:30:00,-26.02133531774483,
2021-05-03 12:00:00,-27.46389647571077,
2021-05-03 13:30:00,-26.354100996084554,
2021-05-03 15:00:00,-25.867067322583793,
2021-05-03 15:30:30,-25.867067322583793,
2021-05-03 23:59:59,-25.584821477022018,c
2021-05-04 00:00:00,-27.752083782688985,
2021-05-04 10:00:00,-38.345812130777006,
2021-05-04 10:30:00,-31.800470977751885,
2021-05-04 12:00:00,-34.52404549743376,
2021-05-04 13:30:00,-26.451951584000383,
2021-05-04 15:00:00,-32.7715401780016,
2021-05-04 15:30:30,-32.7715401780016,
2021-05-04 23:59:59,-33.52653293859282,c
2021-05-05 00:00:00,-31.69184159669102,
2021-05-05 10:00:00,-28.313848373151444,
2021-05-05 10:30:00,-27.06476043849746,
2021-05-05 12:00:00,-26.352116536500006,
2021-05-05 13:30:00,-30.349309371404814,
2021-05-05 15:00:00,-26.51438525171723,
2021-05-05 15:30:30,-26.51438525171723,
2021-05-05 23:59:59,-28.81078744671686,c
2021-05-06 00:00:00,-28.507144547655642,
2021-05-06 10:00:00,-41.96268136238943,
2021-05-06 10:30:00,-42.38578476095665,
2021-05-06 12:00:00,-36.63000323431956,
2021-05-06 13:30:00,-40.87019664303237,
2021-05-06 15:00:00,-42.34908994199405,
2021-05-06 15:30:30,-42.34908994199405,
2021-05-06 23:59:59,-35.96881637693103,c
2021-05-07 00:00:00,-32.73994830357405,
2021-05-07 10:00:00,-38.00237074453871,
2021-05-07 10:30:00,-40.10536444439059,
2021-05-07 12:00:00,-41.75261626512349,
2021-05-07 13:30:00,-38.25807822478768,
2021-05-07 15:00:00,-41.10020757674354,
2021-05-07 15:30:30,-41.10020757674354,s
2021-05-07 23:59:59,-42.88916096376161,w
2021-05-10 00:00:00,-35.30738499600959,
2021-05-10 10:00:00,-41.50503022232188,
2021-05-10 10:30:00,-41.101249163364926,
2021-05-10 12:00:00,-38.05301667317897,
2021-05-10 13:30:00,-38.848527064851496,
2021-05-10 15:00:00,-35.01288695998616,
2021-05-10 15:30:30,-35.01288695998616,
2021-05-10 23:59:59,-36.53390276754034,c
2021-05-11 00:00:00,-52.336841035835235,
2021-05-11 10:00:00,-40.16959986100443,
2021-05-11 10:30:00,-42.272108822467516,
2021-05-11 12:00:00,-39.13534436925919,
2021-05-11 13:30:00,-38.30333120888625,
2021-05-11 15:00:00,-37.76577717335138,
2021-05-11 15:30:30,-37.76577717335138,
2021-05-11 23:59:59,-37.91484135158096,c
2021-05-12 00:00:00,-30.882267870308198,
2021-05-12 10:00:00,-39.098991419413906,
2021-05-12 10:30:00,-43.60015443608016,
2021-05-12 12:00:00,-44.66659208308867,
2021-05-12 13:30:00,-46.146698411229934,
2021-05-12 15:00:00,-49.730152952402136,
2021-05-12 15:30:30,-49.730152952402136,
2021-05-12 23:59:59,-47.1302981039471,c
2021-05-13 00:00:00,-52.67549567241531,
2021-05-13 10:00:00,-47.56966613389771,
2021-05-13 10:30:00,-46.290548485954645,
2021-05-13 12:00:00,-53.846609255527596,
2021-05-13 13:30:00,-55.794012808688095,
2021-05-13 15:00:00,-53.19098412403389,
2021-05-13 15:30:30,-53.19098412403389,u
2021-05-13 23:59:59,-50.33560989563031,c
