date,FVD_2022_Feb,meta
2022-03-01 15:00:00,15.566294991907284,
2022-03-01 15:30:30,15.566294991907284,
2022-03-01 23:59:59,22.81367113510629,c
2022-03-02 00:00:00,30.83470973857726,
2022-03-02 10:00:00,32.61381326897356,
2022-03-02 10:30:00,40.26698877928959,
2022-03-02 12:00:00,44.476867474291964,
2022-03-02 13:30:00,52.63534871894018,
2022-03-02 15:00:00,49.781976887320695,
2022-03-02 15:30:30,49.781976887320695,
2022-03-02 23:59:59,46.91882459298762,c
2022-03-03 00:00:00,64.03761245785932,
2022-03-03 10:00:00,54.66572261593876,
2022-03-03 10:30:00,58.397174589387134,
2022-03-03 12:00:00,65.05523612929852,
2022-03-03 13:30:00,63.64026220637686,
2022-03-03 15:00:00,49.1201916937016,
2022-03-03 15:30:30,49.1201916937016,
2022-03-03 23:59:59,40.49513828069547,c
2022-03-04 00:00:00,40.13862728696222,
2022-03-04 10:00:00,57.857005757215575,
2022-03-04 10:30:00,50.83617821259554,
2022-03-04 12:00:00,29.46272317519822,
2022-03-04 13:30:00,43.280666288257805,
2022-03-04 15:00:00,41.235410284470504,
2022-03-04 15:30:30,41.235410284470504,
2022-03-04 23:59:59,44.293502631801516,w
2022-03-07 00:00:00,37.68735522482342,
2022-03-07 10:00:00,46.22670747270388,
2022-03-07 10:30:00,47.80939743045269,
2022-03-07 12:00:00,48.278178091997404,
2022-03-07 13:30:00,52.30173321165131,
2022-03-07 15:00:00,50.26101321004006,
2022-03-07 15:30:30,50.26101321004006,
2022-03-07 23:59:59,38.177893492663316,c
2022-03-08 00:00:00,45.12609041179621,
2022-03-08 10:00:00,73.04943659052333,
2022-03-08 10:30:00,61.03019637622856,
2022-03-08 12:00:00,63.91846473705692,
2022-03-08 13:30:00,53.54800145071425,
2022-03-08 15:00:00,33.83680224373393,
2022-03-08 15:30:30,33.83680224373393,
2022-03-08 23:59:59,25.44155538857109,c
2022-03-09 00:00:00,38.76988038011251,
2022-03-09 10:00:00,31.152390465776477,
2022-03-09 10:30:00,45.529657512175845,
2022-03-09 12:00:00,52.571067086162884,
2022-03-09 13:30:00,60.78207114559609,
2022-03-09 15:00:00,57.68577630987687,
2022-03-09 15:30:30,57.68577630987687,
2022-03-09 23:59:59,46.382000058112226,c
2022-03-10 00:00:00,36.46421112213591,
2022-03-10 10:00:00,-3.812319036647807,
2022-03-10 10:30:00,-5.55630977397027,
2022-03-10 12:00:00,6.999464141035446,
2022-03-10 13:30:00,14.605161004192325,
2022-03-10 15:00:00,31.46192641423596,
2022-03-10 15:30:30,31.46192641423596,
2022-03-10 23:59:59,37.69047031738785,c
