date,AS_TOPIX_2023_Q1,meta
2022-12-21 00:00:00,-79.83816631919996,
2022-12-21 01:00:00,-80.0277510363166,
2022-12-21 02:30:00,-80.0277510363166,
2022-12-21 03:00:00,-80.0277510363166,
2022-12-21 18:30:00,-80.0277510363166,
2022-12-21 20:00:00,-82.1358026126365,
2022-12-21 23:00:00,-59.99708265500584,
2022-12-21 23:59:59,-62.28402030471494,c
2022-12-22 00:00:00,-58.347240583617406,
2022-12-22 01:00:00,-65.09958850137849,
2022-12-22 02:30:00,-65.09958850137849,
2022-12-22 03:00:00,-65.09958850137849,
2022-12-22 18:30:00,-65.09958850137849,
2022-12-22 20:00:00,-51.85570471452576,
2022-12-22 23:00:00,-68.78884205874255,
2022-12-22 23:59:59,-56.66100325434087,c
2022-12-23 00:00:00,-56.769851655325795,
2022-12-23 01:00:00,-59.997835657903295,
2022-12-23 02:30:00,-59.997835657903295,
2022-12-23 03:00:00,-59.997835657903295,
2022-12-23 18:30:00,-59.997835657903295,
2022-12-23 20:00:00,-59.997835657903295,
2022-12-23 23:00:00,-59.997835657903295,
2022-12-23 23:59:59,-63.6322180681878,w
2022-12-26 00:00:00,-54.17388423659878,
2022-12-26 01:00:00,-59.985841945074924,
2022-12-26 02:30:00,-59.985841945074924,
2022-12-26 03:00:00,-59.985841945074924,
2022-12-26 18:30:00,-59.985841945074924,
2022-12-26 20:00:00,-96.84941812146684,
2022-12-26 23:00:00,-106.51471048514696,
2022-12-26 23:59:59,-111.36232825935946,c
2022-12-27 00:00:00,-116.08467461339359,
2022-12-27 01:00:00,-124.92631168128747,
2022-12-27 02:30:00,-124.92631168128747,
2022-12-27 03:00:00,-124.92631168128747,
2022-12-27 18:30:00,-124.92631168128747,
2022-12-27 20:00:00,-120.39380076014885,
2022-12-27 23:00:00,-115.68824765381675,
2022-12-27 23:59:59,-113.71883100628673,c
2022-12-28 00:00:00,-108.69330780577508,
2022-12-28 01:00:00,-127.50041195481577,
2022-12-28 02:30:00,-127.50041195481577,
2022-12-28 03:00:00,-127.50041195481577,
2022-12-28 18:30:00,-127.50041195481577,
2022-12-28 20:00:00,-136.8867659897308,
2022-12-28 23:00:00,-132.35730165713682,
2022-12-28 23:59:59,-136.38166165611204,c
2022-12-29 00:00:00,-125.93334358001908,
2022-12-29 01:00:00,-131.81144621959714,
2022-12-29 02:30:00,-131.81144621959714,
2022-12-29 03:00:00,-131.81144621959714,
2022-12-29 18:30:00,-131.81144621959714,
2022-12-29 20:00:00,-142.9668702652137,
2022-12-29 23:00:00,-130.23355737321828,
2022-12-29 23:59:59,-120.92472447937524,c
2022-12-30 00:00:00,-129.2764706155229,
2022-12-30 01:00:00,-125.70951230968188,
2022-12-30 02:30:00,-125.70951230968188,
2022-12-30 03:00:00,-125.70951230968188,
2022-12-30 18:30:00,-125.70951230968188,
2022-12-30 20:00:00,-125.70951230968188,
2022-12-30 23:00:00,-125.70951230968188,
2022-12-30 23:59:59,-125.34075023843076,w
2023-01-02 00:00:00,-125.34075023843076,
2023-01-02 01:00:00,-125.34075023843076,
2023-01-02 02:30:00,-125.34075023843076,
2023-01-02 03:00:00,-125.34075023843076,
2023-01-02 18:30:00,-125.34075023843076,
2023-01-02 20:00:00,-125.34075023843076,
2023-01-02 23:00:00,-125.34075023843076,
2023-01-02 23:59:59,-125.34075023843076,c
2023-01-03 00:00:00,-125.34075023843076,
2023-01-03 01:00:00,-125.34075023843076,
2023-01-03 02:30:00,-125.34075023843076,
2023-01-03 03:00:00,-125.34075023843076,
2023-01-03 18:30:00,-125.34075023843076,
2023-01-03 20:00:00,-131.20631508034097,
2023-01-03 23:00:00,-133.69014688053034,
2023-01-03 23:59:59,-133.69014688053034,c
2023-01-04 00:00:00,-105.17416123057893,
2023-01-04 01:00:00,-95.92666704675258,
2023-01-04 02:30:00,-95.92666704675258,
2023-01-04 03:00:00,-95.92666704675258,
2023-01-04 18:30:00,-95.92666704675258,
2023-01-04 20:00:00,-111.28611047350984,
2023-01-04 23:00:00,-111.83283558469606,
2023-01-04 23:59:59,-107.06135429949114,c
2023-01-05 00:00:00,-101.17206007108899,
2023-01-05 01:00:00,-92.61020022025372,
2023-01-05 02:30:00,-92.61020022025372,
2023-01-05 03:00:00,-92.61020022025372,
2023-01-05 18:30:00,-92.61020022025372,
2023-01-05 20:00:00,-82.56869495145412,
2023-01-05 23:00:00,-78.86079752748316,
2023-01-05 23:59:59,-65.1809367275792,c
