date,FTCS_2022_Q2,meta
2022-04-14 10:30:00,45.05944568215915,
2022-04-14 12:00:00,40.73612485328829,
2022-04-14 13:30:00,59.742704683308716,
2022-04-14 15:00:00,57.858198931103686,
2022-04-14 15:30:30,57.858198931103686,
2022-04-14 23:59:59,68.41780645973341,e
2022-04-15 00:00:00,68.41780645973341,
2022-04-15 10:00:00,68.41780645973341,
2022-04-15 10:30:00,68.41780645973341,
2022-04-15 12:00:00,68.41780645973341,
2022-04-15 13:30:00,68.41780645973341,
2022-04-15 15:00:00,68.41780645973341,
2022-04-15 15:30:30,68.41780645973341,
2022-04-15 23:59:59,68.41780645973341,w
2022-04-18 00:00:00,67.46374662099532,
2022-04-18 10:00:00,67.14408930313107,
2022-04-18 10:30:00,67.60709681302967,
2022-04-18 12:00:00,82.36896313151436,
2022-04-18 13:30:00,88.34318309747425,
2022-04-18 15:00:00,91.86858874747617,
2022-04-18 15:30:30,91.86858874747617,
2022-04-18 23:59:59,87.53850958970617,c
2022-04-19 00:00:00,84.86978046873497,
2022-04-19 10:00:00,63.823133965137515,
2022-04-19 10:30:00,60.84661823594115,
2022-04-19 12:00:00,46.628787682596396,
2022-04-19 13:30:00,43.388499962847106,
2022-04-19 15:00:00,44.933341514345784,
2022-04-19 15:30:30,44.933341514345784,
2022-04-19 23:59:59,45.736369336233736,c
2022-04-20 00:00:00,38.014976024109444,
2022-04-20 10:00:00,16.26835380714965,
2022-04-20 10:30:00,25.86610021470142,
2022-04-20 12:00:00,11.87483876325831,
2022-04-20 13:30:00,12.046271139318492,
2022-04-20 15:00:00,12.54881331469278,
2022-04-20 15:30:30,12.54881331469278,
2022-04-20 23:59:59,20.589310680470646,c
2022-04-21 00:00:00,14.537564812162941,
2022-04-21 10:00:00,2.8662560126123253,
2022-04-21 10:30:00,5.8560848396350025,
2022-04-21 12:00:00,24.12031980599164,
2022-04-21 13:30:00,26.017284151819126,
2022-04-21 15:00:00,21.096799607358264,
2022-04-21 15:30:30,21.096799607358264,
2022-04-21 23:59:59,19.600768126430523,c
2022-04-22 00:00:00,5.315289932408746,
2022-04-22 10:00:00,21.51105503382098,
2022-04-22 10:30:00,9.63528022515635,
2022-04-22 12:00:00,-3.963805161315321,
2022-04-22 13:30:00,-5.6310841361449775,
2022-04-22 15:00:00,-1.9546735611885993,
2022-04-22 15:30:30,-1.9546735611885993,
2022-04-22 23:59:59,1.110362522662797,w
2022-04-25 00:00:00,-9.633200782442856,
2022-04-25 10:00:00,-12.190033336116812,
2022-04-25 10:30:00,-3.8057968124437878,
2022-04-25 12:00:00,-16.768422155158476,
2022-04-25 13:30:00,-8.874387652531652,
2022-04-25 15:00:00,-6.546806929521438,
2022-04-25 15:30:30,-6.546806929521438,
2022-04-25 23:59:59,-12.39197329429254,c
2022-04-26 00:00:00,-2.6964609816760117,
2022-04-26 10:00:00,-9.064439568332745,
2022-04-26 10:30:00,-9.494588479577061,
