date,EU_MSCI_EU_DM_STAY_2022_Q1,meta
2022-01-05 00:00:00,395.0686987661652,
2022-01-05 03:30:00,393.6377367414575,
2022-01-05 04:00:00,382.0640881904974,
2022-01-05 06:00:00,381.36388464822994,
2022-01-05 08:00:00,375.68702925906837,
2022-01-05 10:30:00,360.9600903142218,
2022-01-05 11:00:00,372.86360455353815,
2022-01-05 23:59:59,372.91153868667107,c
2022-01-06 00:00:00,389.5944105928338,
2022-01-06 03:30:00,348.60347290716163,
2022-01-06 04:00:00,328.71916107998914,
2022-01-06 06:00:00,329.71342599615946,
2022-01-06 08:00:00,334.728503371241,
2022-01-06 10:30:00,344.201812142207,
2022-01-06 11:00:00,337.58529424858216,
2022-01-06 23:59:59,342.91061997646284,c
2022-01-07 00:00:00,337.8855044892948,
2022-01-07 03:30:00,332.9432514256864,
2022-01-07 04:00:00,323.8646636850726,
2022-01-07 06:00:00,333.1091531719144,
2022-01-07 08:00:00,328.2293252650875,
2022-01-07 10:30:00,334.8747050297475,
2022-01-07 11:00:00,337.93847226152,
2022-01-07 23:59:59,334.5761735451383,w
2022-01-10 00:00:00,317.9068752447147,
2022-01-10 03:30:00,336.50203473978036,
2022-01-10 04:00:00,339.0310712429691,
2022-01-10 06:00:00,359.5735085510332,
2022-01-10 08:00:00,362.87578236170657,
2022-01-10 10:30:00,383.4079863327388,
2022-01-10 11:00:00,386.15289143962855,
2022-01-10 23:59:59,387.2347562170653,c
2022-01-11 00:00:00,379.68199618028666,
2022-01-11 03:30:00,363.58698880655675,
2022-01-11 04:00:00,363.86738286308446,
2022-01-11 06:00:00,352.6828554594081,
2022-01-11 08:00:00,361.3214523089955,
2022-01-11 10:30:00,362.4992652659207,
2022-01-11 11:00:00,357.6067084835504,
2022-01-11 23:59:59,354.3786220091579,c
2022-01-12 00:00:00,336.00415024780114,
2022-01-12 03:30:00,331.16337259428974,
2022-01-12 04:00:00,328.10834749123933,
2022-01-12 06:00:00,307.173972584093,
2022-01-12 08:00:00,286.46548036651484,
2022-01-12 10:30:00,249.20715704444365,
2022-01-12 11:00:00,258.0199812916476,
2022-01-12 23:59:59,279.87131422720586,c
2022-01-13 00:00:00,294.57176685487093,
2022-01-13 03:30:00,289.51698161942295,
2022-01-13 04:00:00,303.1513485633541,
2022-01-13 06:00:00,300.2190998634874,
2022-01-13 08:00:00,322.12301409477413,
2022-01-13 10:30:00,346.2383754677667,
2022-01-13 11:00:00,338.4485825472957,
2022-01-13 23:59:59,337.24944126112314,c
2022-01-14 00:00:00,354.5399068669717,
2022-01-14 03:30:00,343.577287209569,
2022-01-14 04:00:00,351.80009702797133,
2022-01-14 06:00:00,377.87027734770436,
2022-01-14 08:00:00,384.52884200896324,
2022-01-14 10:30:00,373.7897987444644,
2022-01-14 11:00:00,380.94028142783054,
2022-01-14 23:59:59,376.0183000465331,w
2022-01-17 00:00:00,382.7308829124495,
2022-01-17 03:30:00,369.6904985629176,
2022-01-17 04:00:00,380.3171912480998,
2022-01-17 06:00:00,382.91008269079293,
2022-01-17 08:00:00,389.5607342477342,
2022-01-17 10:30:00,391.70070066765265,
2022-01-17 11:00:00,388.29954132408056,
2022-01-17 23:59:59,384.51827876859807,c
2022-01-18 00:00:00,384.05295250766903,
2022-01-18 03:30:00,388.58605199137855,
2022-01-18 04:00:00,396.5458546162595,
2022-01-18 06:00:00,395.3767761539634,
2022-01-18 08:00:00,391.90239897230003,
2022-01-18 10:30:00,414.6819241940548,
2022-01-18 11:00:00,418.68771905227277,
2022-01-18 23:59:59,410.8388546989645,c
2022-01-19 00:00:00,418.7867905643984,
2022-01-19 03:30:00,364.7893029591032,
2022-01-19 04:00:00,356.2460906228289,
2022-01-19 06:00:00,358.8230755056911,
2022-01-19 08:00:00,322.6234752107721,
2022-01-19 10:30:00,360.27819444352144,
2022-01-19 11:00:00,363.3527134123051,
2022-01-19 23:59:59,368.4415632596165,c
2022-01-20 00:00:00,360.2355607908289,
2022-01-20 03:30:00,390.00511299714935,
2022-01-20 04:00:00,401.69286667845927,
2022-01-20 06:00:00,421.03228561020387,
2022-01-20 08:00:00,417.7127860699461,
2022-01-20 10:30:00,411.74735194036157,
2022-01-20 11:00:00,402.3599367997381,
2022-01-20 23:59:59,405.8644611842483,c
2022-01-21 00:00:00,442.289358886047,
2022-01-21 03:30:00,457.11952250161676,
2022-01-21 04:00:00,461.1796032221391,
2022-01-21 06:00:00,444.0206617050785,
2022-01-21 08:00:00,459.95468990405016,
2022-01-21 10:30:00,471.7249400768728,
